[1755, 1240]
[folio, [646.0, 75.0, 475.0, 36.0], DXbC3kvbcH, 5743580]
[paragraph, [196.0, 212.0, 938.0, 36.0], shoonya_2sHR2VIVIKLTCM, 5743580]
[paragraph, [196.0, 248.0, 938.0, 36.0], shoonya_2sHR2VIVIKLTCM, 5743580]
[paragraph, [196.0, 284.0, 938.0, 36.0], shoonya_2sHR2VIVIKLTCM, 5743580]
[paragraph, [196.0, 320.0, 938.0, 36.0], shoonya_2sHR2VIVIKLTCM, 5743580]
[paragraph, [196.0, 356.0, 938.0, 36.0], shoonya_2sHR2VIVIKLTCM, 5743580]
[paragraph, [196.0, 392.0, 938.0, 36.0], shoonya_2sHR2VIVIKLTCM, 5743580]
[paragraph, [196.0, 428.0, 938.0, 36.0], shoonya_2sHR2VIVIKLTCM, 5743580]
[paragraph, [196.0, 464.0, 938.0, 36.0], shoonya_2sHR2VIVIKLTCM, 5743580]
[paragraph, [196.0, 500.0, 938.0, 36.0], shoonya_2sHR2VIVIKLTCM, 5743580]
[paragraph, [196.0, 536.0, 938.0, 36.0], shoonya_2sHR2VIVIKLTCM, 5743580]
[paragraph, [196.0, 572.0, 938.0, 36.0], shoonya_2sHR2VIVIKLTCM, 5743580]
[paragraph, [196.0, 608.0, 938.0, 36.0], shoonya_2sHR2VIVIKLTCM, 5743580]
[paragraph, [196.0, 644.0, 938.0, 36.0], shoonya_2sHR2VIVIKLTCM, 5743580]
[paragraph, [196.0, 680.0, 938.0, 36.0], shoonya_2sHR2VIVIKLTCM, 5743580]
[paragraph, [196.0, 716.0, 938.0, 36.0], shoonya_2sHR2VIVIKLTCM, 5743580]
[paragraph, [196.0, 752.0, 938.0, 36.0], shoonya_2sHR2VIVIKLTCM, 5743580]
[paragraph, [204.0, 834.0, 925.0, 36.0], WvFshrv6vs, 5743580]
[paragraph, [204.0, 870.0, 925.0, 36.0], WvFshrv6vs, 5743580]
[paragraph, [204.0, 906.0, 925.0, 36.0], WvFshrv6vs, 5743580]
[paragraph, [204.0, 942.0, 925.0, 36.0], WvFshrv6vs, 5743580]
[paragraph, [204.0, 978.0, 925.0, 36.0], WvFshrv6vs, 5743580]
[paragraph, [204.0, 1014.0, 925.0, 36.0], WvFshrv6vs, 5743580]
[paragraph, [204.0, 1050.0, 925.0, 36.0], WvFshrv6vs, 5743580]
[paragraph, [204.0, 1086.0, 925.0, 36.0], WvFshrv6vs, 5743580]
[paragraph, [199.0, 1194.0, 929.0, 36.0], shoonya_0sSZ7L1R9WREEA, 5743580]
[paragraph, [199.0, 1230.0, 929.0, 36.0], shoonya_0sSZ7L1R9WREEA, 5743580]
[paragraph, [199.0, 1266.0, 929.0, 36.0], shoonya_0sSZ7L1R9WREEA, 5743580]
[paragraph, [199.0, 1302.0, 929.0, 36.0], shoonya_0sSZ7L1R9WREEA, 5743580]
[paragraph, [199.0, 1338.0, 929.0, 36.0], shoonya_0sSZ7L1R9WREEA, 5743580]
[paragraph, [199.0, 1374.0, 929.0, 36.0], shoonya_0sSZ7L1R9WREEA, 5743580]
[paragraph, [199.0, 1410.0, 929.0, 36.0], shoonya_0sSZ7L1R9WREEA, 5743580]
[paragraph, [199.0, 1446.0, 929.0, 36.0], shoonya_0sSZ7L1R9WREEA, 5743580]
[paragraph, [199.0, 1482.0, 929.0, 36.0], shoonya_0sSZ7L1R9WREEA, 5743580]
[paragraph, [199.0, 1518.0, 929.0, 36.0], shoonya_0sSZ7L1R9WREEA, 5743580]
[paragraph, [199.0, 1554.0, 929.0, 36.0], shoonya_0sSZ7L1R9WREEA, 5743580]
