[1387, 987]
[paragraph, [88.0, 95.0, 787.0, 18.0], shoonya_0s4CUQGT3U1SWD, 5651437]
[paragraph, [88.0, 113.0, 787.0, 18.0], shoonya_0s4CUQGT3U1SWD, 5651437]
[paragraph, [88.0, 131.0, 787.0, 18.0], shoonya_0s4CUQGT3U1SWD, 5651437]
[paragraph, [88.0, 149.0, 787.0, 18.0], shoonya_0s4CUQGT3U1SWD, 5651437]
[paragraph, [88.0, 167.0, 787.0, 18.0], shoonya_0s4CUQGT3U1SWD, 5651437]
[paragraph, [88.0, 185.0, 787.0, 18.0], shoonya_0s4CUQGT3U1SWD, 5651437]
[paragraph, [88.0, 203.0, 787.0, 18.0], shoonya_0s4CUQGT3U1SWD, 5651437]
[paragraph, [88.0, 221.0, 787.0, 18.0], shoonya_0s4CUQGT3U1SWD, 5651437]
[paragraph, [88.0, 239.0, 787.0, 18.0], shoonya_0s4CUQGT3U1SWD, 5651437]
[paragraph, [81.0, 275.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 293.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 311.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 329.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 347.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 365.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 383.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 401.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 419.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 437.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 455.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 473.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 491.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 509.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 527.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 545.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 563.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 581.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 599.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 617.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 635.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 653.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 671.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 689.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 707.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 725.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 743.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 761.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 779.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 797.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 815.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 833.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 851.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 869.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 887.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 905.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 923.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 941.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [81.0, 959.0, 809.0, 18.0], JeKpqYlMvS, 5651437]
[paragraph, [82.0, 979.0, 800.0, 18.0], 39ccBPMOg8, 5651437]
[paragraph, [82.0, 997.0, 800.0, 18.0], 39ccBPMOg8, 5651437]
[paragraph, [82.0, 1015.0, 800.0, 18.0], 39ccBPMOg8, 5651437]
[paragraph, [82.0, 1033.0, 800.0, 18.0], 39ccBPMOg8, 5651437]
[paragraph, [82.0, 1051.0, 800.0, 18.0], 39ccBPMOg8, 5651437]
[paragraph, [82.0, 1069.0, 800.0, 18.0], 39ccBPMOg8, 5651437]
[paragraph, [82.0, 1087.0, 800.0, 18.0], 39ccBPMOg8, 5651437]
[paragraph, [82.0, 1105.0, 800.0, 18.0], 39ccBPMOg8, 5651437]
[paragraph, [82.0, 1123.0, 800.0, 18.0], 39ccBPMOg8, 5651437]
[paragraph, [82.0, 1141.0, 800.0, 18.0], 39ccBPMOg8, 5651437]
[paragraph, [82.0, 1159.0, 800.0, 18.0], 39ccBPMOg8, 5651437]
[paragraph, [82.0, 1177.0, 800.0, 18.0], 39ccBPMOg8, 5651437]
[paragraph, [82.0, 1195.0, 800.0, 18.0], 39ccBPMOg8, 5651437]
