[1063, 680]
[paragraph, [63.0, 150.0, 542.0, 18.0], shoonya_2sWLOQ4EIJXJL4, 5739560]
[paragraph, [63.0, 168.0, 542.0, 18.0], shoonya_2sWLOQ4EIJXJL4, 5739560]
[paragraph, [63.0, 186.0, 542.0, 18.0], shoonya_2sWLOQ4EIJXJL4, 5739560]
[paragraph, [63.0, 204.0, 542.0, 18.0], shoonya_2sWLOQ4EIJXJL4, 5739560]
[paragraph, [63.0, 222.0, 542.0, 18.0], shoonya_2sWLOQ4EIJXJL4, 5739560]
[paragraph, [63.0, 240.0, 542.0, 18.0], shoonya_2sWLOQ4EIJXJL4, 5739560]
[paragraph, [63.0, 258.0, 542.0, 18.0], shoonya_2sWLOQ4EIJXJL4, 5739560]
[paragraph, [63.0, 276.0, 542.0, 18.0], shoonya_2sWLOQ4EIJXJL4, 5739560]
[paragraph, [63.0, 294.0, 542.0, 18.0], shoonya_2sWLOQ4EIJXJL4, 5739560]
[paragraph, [63.0, 312.0, 542.0, 18.0], shoonya_2sWLOQ4EIJXJL4, 5739560]
[paragraph, [63.0, 330.0, 542.0, 18.0], shoonya_2sWLOQ4EIJXJL4, 5739560]
[paragraph, [63.0, 348.0, 542.0, 18.0], shoonya_2sWLOQ4EIJXJL4, 5739560]
[paragraph, [63.0, 366.0, 542.0, 18.0], shoonya_2sWLOQ4EIJXJL4, 5739560]
[paragraph, [63.0, 384.0, 542.0, 18.0], shoonya_2sWLOQ4EIJXJL4, 5739560]
[paragraph, [63.0, 402.0, 542.0, 18.0], shoonya_2sWLOQ4EIJXJL4, 5739560]
[paragraph, [63.0, 420.0, 542.0, 18.0], shoonya_2sWLOQ4EIJXJL4, 5739560]
[paragraph, [63.0, 438.0, 542.0, 18.0], shoonya_2sWLOQ4EIJXJL4, 5739560]
[paragraph, [63.0, 456.0, 542.0, 18.0], shoonya_2sWLOQ4EIJXJL4, 5739560]
[paragraph, [63.0, 474.0, 542.0, 18.0], shoonya_2sWLOQ4EIJXJL4, 5739560]
[paragraph, [63.0, 492.0, 542.0, 18.0], shoonya_2sWLOQ4EIJXJL4, 5739560]
[paragraph, [63.0, 510.0, 542.0, 18.0], shoonya_2sWLOQ4EIJXJL4, 5739560]
[paragraph, [66.0, 556.0, 536.0, 18.0], shoonya_1sIDNECYO50DF4, 5739560]
[paragraph, [66.0, 574.0, 536.0, 18.0], shoonya_1sIDNECYO50DF4, 5739560]
[paragraph, [66.0, 592.0, 536.0, 18.0], shoonya_1sIDNECYO50DF4, 5739560]
[paragraph, [66.0, 610.0, 536.0, 18.0], shoonya_1sIDNECYO50DF4, 5739560]
[paragraph, [66.0, 628.0, 536.0, 18.0], shoonya_1sIDNECYO50DF4, 5739560]
[paragraph, [66.0, 646.0, 536.0, 18.0], shoonya_1sIDNECYO50DF4, 5739560]
[paragraph, [66.0, 664.0, 536.0, 18.0], shoonya_1sIDNECYO50DF4, 5739560]
[paragraph, [66.0, 682.0, 536.0, 18.0], shoonya_1sIDNECYO50DF4, 5739560]
[paragraph, [66.0, 700.0, 536.0, 18.0], shoonya_1sIDNECYO50DF4, 5739560]
[paragraph, [66.0, 718.0, 536.0, 18.0], shoonya_1sIDNECYO50DF4, 5739560]
[paragraph, [66.0, 736.0, 536.0, 18.0], shoonya_1sIDNECYO50DF4, 5739560]
[paragraph, [66.0, 754.0, 536.0, 18.0], shoonya_1sIDNECYO50DF4, 5739560]
[paragraph, [66.0, 772.0, 536.0, 18.0], shoonya_1sIDNECYO50DF4, 5739560]
[paragraph, [66.0, 790.0, 536.0, 18.0], shoonya_1sIDNECYO50DF4, 5739560]
[paragraph, [66.0, 808.0, 536.0, 18.0], shoonya_1sIDNECYO50DF4, 5739560]
[paragraph, [66.0, 826.0, 536.0, 18.0], shoonya_1sIDNECYO50DF4, 5739560]
[paragraph, [66.0, 844.0, 536.0, 18.0], shoonya_1sIDNECYO50DF4, 5739560]
[paragraph, [64.0, 883.0, 545.0, 18.0], jmhzNltF5B, 5739560]
[paragraph, [64.0, 901.0, 545.0, 18.0], jmhzNltF5B, 5739560]
[paragraph, [64.0, 919.0, 545.0, 18.0], jmhzNltF5B, 5739560]
[paragraph, [64.0, 937.0, 545.0, 18.0], jmhzNltF5B, 5739560]
[paragraph, [64.0, 955.0, 545.0, 18.0], jmhzNltF5B, 5739560]
[footnote, [449.0, 1015.0, 194.0, 18.0], _QRg9nQtgt, 5739560]
