[1753, 1240]
[contact-info, [468.0, 81.0, 321.0, 36.0], shoonya_0sIWGI1SWXO93K, 6475118]
[contact-info, [468.0, 117.0, 321.0, 36.0], shoonya_0sIWGI1SWXO93K, 6475118]
[contact-info, [468.0, 153.0, 321.0, 36.0], shoonya_0sIWGI1SWXO93K, 6475118]
[contact-info, [932.0, 254.0, 215.0, 36.0], krP3xchBOK, 6475118]
[contact-info, [932.0, 290.0, 215.0, 36.0], krP3xchBOK, 6475118]
[paragraph, [282.0, 387.0, 872.0, 36.0], zG4e6IJh3U, 6475118]
[paragraph, [282.0, 423.0, 872.0, 36.0], zG4e6IJh3U, 6475118]
[paragraph, [282.0, 459.0, 872.0, 36.0], zG4e6IJh3U, 6475118]
[paragraph, [282.0, 495.0, 872.0, 36.0], zG4e6IJh3U, 6475118]
[ordered-list, [211.0, 534.0, 944.0, 36.0], shoonya_2sBEAN0BZQHXV3, 6475118]
[ordered-list, [211.0, 570.0, 944.0, 36.0], shoonya_2sBEAN0BZQHXV3, 6475118]
[ordered-list, [211.0, 606.0, 944.0, 36.0], shoonya_2sBEAN0BZQHXV3, 6475118]
[ordered-list, [211.0, 642.0, 944.0, 36.0], shoonya_2sBEAN0BZQHXV3, 6475118]
[ordered-list, [211.0, 678.0, 944.0, 36.0], shoonya_2sBEAN0BZQHXV3, 6475118]
[ordered-list, [211.0, 714.0, 944.0, 36.0], shoonya_2sBEAN0BZQHXV3, 6475118]
[ordered-list, [211.0, 750.0, 944.0, 36.0], shoonya_2sBEAN0BZQHXV3, 6475118]
[ordered-list, [211.0, 786.0, 944.0, 36.0], shoonya_2sBEAN0BZQHXV3, 6475118]
[ordered-list, [211.0, 822.0, 944.0, 36.0], shoonya_2sBEAN0BZQHXV3, 6475118]
[ordered-list, [211.0, 858.0, 944.0, 36.0], shoonya_2sBEAN0BZQHXV3, 6475118]
[ordered-list, [211.0, 894.0, 944.0, 36.0], shoonya_2sBEAN0BZQHXV3, 6475118]
[ordered-list, [211.0, 930.0, 944.0, 36.0], shoonya_2sBEAN0BZQHXV3, 6475118]
[ordered-list, [211.0, 966.0, 944.0, 36.0], shoonya_2sBEAN0BZQHXV3, 6475118]
[ordered-list, [211.0, 1002.0, 944.0, 36.0], shoonya_2sBEAN0BZQHXV3, 6475118]
[ordered-list, [211.0, 1038.0, 944.0, 36.0], shoonya_2sBEAN0BZQHXV3, 6475118]
[ordered-list, [211.0, 1074.0, 944.0, 36.0], shoonya_2sBEAN0BZQHXV3, 6475118]
[ordered-list, [211.0, 1110.0, 944.0, 36.0], shoonya_2sBEAN0BZQHXV3, 6475118]
[ordered-list, [211.0, 1146.0, 944.0, 36.0], shoonya_2sBEAN0BZQHXV3, 6475118]
[ordered-list, [211.0, 1182.0, 944.0, 36.0], shoonya_2sBEAN0BZQHXV3, 6475118]
[ordered-list, [211.0, 1218.0, 944.0, 36.0], shoonya_2sBEAN0BZQHXV3, 6475118]
[ordered-list, [211.0, 1254.0, 944.0, 36.0], shoonya_2sBEAN0BZQHXV3, 6475118]
[ordered-list, [211.0, 1290.0, 944.0, 36.0], shoonya_2sBEAN0BZQHXV3, 6475118]
[ordered-list, [211.0, 1326.0, 944.0, 36.0], shoonya_2sBEAN0BZQHXV3, 6475118]
[ordered-list, [211.0, 1362.0, 944.0, 36.0], shoonya_2sBEAN0BZQHXV3, 6475118]
[ordered-list, [211.0, 1398.0, 944.0, 36.0], shoonya_2sBEAN0BZQHXV3, 6475118]
[ordered-list, [211.0, 1434.0, 944.0, 36.0], shoonya_2sBEAN0BZQHXV3, 6475118]
[ordered-list, [211.0, 1470.0, 944.0, 36.0], shoonya_2sBEAN0BZQHXV3, 6475118]
[footnote, [138.0, 1584.0, 963.0, 36.0], xgUrt5kGEl, 6475118]
[footnote, [138.0, 1620.0, 963.0, 36.0], xgUrt5kGEl, 6475118]
[footnote, [138.0, 1656.0, 963.0, 36.0], xgUrt5kGEl, 6475118]
[website-link, [404.0, 1671.0, 246.0, 18.0], shoonya_1sWL41R4PL58BC, 6475118]
[website-link, [741.0, 1672.0, 152.0, 18.0], _6_oTUiKdx, 6475118]
