[872, 605]
[section-title, [174.0, 36.0, 257.0, 30.0], shoonya_0sP9LVQRE0SS3Z, 6456668]
[paragraph, [45.0, 80.0, 507.0, 18.0], bFsN_z8ey3, 6456668]
[paragraph, [45.0, 98.0, 507.0, 18.0], bFsN_z8ey3, 6456668]
[paragraph, [46.0, 125.0, 506.0, 18.0], ZbfI_dyDBk, 6456668]
[paragraph, [46.0, 143.0, 506.0, 18.0], ZbfI_dyDBk, 6456668]
[paragraph, [46.0, 161.0, 506.0, 18.0], ZbfI_dyDBk, 6456668]
[paragraph, [46.0, 179.0, 506.0, 18.0], ZbfI_dyDBk, 6456668]
[paragraph, [46.0, 197.0, 506.0, 18.0], ZbfI_dyDBk, 6456668]
[paragraph, [46.0, 215.0, 506.0, 18.0], ZbfI_dyDBk, 6456668]
[paragraph, [62.0, 239.0, 208.0, 18.0], iNNrVYdaa9, 6456668]
[ordered-list, [48.0, 261.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 279.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 297.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 315.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 333.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 351.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 369.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 387.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 405.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 423.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 441.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 459.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 477.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 495.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 513.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 531.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 549.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 567.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 585.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 603.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 621.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 639.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 657.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 675.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 693.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 711.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 729.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 747.0, 512.0, 18.0], kTELtwklCW, 6456668]
[ordered-list, [48.0, 765.0, 512.0, 18.0], kTELtwklCW, 6456668]
[footnote, [48.0, 794.0, 513.0, 18.0], WzQanYdQir, 6456668]
[footnote, [48.0, 812.0, 513.0, 18.0], WzQanYdQir, 6456668]
