[668, 446]
[folio, [311.0, 53.0, 96.0, 18.0], 7nTsWKJjpy, 6495131]
[paragraph, [23.0, 80.0, 422.0, 18.0], shoonya_0sVD22PYH69MCH, 6495131]
[paragraph, [23.0, 98.0, 422.0, 18.0], shoonya_0sVD22PYH69MCH, 6495131]
[paragraph, [23.0, 116.0, 422.0, 18.0], shoonya_0sVD22PYH69MCH, 6495131]
[paragraph, [23.0, 134.0, 422.0, 18.0], shoonya_0sVD22PYH69MCH, 6495131]
[paragraph, [19.0, 154.0, 399.0, 18.0], shoonya_1sRBHOBGE9AHZC, 6495131]
[paragraph, [19.0, 172.0, 399.0, 18.0], shoonya_1sRBHOBGE9AHZC, 6495131]
[paragraph, [19.0, 190.0, 399.0, 18.0], shoonya_1sRBHOBGE9AHZC, 6495131]
[paragraph, [19.0, 208.0, 399.0, 18.0], shoonya_1sRBHOBGE9AHZC, 6495131]
[paragraph, [19.0, 226.0, 399.0, 18.0], shoonya_1sRBHOBGE9AHZC, 6495131]
[paragraph, [19.0, 244.0, 399.0, 18.0], shoonya_1sRBHOBGE9AHZC, 6495131]
[paragraph, [19.0, 262.0, 399.0, 18.0], shoonya_1sRBHOBGE9AHZC, 6495131]
[paragraph, [19.0, 280.0, 399.0, 18.0], shoonya_1sRBHOBGE9AHZC, 6495131]
[paragraph, [19.0, 298.0, 399.0, 18.0], shoonya_1sRBHOBGE9AHZC, 6495131]
[paragraph, [19.0, 316.0, 399.0, 18.0], shoonya_1sRBHOBGE9AHZC, 6495131]
[paragraph, [19.0, 334.0, 399.0, 18.0], shoonya_1sRBHOBGE9AHZC, 6495131]
[paragraph, [19.0, 352.0, 399.0, 18.0], shoonya_1sRBHOBGE9AHZC, 6495131]
[paragraph, [15.0, 372.0, 403.0, 18.0], hrYfLkkq0s, 6495131]
[paragraph, [15.0, 390.0, 403.0, 18.0], hrYfLkkq0s, 6495131]
[paragraph, [15.0, 408.0, 403.0, 18.0], hrYfLkkq0s, 6495131]
[paragraph, [15.0, 426.0, 403.0, 18.0], hrYfLkkq0s, 6495131]
[paragraph, [18.0, 458.0, 404.0, 18.0], YP5l3yGhni, 6495131]
[paragraph, [18.0, 476.0, 404.0, 18.0], YP5l3yGhni, 6495131]
[paragraph, [18.0, 494.0, 404.0, 18.0], YP5l3yGhni, 6495131]
[paragraph, [18.0, 512.0, 404.0, 18.0], YP5l3yGhni, 6495131]
[paragraph, [18.0, 530.0, 404.0, 18.0], YP5l3yGhni, 6495131]
[paragraph, [18.0, 548.0, 404.0, 18.0], YP5l3yGhni, 6495131]
[paragraph, [18.0, 566.0, 404.0, 18.0], YP5l3yGhni, 6495131]
[paragraph, [18.0, 584.0, 404.0, 18.0], YP5l3yGhni, 6495131]
