[1638, 1048]
[paragraph, [106.0, 156.0, 834.0, 36.0], shoonya_4sNT406NHLT63N, 5681142]
[paragraph, [106.0, 192.0, 834.0, 36.0], shoonya_4sNT406NHLT63N, 5681142]
[paragraph, [106.0, 228.0, 834.0, 36.0], shoonya_4sNT406NHLT63N, 5681142]
[paragraph, [106.0, 264.0, 834.0, 36.0], shoonya_4sNT406NHLT63N, 5681142]
[paragraph, [106.0, 300.0, 834.0, 36.0], shoonya_4sNT406NHLT63N, 5681142]
[paragraph, [106.0, 336.0, 834.0, 36.0], shoonya_4sNT406NHLT63N, 5681142]
[paragraph, [107.0, 409.0, 834.0, 36.0], shoonya_5s7LL5LK985QFJ, 5681142]
[paragraph, [107.0, 445.0, 834.0, 36.0], shoonya_5s7LL5LK985QFJ, 5681142]
[paragraph, [107.0, 481.0, 834.0, 36.0], shoonya_5s7LL5LK985QFJ, 5681142]
[paragraph, [106.0, 619.0, 837.0, 36.0], M5J3o_YUqj, 5681142]
[paragraph, [106.0, 655.0, 837.0, 36.0], M5J3o_YUqj, 5681142]
[paragraph, [106.0, 691.0, 837.0, 36.0], M5J3o_YUqj, 5681142]
[paragraph, [106.0, 727.0, 837.0, 36.0], M5J3o_YUqj, 5681142]
[paragraph, [106.0, 763.0, 837.0, 36.0], M5J3o_YUqj, 5681142]
[paragraph, [106.0, 799.0, 837.0, 36.0], M5J3o_YUqj, 5681142]
[paragraph, [106.0, 835.0, 837.0, 36.0], M5J3o_YUqj, 5681142]
[paragraph, [106.0, 871.0, 837.0, 36.0], M5J3o_YUqj, 5681142]
[paragraph, [106.0, 907.0, 837.0, 36.0], M5J3o_YUqj, 5681142]
[paragraph, [106.0, 943.0, 837.0, 36.0], M5J3o_YUqj, 5681142]
[paragraph, [106.0, 979.0, 837.0, 36.0], M5J3o_YUqj, 5681142]
[paragraph, [106.0, 1015.0, 837.0, 36.0], M5J3o_YUqj, 5681142]
[paragraph, [106.0, 1051.0, 837.0, 36.0], M5J3o_YUqj, 5681142]
[paragraph, [106.0, 1087.0, 837.0, 36.0], M5J3o_YUqj, 5681142]
[paragraph, [106.0, 1123.0, 837.0, 36.0], M5J3o_YUqj, 5681142]
[paragraph, [106.0, 1159.0, 837.0, 36.0], M5J3o_YUqj, 5681142]
[paragraph, [106.0, 1195.0, 837.0, 36.0], M5J3o_YUqj, 5681142]
[paragraph, [106.0, 1231.0, 837.0, 36.0], M5J3o_YUqj, 5681142]
[paragraph, [106.0, 1267.0, 837.0, 36.0], M5J3o_YUqj, 5681142]
[paragraph, [106.0, 1303.0, 837.0, 36.0], M5J3o_YUqj, 5681142]
[paragraph, [106.0, 1339.0, 837.0, 36.0], M5J3o_YUqj, 5681142]
[paragraph, [106.0, 1375.0, 837.0, 36.0], M5J3o_YUqj, 5681142]
[paragraph, [106.0, 1411.0, 837.0, 36.0], M5J3o_YUqj, 5681142]
[paragraph, [106.0, 1447.0, 837.0, 36.0], M5J3o_YUqj, 5681142]
[paragraph, [106.0, 1483.0, 837.0, 36.0], M5J3o_YUqj, 5681142]
