[2339, 1653]
[folio, [1016.0, 156.0, 458.0, 36.0], shoonya_0sZ71BWF6WHZGC, 5685264]
[ordered-list, [368.0, 246.0, 1128.0, 36.0], shoonya_2sIXJ5FXWUH83T, 5685264]
[ordered-list, [368.0, 282.0, 1128.0, 36.0], shoonya_2sIXJ5FXWUH83T, 5685264]
[ordered-list, [368.0, 318.0, 1128.0, 36.0], shoonya_2sIXJ5FXWUH83T, 5685264]
[ordered-list, [368.0, 354.0, 1128.0, 36.0], shoonya_2sIXJ5FXWUH83T, 5685264]
[ordered-list, [368.0, 390.0, 1128.0, 36.0], shoonya_2sIXJ5FXWUH83T, 5685264]
[ordered-list, [368.0, 426.0, 1128.0, 36.0], shoonya_2sIXJ5FXWUH83T, 5685264]
[ordered-list, [368.0, 462.0, 1128.0, 36.0], shoonya_2sIXJ5FXWUH83T, 5685264]
[ordered-list, [368.0, 498.0, 1128.0, 36.0], shoonya_2sIXJ5FXWUH83T, 5685264]
[ordered-list, [368.0, 534.0, 1128.0, 36.0], shoonya_2sIXJ5FXWUH83T, 5685264]
[ordered-list, [368.0, 570.0, 1128.0, 36.0], shoonya_2sIXJ5FXWUH83T, 5685264]
[ordered-list, [368.0, 606.0, 1128.0, 36.0], shoonya_2sIXJ5FXWUH83T, 5685264]
[ordered-list, [368.0, 642.0, 1128.0, 36.0], shoonya_2sIXJ5FXWUH83T, 5685264]
[ordered-list, [368.0, 678.0, 1128.0, 36.0], shoonya_2sIXJ5FXWUH83T, 5685264]
[ordered-list, [368.0, 714.0, 1128.0, 36.0], shoonya_2sIXJ5FXWUH83T, 5685264]
[ordered-list, [368.0, 750.0, 1128.0, 36.0], shoonya_2sIXJ5FXWUH83T, 5685264]
[paragraph, [365.0, 878.0, 1130.0, 36.0], shoonya_4s9MLDBLOK5603, 5685264]
[paragraph, [365.0, 914.0, 1130.0, 36.0], shoonya_4s9MLDBLOK5603, 5685264]
[paragraph, [365.0, 950.0, 1130.0, 36.0], shoonya_4s9MLDBLOK5603, 5685264]
[paragraph, [365.0, 986.0, 1130.0, 36.0], shoonya_4s9MLDBLOK5603, 5685264]
[ordered-list, [363.0, 1038.0, 1132.0, 36.0], shoonya_5sECS540YGTRZK, 5685264]
[ordered-list, [363.0, 1074.0, 1132.0, 36.0], shoonya_5sECS540YGTRZK, 5685264]
[ordered-list, [363.0, 1110.0, 1132.0, 36.0], shoonya_5sECS540YGTRZK, 5685264]
[ordered-list, [363.0, 1146.0, 1132.0, 36.0], shoonya_5sECS540YGTRZK, 5685264]
[ordered-list, [363.0, 1182.0, 1132.0, 36.0], shoonya_5sECS540YGTRZK, 5685264]
[ordered-list, [363.0, 1218.0, 1132.0, 36.0], shoonya_5sECS540YGTRZK, 5685264]
[ordered-list, [363.0, 1254.0, 1132.0, 36.0], shoonya_5sECS540YGTRZK, 5685264]
[ordered-list, [363.0, 1290.0, 1132.0, 36.0], shoonya_5sECS540YGTRZK, 5685264]
[ordered-list, [363.0, 1326.0, 1132.0, 36.0], shoonya_5sECS540YGTRZK, 5685264]
[ordered-list, [363.0, 1362.0, 1132.0, 36.0], shoonya_5sECS540YGTRZK, 5685264]
[paragraph, [356.0, 1498.0, 1141.0, 36.0], shoonya_7sFU3DHR0K7AIQ, 5685264]
[paragraph, [356.0, 1534.0, 1141.0, 36.0], shoonya_7sFU3DHR0K7AIQ, 5685264]
[paragraph, [356.0, 1570.0, 1141.0, 36.0], shoonya_7sFU3DHR0K7AIQ, 5685264]
[ordered-list, [367.0, 1650.0, 1126.0, 36.0], AFSn8565jP, 5685264]
[ordered-list, [367.0, 1686.0, 1126.0, 36.0], AFSn8565jP, 5685264]
[ordered-list, [367.0, 1722.0, 1126.0, 36.0], AFSn8565jP, 5685264]
[ordered-list, [367.0, 1758.0, 1126.0, 36.0], AFSn8565jP, 5685264]
[ordered-list, [367.0, 1794.0, 1126.0, 36.0], AFSn8565jP, 5685264]
[ordered-list, [367.0, 1830.0, 1126.0, 36.0], AFSn8565jP, 5685264]
[ordered-list, [367.0, 1866.0, 1126.0, 36.0], AFSn8565jP, 5685264]
[ordered-list, [367.0, 1902.0, 1126.0, 36.0], AFSn8565jP, 5685264]
[ordered-list, [367.0, 1938.0, 1126.0, 36.0], AFSn8565jP, 5685264]
[ordered-list, [367.0, 1974.0, 1126.0, 36.0], AFSn8565jP, 5685264]
[ordered-list, [367.0, 2010.0, 1126.0, 36.0], AFSn8565jP, 5685264]
[ordered-list, [367.0, 2046.0, 1126.0, 36.0], AFSn8565jP, 5685264]
