[870, 612]
[chapter-title, [208.0, 24.0, 154.0, 30.0], L1bhOzmYVj, 6460795]
[paragraph, [96.0, 81.0, 299.0, 18.0], 5m0cSGoCUz, 6460795]
[paragraph, [96.0, 99.0, 299.0, 18.0], 5m0cSGoCUz, 6460795]
[paragraph, [96.0, 117.0, 299.0, 18.0], 5m0cSGoCUz, 6460795]
[paragraph, [96.0, 135.0, 299.0, 18.0], 5m0cSGoCUz, 6460795]
[paragraph, [96.0, 153.0, 299.0, 18.0], 5m0cSGoCUz, 6460795]
[paragraph, [96.0, 171.0, 299.0, 18.0], 5m0cSGoCUz, 6460795]
[paragraph, [83.0, 224.0, 316.0, 18.0], I7SaHfMXT-, 6460795]
[paragraph, [83.0, 242.0, 316.0, 18.0], I7SaHfMXT-, 6460795]
[paragraph, [83.0, 260.0, 316.0, 18.0], I7SaHfMXT-, 6460795]
[paragraph, [83.0, 278.0, 316.0, 18.0], I7SaHfMXT-, 6460795]
[paragraph, [83.0, 296.0, 316.0, 18.0], I7SaHfMXT-, 6460795]
[paragraph, [83.0, 314.0, 316.0, 18.0], I7SaHfMXT-, 6460795]
[paragraph, [83.0, 332.0, 316.0, 18.0], I7SaHfMXT-, 6460795]
[paragraph, [83.0, 377.0, 335.0, 18.0], q5x_0A6G_n, 6460795]
[paragraph, [83.0, 395.0, 335.0, 18.0], q5x_0A6G_n, 6460795]
[paragraph, [83.0, 413.0, 335.0, 18.0], q5x_0A6G_n, 6460795]
[paragraph, [83.0, 431.0, 335.0, 18.0], q5x_0A6G_n, 6460795]
[paragraph, [83.0, 449.0, 335.0, 18.0], q5x_0A6G_n, 6460795]
[paragraph, [83.0, 467.0, 335.0, 18.0], q5x_0A6G_n, 6460795]
[paragraph, [91.0, 534.0, 347.0, 18.0], nUt2PUzJw5, 6460795]
[paragraph, [91.0, 552.0, 347.0, 18.0], nUt2PUzJw5, 6460795]
[paragraph, [91.0, 570.0, 347.0, 18.0], nUt2PUzJw5, 6460795]
[paragraph, [91.0, 588.0, 347.0, 18.0], nUt2PUzJw5, 6460795]
[paragraph, [91.0, 606.0, 347.0, 18.0], nUt2PUzJw5, 6460795]
[paragraph, [91.0, 624.0, 347.0, 18.0], nUt2PUzJw5, 6460795]
[paragraph, [91.0, 642.0, 347.0, 18.0], nUt2PUzJw5, 6460795]
[paragraph, [89.0, 693.0, 325.0, 18.0], _BWmcNB4L2, 6460795]
[paragraph, [89.0, 711.0, 325.0, 18.0], _BWmcNB4L2, 6460795]
[paragraph, [89.0, 729.0, 325.0, 18.0], _BWmcNB4L2, 6460795]
[paragraph, [89.0, 747.0, 325.0, 18.0], _BWmcNB4L2, 6460795]
[paragraph, [89.0, 765.0, 325.0, 18.0], _BWmcNB4L2, 6460795]
[paragraph, [89.0, 783.0, 325.0, 18.0], _BWmcNB4L2, 6460795]
[paragraph, [89.0, 801.0, 325.0, 18.0], _BWmcNB4L2, 6460795]
