[1350, 900]
[folio, [534.0, 198.0, 197.0, 18.0], th03keXXAL, 5760173]
[paragraph, [195.0, 246.0, 551.0, 18.0], shoonya_1sPO0XFX6N6N5N, 5760173]
[paragraph, [195.0, 264.0, 551.0, 18.0], shoonya_1sPO0XFX6N6N5N, 5760173]
[paragraph, [195.0, 282.0, 551.0, 18.0], shoonya_1sPO0XFX6N6N5N, 5760173]
[paragraph, [193.0, 317.0, 567.0, 18.0], shoonya_0sVWDC7MUA0YOT, 5760173]
[paragraph, [193.0, 335.0, 567.0, 18.0], shoonya_0sVWDC7MUA0YOT, 5760173]
[paragraph, [193.0, 353.0, 567.0, 18.0], shoonya_0sVWDC7MUA0YOT, 5760173]
[paragraph, [193.0, 371.0, 567.0, 18.0], shoonya_0sVWDC7MUA0YOT, 5760173]
[paragraph, [193.0, 389.0, 567.0, 18.0], shoonya_0sVWDC7MUA0YOT, 5760173]
[paragraph, [193.0, 407.0, 567.0, 18.0], shoonya_0sVWDC7MUA0YOT, 5760173]
[paragraph, [193.0, 425.0, 567.0, 18.0], shoonya_0sVWDC7MUA0YOT, 5760173]
[paragraph, [193.0, 443.0, 567.0, 18.0], shoonya_0sVWDC7MUA0YOT, 5760173]
[paragraph, [193.0, 461.0, 567.0, 18.0], shoonya_0sVWDC7MUA0YOT, 5760173]
[paragraph, [193.0, 479.0, 567.0, 18.0], shoonya_0sVWDC7MUA0YOT, 5760173]
[paragraph, [193.0, 497.0, 567.0, 18.0], shoonya_0sVWDC7MUA0YOT, 5760173]
[paragraph, [185.0, 530.0, 584.0, 18.0], lekvwV-npY, 5760173]
[paragraph, [185.0, 548.0, 584.0, 18.0], lekvwV-npY, 5760173]
[paragraph, [185.0, 566.0, 584.0, 18.0], lekvwV-npY, 5760173]
[paragraph, [185.0, 584.0, 584.0, 18.0], lekvwV-npY, 5760173]
[paragraph, [185.0, 602.0, 584.0, 18.0], lekvwV-npY, 5760173]
[paragraph, [185.0, 620.0, 584.0, 18.0], lekvwV-npY, 5760173]
[paragraph, [185.0, 638.0, 584.0, 18.0], lekvwV-npY, 5760173]
[paragraph, [185.0, 656.0, 584.0, 18.0], lekvwV-npY, 5760173]
[paragraph, [185.0, 674.0, 584.0, 18.0], lekvwV-npY, 5760173]
[paragraph, [188.0, 699.0, 578.0, 18.0], liSfBblndn, 5760173]
[paragraph, [188.0, 717.0, 578.0, 18.0], liSfBblndn, 5760173]
[paragraph, [188.0, 735.0, 578.0, 18.0], liSfBblndn, 5760173]
[paragraph, [187.0, 765.0, 573.0, 18.0], Js2XTmNW8A, 5760173]
[paragraph, [187.0, 783.0, 573.0, 18.0], Js2XTmNW8A, 5760173]
[paragraph, [187.0, 801.0, 573.0, 18.0], Js2XTmNW8A, 5760173]
[paragraph, [187.0, 819.0, 573.0, 18.0], Js2XTmNW8A, 5760173]
[paragraph, [187.0, 837.0, 573.0, 18.0], Js2XTmNW8A, 5760173]
[paragraph, [187.0, 855.0, 573.0, 18.0], Js2XTmNW8A, 5760173]
[paragraph, [187.0, 873.0, 573.0, 18.0], Js2XTmNW8A, 5760173]
[paragraph, [191.0, 911.0, 569.0, 18.0], K9uRgJL2DT, 5760173]
[paragraph, [191.0, 929.0, 569.0, 18.0], K9uRgJL2DT, 5760173]
[paragraph, [191.0, 947.0, 569.0, 18.0], K9uRgJL2DT, 5760173]
[paragraph, [191.0, 965.0, 569.0, 18.0], K9uRgJL2DT, 5760173]
[paragraph, [191.0, 983.0, 569.0, 18.0], K9uRgJL2DT, 5760173]
[paragraph, [191.0, 1001.0, 569.0, 18.0], K9uRgJL2DT, 5760173]
[paragraph, [191.0, 1019.0, 569.0, 18.0], K9uRgJL2DT, 5760173]
[paragraph, [191.0, 1037.0, 569.0, 18.0], K9uRgJL2DT, 5760173]
[paragraph, [191.0, 1055.0, 569.0, 18.0], K9uRgJL2DT, 5760173]
[paragraph, [192.0, 1089.0, 568.0, 18.0], LWMjSLtnWh, 5760173]
[paragraph, [192.0, 1107.0, 568.0, 18.0], LWMjSLtnWh, 5760173]
[paragraph, [192.0, 1125.0, 568.0, 18.0], LWMjSLtnWh, 5760173]
