[1536, 664]
[section-title, [85.0, 140.0, 151.0, 49.5], j_zkqJrS0x, 5725679]
[paragraph, [10.0, 431.0, 565.0, 36.0], shoonya_0s6WCCOZQB9XYY, 5725679]
[paragraph, [10.0, 467.0, 565.0, 36.0], shoonya_0s6WCCOZQB9XYY, 5725679]
[paragraph, [10.0, 503.0, 565.0, 36.0], shoonya_0s6WCCOZQB9XYY, 5725679]
[paragraph, [19.0, 607.0, 550.0, 36.0], idf38Jo7lQ, 5725679]
[paragraph, [19.0, 643.0, 550.0, 36.0], idf38Jo7lQ, 5725679]
[paragraph, [19.0, 679.0, 550.0, 36.0], idf38Jo7lQ, 5725679]
[paragraph, [19.0, 782.0, 548.0, 36.0], 8tkLB87Yy_, 5725679]
[paragraph, [20.0, 889.0, 548.0, 36.0], Yut_a8n3Ya, 5725679]
[paragraph, [21.0, 997.0, 546.0, 36.0], Y4PktJoe9-, 5725679]
[paragraph, [19.0, 1105.0, 546.0, 36.0], rFPFMsb7e5, 5725679]
[paragraph, [19.0, 1141.0, 546.0, 36.0], rFPFMsb7e5, 5725679]
[paragraph, [19.0, 1233.0, 547.0, 36.0], hIkdCyN8ex, 5725679]
[paragraph, [19.0, 1269.0, 547.0, 36.0], hIkdCyN8ex, 5725679]
[paragraph, [19.0, 1361.0, 549.0, 36.0], HhCpm7Sd6e, 5725679]
[contact-info, [300.0, 1477.0, 200.0, 36.0], _p4tj-ZxjQ, 5725679]
