[2339, 1653]
[headline, [675.0, 165.0, 337.0, 67.5], shoonya_1sD63OTOY40PKZ, 5689005]
[sidebar, [631.0, 341.0, 484.0, 36.0], dBeV96f-JE, 5689005]
[paragraph, [183.0, 441.0, 1321.0, 36.0], shoonya_0sPRKKDZ3W9Z17, 5689005]
[paragraph, [183.0, 477.0, 1321.0, 36.0], shoonya_0sPRKKDZ3W9Z17, 5689005]
[paragraph, [183.0, 513.0, 1321.0, 36.0], shoonya_0sPRKKDZ3W9Z17, 5689005]
[paragraph, [183.0, 549.0, 1321.0, 36.0], shoonya_0sPRKKDZ3W9Z17, 5689005]
[paragraph, [183.0, 585.0, 1321.0, 36.0], shoonya_0sPRKKDZ3W9Z17, 5689005]
[paragraph, [183.0, 621.0, 1321.0, 36.0], shoonya_0sPRKKDZ3W9Z17, 5689005]
[paragraph, [183.0, 657.0, 1321.0, 36.0], shoonya_0sPRKKDZ3W9Z17, 5689005]
[unordered-list, [169.0, 723.0, 1392.0, 36.0], L6alow1oO_, 5689005]
[unordered-list, [169.0, 759.0, 1392.0, 36.0], L6alow1oO_, 5689005]
[unordered-list, [169.0, 795.0, 1392.0, 36.0], L6alow1oO_, 5689005]
[unordered-list, [169.0, 831.0, 1392.0, 36.0], L6alow1oO_, 5689005]
[unordered-list, [169.0, 867.0, 1392.0, 36.0], L6alow1oO_, 5689005]
[unordered-list, [169.0, 903.0, 1392.0, 36.0], L6alow1oO_, 5689005]
[unordered-list, [169.0, 939.0, 1392.0, 36.0], L6alow1oO_, 5689005]
[unordered-list, [169.0, 975.0, 1392.0, 36.0], L6alow1oO_, 5689005]
[unordered-list, [169.0, 1011.0, 1392.0, 36.0], L6alow1oO_, 5689005]
[unordered-list, [169.0, 1047.0, 1392.0, 36.0], L6alow1oO_, 5689005]
[unordered-list, [169.0, 1083.0, 1392.0, 36.0], L6alow1oO_, 5689005]
[unordered-list, [169.0, 1119.0, 1392.0, 36.0], L6alow1oO_, 5689005]
[unordered-list, [169.0, 1155.0, 1392.0, 36.0], L6alow1oO_, 5689005]
[reference, [271.0, 1280.0, 801.0, 36.0], ivDYnO2ycF, 5689005]
[reference, [271.0, 1316.0, 801.0, 36.0], ivDYnO2ycF, 5689005]
[reference, [271.0, 1352.0, 801.0, 36.0], ivDYnO2ycF, 5689005]
[reference, [271.0, 1388.0, 801.0, 36.0], ivDYnO2ycF, 5689005]
[reference, [276.0, 1501.0, 1123.0, 36.0], shoonya_3sDL4662CU56F1, 5689005]
[reference, [276.0, 1537.0, 1123.0, 36.0], shoonya_3sDL4662CU56F1, 5689005]
[reference, [276.0, 1573.0, 1123.0, 36.0], shoonya_3sDL4662CU56F1, 5689005]
[reference, [276.0, 1609.0, 1123.0, 36.0], shoonya_3sDL4662CU56F1, 5689005]
[reference, [276.0, 1645.0, 1123.0, 36.0], shoonya_3sDL4662CU56F1, 5689005]
[reference, [276.0, 1681.0, 1123.0, 36.0], shoonya_3sDL4662CU56F1, 5689005]
[reference, [276.0, 1717.0, 1123.0, 36.0], shoonya_3sDL4662CU56F1, 5689005]
[reference, [276.0, 1753.0, 1123.0, 36.0], shoonya_3sDL4662CU56F1, 5689005]
[reference, [276.0, 1789.0, 1123.0, 36.0], shoonya_3sDL4662CU56F1, 5689005]
[reference, [276.0, 1825.0, 1123.0, 36.0], shoonya_3sDL4662CU56F1, 5689005]
[reference, [276.0, 1861.0, 1123.0, 36.0], shoonya_3sDL4662CU56F1, 5689005]
[reference, [276.0, 1897.0, 1123.0, 36.0], shoonya_3sDL4662CU56F1, 5689005]
[reference, [276.0, 1933.0, 1123.0, 36.0], shoonya_3sDL4662CU56F1, 5689005]
[reference, [276.0, 1969.0, 1123.0, 36.0], shoonya_3sDL4662CU56F1, 5689005]
[reference, [276.0, 2005.0, 1123.0, 36.0], shoonya_3sDL4662CU56F1, 5689005]
[reference, [276.0, 2041.0, 1123.0, 36.0], shoonya_3sDL4662CU56F1, 5689005]
[reference, [276.0, 2077.0, 1123.0, 36.0], shoonya_3sDL4662CU56F1, 5689005]
[reference, [276.0, 2113.0, 1123.0, 36.0], shoonya_3sDL4662CU56F1, 5689005]
