[1200, 825]
[paragraph, [144.0, 109.0, 537.0, 18.0], shoonya_2s27T0ZJO9OVRQ, 5691152]
[paragraph, [144.0, 127.0, 537.0, 18.0], shoonya_2s27T0ZJO9OVRQ, 5691152]
[paragraph, [144.0, 145.0, 537.0, 18.0], shoonya_2s27T0ZJO9OVRQ, 5691152]
[paragraph, [144.0, 163.0, 537.0, 18.0], shoonya_2s27T0ZJO9OVRQ, 5691152]
[paragraph, [144.0, 181.0, 537.0, 18.0], shoonya_2s27T0ZJO9OVRQ, 5691152]
[paragraph, [144.0, 199.0, 537.0, 18.0], shoonya_2s27T0ZJO9OVRQ, 5691152]
[paragraph, [145.0, 234.0, 537.0, 18.0], shoonya_1s73XMTP6V91MU, 5691152]
[paragraph, [145.0, 252.0, 537.0, 18.0], shoonya_1s73XMTP6V91MU, 5691152]
[paragraph, [145.0, 270.0, 537.0, 18.0], shoonya_1s73XMTP6V91MU, 5691152]
[paragraph, [145.0, 288.0, 537.0, 18.0], shoonya_1s73XMTP6V91MU, 5691152]
[paragraph, [145.0, 306.0, 537.0, 18.0], shoonya_1s73XMTP6V91MU, 5691152]
[paragraph, [145.0, 324.0, 537.0, 18.0], shoonya_1s73XMTP6V91MU, 5691152]
[paragraph, [145.0, 342.0, 537.0, 18.0], shoonya_1s73XMTP6V91MU, 5691152]
[paragraph, [145.0, 360.0, 537.0, 18.0], shoonya_1s73XMTP6V91MU, 5691152]
[paragraph, [145.0, 378.0, 537.0, 18.0], shoonya_1s73XMTP6V91MU, 5691152]
[paragraph, [145.0, 396.0, 537.0, 18.0], shoonya_1s73XMTP6V91MU, 5691152]
[paragraph, [145.0, 414.0, 537.0, 18.0], shoonya_1s73XMTP6V91MU, 5691152]
[paragraph, [145.0, 432.0, 537.0, 18.0], shoonya_1s73XMTP6V91MU, 5691152]
[paragraph, [145.0, 450.0, 537.0, 18.0], shoonya_1s73XMTP6V91MU, 5691152]
[paragraph, [145.0, 468.0, 537.0, 18.0], shoonya_1s73XMTP6V91MU, 5691152]
[paragraph, [145.0, 486.0, 537.0, 18.0], shoonya_1s73XMTP6V91MU, 5691152]
[paragraph, [145.0, 504.0, 537.0, 18.0], shoonya_1s73XMTP6V91MU, 5691152]
[paragraph, [145.0, 522.0, 537.0, 18.0], shoonya_1s73XMTP6V91MU, 5691152]
[paragraph, [145.0, 540.0, 537.0, 18.0], shoonya_1s73XMTP6V91MU, 5691152]
[paragraph, [145.0, 558.0, 537.0, 18.0], shoonya_1s73XMTP6V91MU, 5691152]
[paragraph, [145.0, 576.0, 537.0, 18.0], shoonya_1s73XMTP6V91MU, 5691152]
[paragraph, [144.0, 599.0, 538.0, 18.0], shoonya_0sTA6DSZ5JB2IB, 5691152]
[paragraph, [144.0, 617.0, 538.0, 18.0], shoonya_0sTA6DSZ5JB2IB, 5691152]
[paragraph, [144.0, 635.0, 538.0, 18.0], shoonya_0sTA6DSZ5JB2IB, 5691152]
[paragraph, [144.0, 653.0, 538.0, 18.0], shoonya_0sTA6DSZ5JB2IB, 5691152]
[paragraph, [144.0, 671.0, 538.0, 18.0], shoonya_0sTA6DSZ5JB2IB, 5691152]
[paragraph, [144.0, 689.0, 538.0, 18.0], shoonya_0sTA6DSZ5JB2IB, 5691152]
[paragraph, [144.0, 707.0, 538.0, 18.0], shoonya_0sTA6DSZ5JB2IB, 5691152]
[paragraph, [144.0, 725.0, 538.0, 18.0], shoonya_0sTA6DSZ5JB2IB, 5691152]
[paragraph, [144.0, 743.0, 538.0, 18.0], shoonya_0sTA6DSZ5JB2IB, 5691152]
[paragraph, [144.0, 761.0, 538.0, 18.0], shoonya_0sTA6DSZ5JB2IB, 5691152]
[paragraph, [144.0, 779.0, 538.0, 18.0], shoonya_0sTA6DSZ5JB2IB, 5691152]
[paragraph, [144.0, 797.0, 538.0, 18.0], shoonya_0sTA6DSZ5JB2IB, 5691152]
[paragraph, [144.0, 815.0, 538.0, 18.0], shoonya_0sTA6DSZ5JB2IB, 5691152]
[paragraph, [144.0, 833.0, 538.0, 18.0], shoonya_0sTA6DSZ5JB2IB, 5691152]
[paragraph, [144.0, 851.0, 538.0, 18.0], shoonya_0sTA6DSZ5JB2IB, 5691152]
[paragraph, [144.0, 869.0, 538.0, 18.0], shoonya_0sTA6DSZ5JB2IB, 5691152]
[paragraph, [144.0, 887.0, 538.0, 18.0], shoonya_0sTA6DSZ5JB2IB, 5691152]
[paragraph, [144.0, 905.0, 538.0, 18.0], shoonya_0sTA6DSZ5JB2IB, 5691152]
