[1754, 1241]
[sub-section-title, [250.0, 276.0, 707.0, 36.0], shoonya_2sUT03U7FSG1K3, 5761762]
[ordered-list, [187.0, 367.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 403.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 439.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 475.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 511.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 547.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 583.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 619.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 655.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 691.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 727.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 763.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 799.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 835.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 871.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 907.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 943.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 979.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 1015.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 1051.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 1087.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 1123.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 1159.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 1195.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 1231.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 1267.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 1303.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 1339.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 1375.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 1411.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
[ordered-list, [187.0, 1447.0, 754.0, 36.0], shoonya_0s8R7K2T2TZJ4C, 5761762]
