[792, 612]
[section-title, [106.0, 44.0, 220.0, 30.0], Dc46f8a_Di, 5769908]
[paragraph, [105.0, 91.0, 440.0, 18.0], shoonya_0sD9A0ZZNY0U6B, 5769908]
[paragraph, [105.0, 109.0, 440.0, 18.0], shoonya_0sD9A0ZZNY0U6B, 5769908]
[paragraph, [105.0, 127.0, 440.0, 18.0], shoonya_0sD9A0ZZNY0U6B, 5769908]
[paragraph, [105.0, 145.0, 440.0, 18.0], shoonya_0sD9A0ZZNY0U6B, 5769908]
[paragraph, [105.0, 163.0, 440.0, 18.0], shoonya_0sD9A0ZZNY0U6B, 5769908]
[paragraph, [105.0, 181.0, 440.0, 18.0], shoonya_0sD9A0ZZNY0U6B, 5769908]
[paragraph, [105.0, 199.0, 440.0, 18.0], shoonya_0sD9A0ZZNY0U6B, 5769908]
[paragraph, [105.0, 217.0, 440.0, 18.0], shoonya_0sD9A0ZZNY0U6B, 5769908]
[paragraph, [105.0, 235.0, 440.0, 18.0], shoonya_0sD9A0ZZNY0U6B, 5769908]
[paragraph, [105.0, 253.0, 440.0, 18.0], shoonya_0sD9A0ZZNY0U6B, 5769908]
[paragraph, [105.0, 271.0, 440.0, 18.0], shoonya_0sD9A0ZZNY0U6B, 5769908]
[paragraph, [105.0, 289.0, 440.0, 18.0], shoonya_0sD9A0ZZNY0U6B, 5769908]
[paragraph, [105.0, 307.0, 440.0, 18.0], shoonya_0sD9A0ZZNY0U6B, 5769908]
[paragraph, [105.0, 325.0, 440.0, 18.0], shoonya_0sD9A0ZZNY0U6B, 5769908]
[paragraph, [105.0, 343.0, 440.0, 18.0], shoonya_0sD9A0ZZNY0U6B, 5769908]
[paragraph, [107.0, 377.0, 436.0, 18.0], pq_k_XU_R7, 5769908]
[paragraph, [107.0, 395.0, 436.0, 18.0], pq_k_XU_R7, 5769908]
[paragraph, [107.0, 413.0, 436.0, 18.0], pq_k_XU_R7, 5769908]
[paragraph, [107.0, 431.0, 436.0, 18.0], pq_k_XU_R7, 5769908]
[paragraph, [107.0, 449.0, 436.0, 18.0], pq_k_XU_R7, 5769908]
[paragraph, [107.0, 467.0, 436.0, 18.0], pq_k_XU_R7, 5769908]
[paragraph, [107.0, 485.0, 436.0, 18.0], pq_k_XU_R7, 5769908]
[paragraph, [107.0, 503.0, 436.0, 18.0], pq_k_XU_R7, 5769908]
[paragraph, [104.0, 549.0, 433.0, 18.0], BhfCfVZGxB, 5769908]
[paragraph, [104.0, 567.0, 433.0, 18.0], BhfCfVZGxB, 5769908]
[paragraph, [104.0, 585.0, 433.0, 18.0], BhfCfVZGxB, 5769908]
[paragraph, [104.0, 603.0, 433.0, 18.0], BhfCfVZGxB, 5769908]
[paragraph, [104.0, 621.0, 433.0, 18.0], BhfCfVZGxB, 5769908]
[paragraph, [104.0, 639.0, 433.0, 18.0], BhfCfVZGxB, 5769908]
[paragraph, [104.0, 657.0, 433.0, 18.0], BhfCfVZGxB, 5769908]
[paragraph, [104.0, 675.0, 433.0, 18.0], BhfCfVZGxB, 5769908]
[paragraph, [104.0, 693.0, 433.0, 18.0], BhfCfVZGxB, 5769908]
