[2339, 1653]
[paragraph, [327.0, 160.0, 1136.0, 36.0], shoonya_2sKYT24QLB0BRV, 5733897]
[paragraph, [327.0, 196.0, 1136.0, 36.0], shoonya_2sKYT24QLB0BRV, 5733897]
[paragraph, [327.0, 232.0, 1136.0, 36.0], shoonya_2sKYT24QLB0BRV, 5733897]
[paragraph, [327.0, 268.0, 1136.0, 36.0], shoonya_2sKYT24QLB0BRV, 5733897]
[paragraph, [327.0, 304.0, 1136.0, 36.0], shoonya_2sKYT24QLB0BRV, 5733897]
[paragraph, [327.0, 340.0, 1136.0, 36.0], shoonya_2sKYT24QLB0BRV, 5733897]
[paragraph, [327.0, 376.0, 1136.0, 36.0], shoonya_2sKYT24QLB0BRV, 5733897]
[paragraph, [327.0, 412.0, 1136.0, 36.0], shoonya_2sKYT24QLB0BRV, 5733897]
[paragraph, [327.0, 448.0, 1136.0, 36.0], shoonya_2sKYT24QLB0BRV, 5733897]
[paragraph, [327.0, 484.0, 1136.0, 36.0], shoonya_2sKYT24QLB0BRV, 5733897]
[paragraph, [327.0, 520.0, 1136.0, 36.0], shoonya_2sKYT24QLB0BRV, 5733897]
[paragraph, [327.0, 556.0, 1136.0, 36.0], shoonya_2sKYT24QLB0BRV, 5733897]
[paragraph, [327.0, 592.0, 1136.0, 36.0], shoonya_2sKYT24QLB0BRV, 5733897]
[paragraph, [327.0, 628.0, 1136.0, 36.0], shoonya_2sKYT24QLB0BRV, 5733897]
[paragraph, [327.0, 664.0, 1136.0, 36.0], shoonya_2sKYT24QLB0BRV, 5733897]
[paragraph, [327.0, 700.0, 1136.0, 36.0], shoonya_2sKYT24QLB0BRV, 5733897]
[paragraph, [327.0, 736.0, 1136.0, 36.0], shoonya_2sKYT24QLB0BRV, 5733897]
[paragraph, [327.0, 772.0, 1136.0, 36.0], shoonya_2sKYT24QLB0BRV, 5733897]
[paragraph, [327.0, 808.0, 1136.0, 36.0], shoonya_2sKYT24QLB0BRV, 5733897]
[paragraph, [327.0, 844.0, 1136.0, 36.0], shoonya_2sKYT24QLB0BRV, 5733897]
[paragraph, [327.0, 880.0, 1136.0, 36.0], shoonya_2sKYT24QLB0BRV, 5733897]
[paragraph, [327.0, 916.0, 1136.0, 36.0], shoonya_2sKYT24QLB0BRV, 5733897]
[paragraph, [327.0, 952.0, 1136.0, 36.0], shoonya_2sKYT24QLB0BRV, 5733897]
[paragraph, [325.0, 1001.0, 1140.0, 36.0], shoonya_0sNSCN6276VIZU, 5733897]
[paragraph, [325.0, 1037.0, 1140.0, 36.0], shoonya_0sNSCN6276VIZU, 5733897]
[paragraph, [325.0, 1073.0, 1140.0, 36.0], shoonya_0sNSCN6276VIZU, 5733897]
[paragraph, [325.0, 1109.0, 1140.0, 36.0], shoonya_0sNSCN6276VIZU, 5733897]
[paragraph, [325.0, 1145.0, 1140.0, 36.0], shoonya_0sNSCN6276VIZU, 5733897]
[paragraph, [325.0, 1181.0, 1140.0, 36.0], shoonya_0sNSCN6276VIZU, 5733897]
[paragraph, [325.0, 1217.0, 1140.0, 36.0], shoonya_0sNSCN6276VIZU, 5733897]
[paragraph, [325.0, 1253.0, 1140.0, 36.0], shoonya_0sNSCN6276VIZU, 5733897]
[paragraph, [325.0, 1289.0, 1140.0, 36.0], shoonya_0sNSCN6276VIZU, 5733897]
[paragraph, [325.0, 1325.0, 1140.0, 36.0], shoonya_0sNSCN6276VIZU, 5733897]
[paragraph, [325.0, 1361.0, 1140.0, 36.0], shoonya_0sNSCN6276VIZU, 5733897]
[paragraph, [325.0, 1397.0, 1140.0, 36.0], shoonya_0sNSCN6276VIZU, 5733897]
[paragraph, [325.0, 1433.0, 1140.0, 36.0], shoonya_0sNSCN6276VIZU, 5733897]
[paragraph, [325.0, 1469.0, 1140.0, 36.0], shoonya_0sNSCN6276VIZU, 5733897]
[paragraph, [325.0, 1505.0, 1140.0, 36.0], shoonya_0sNSCN6276VIZU, 5733897]
[paragraph, [324.0, 1554.0, 1140.0, 36.0], shoonya_1s0RXT0BLM18TI, 5733897]
[paragraph, [324.0, 1590.0, 1140.0, 36.0], shoonya_1s0RXT0BLM18TI, 5733897]
[paragraph, [324.0, 1626.0, 1140.0, 36.0], shoonya_1s0RXT0BLM18TI, 5733897]
[paragraph, [324.0, 1662.0, 1140.0, 36.0], shoonya_1s0RXT0BLM18TI, 5733897]
[paragraph, [324.0, 1698.0, 1140.0, 36.0], shoonya_1s0RXT0BLM18TI, 5733897]
[paragraph, [324.0, 1734.0, 1140.0, 36.0], shoonya_1s0RXT0BLM18TI, 5733897]
[paragraph, [324.0, 1770.0, 1140.0, 36.0], shoonya_1s0RXT0BLM18TI, 5733897]
[paragraph, [324.0, 1806.0, 1140.0, 36.0], shoonya_1s0RXT0BLM18TI, 5733897]
[paragraph, [324.0, 1842.0, 1140.0, 36.0], shoonya_1s0RXT0BLM18TI, 5733897]
[paragraph, [324.0, 1878.0, 1140.0, 36.0], shoonya_1s0RXT0BLM18TI, 5733897]
[paragraph, [324.0, 1914.0, 1140.0, 36.0], shoonya_1s0RXT0BLM18TI, 5733897]
[paragraph, [324.0, 1950.0, 1140.0, 36.0], shoonya_1s0RXT0BLM18TI, 5733897]
[paragraph, [324.0, 1986.0, 1140.0, 36.0], shoonya_1s0RXT0BLM18TI, 5733897]
[paragraph, [381.0, 2054.0, 1085.0, 36.0], K19pHpQ_eX, 5733897]
[folio, [1248.0, 2159.0, 156.0, 36.0], yxQYOIsNEN, 5733897]
