[2000, 1414]
[headline, [30.0, 56.0, 822.0, 67.5], G_3Xn1GOPi, 6490916]
[headline, [30.0, 123.5, 822.0, 67.5], G_3Xn1GOPi, 6490916]
[headline, [30.0, 191.0, 822.0, 67.5], G_3Xn1GOPi, 6490916]
[headline, [30.0, 258.5, 822.0, 67.5], G_3Xn1GOPi, 6490916]
[headline, [30.0, 326.0, 822.0, 67.5], G_3Xn1GOPi, 6490916]
[headline, [30.0, 393.5, 822.0, 67.5], G_3Xn1GOPi, 6490916]
[headline, [30.0, 461.0, 822.0, 67.5], G_3Xn1GOPi, 6490916]
[headline, [30.0, 528.5, 822.0, 67.5], G_3Xn1GOPi, 6490916]
[paragraph, [999.0, 68.0, 370.0, 36.0], vS7pXNoL3G, 6490916]
[paragraph, [999.0, 104.0, 370.0, 36.0], vS7pXNoL3G, 6490916]
[paragraph, [999.0, 140.0, 370.0, 36.0], vS7pXNoL3G, 6490916]
[paragraph, [999.0, 176.0, 370.0, 36.0], vS7pXNoL3G, 6490916]
[paragraph, [999.0, 212.0, 370.0, 36.0], vS7pXNoL3G, 6490916]
[paragraph, [999.0, 248.0, 370.0, 36.0], vS7pXNoL3G, 6490916]
[paragraph, [999.0, 284.0, 370.0, 36.0], vS7pXNoL3G, 6490916]
[paragraph, [999.0, 320.0, 370.0, 36.0], vS7pXNoL3G, 6490916]
[paragraph, [999.0, 356.0, 370.0, 36.0], vS7pXNoL3G, 6490916]
[paragraph, [999.0, 392.0, 370.0, 36.0], vS7pXNoL3G, 6490916]
[paragraph, [999.0, 428.0, 370.0, 36.0], vS7pXNoL3G, 6490916]
[paragraph, [999.0, 464.0, 370.0, 36.0], vS7pXNoL3G, 6490916]
[paragraph, [999.0, 500.0, 370.0, 36.0], vS7pXNoL3G, 6490916]
[paragraph, [999.0, 536.0, 370.0, 36.0], vS7pXNoL3G, 6490916]
[paragraph, [999.0, 572.0, 370.0, 36.0], vS7pXNoL3G, 6490916]
[author, [54.0, 734.0, 218.0, 36.0], _nLzwrNQlA, 6490916]
[author, [54.0, 770.0, 218.0, 36.0], _nLzwrNQlA, 6490916]
[paragraph, [1023.0, 1458.0, 338.0, 36.0], qYAVxeLFLf, 6490916]
[paragraph, [1023.0, 1494.0, 338.0, 36.0], qYAVxeLFLf, 6490916]
[paragraph, [1023.0, 1530.0, 338.0, 36.0], qYAVxeLFLf, 6490916]
[paragraph, [1023.0, 1566.0, 338.0, 36.0], qYAVxeLFLf, 6490916]
[paragraph, [1023.0, 1602.0, 338.0, 36.0], qYAVxeLFLf, 6490916]
[paragraph, [1023.0, 1638.0, 338.0, 36.0], qYAVxeLFLf, 6490916]
[paragraph, [1023.0, 1674.0, 338.0, 36.0], qYAVxeLFLf, 6490916]
[paragraph, [1023.0, 1710.0, 338.0, 36.0], qYAVxeLFLf, 6490916]
[paragraph, [1023.0, 1746.0, 338.0, 36.0], qYAVxeLFLf, 6490916]
[paragraph, [1023.0, 1782.0, 338.0, 36.0], qYAVxeLFLf, 6490916]
[paragraph, [711.0, 1498.0, 305.0, 36.0], kQQmNS5SdG, 6490916]
[paragraph, [711.0, 1534.0, 305.0, 36.0], kQQmNS5SdG, 6490916]
[paragraph, [711.0, 1570.0, 305.0, 36.0], kQQmNS5SdG, 6490916]
[paragraph, [711.0, 1606.0, 305.0, 36.0], kQQmNS5SdG, 6490916]
[paragraph, [711.0, 1642.0, 305.0, 36.0], kQQmNS5SdG, 6490916]
[paragraph, [711.0, 1678.0, 305.0, 36.0], kQQmNS5SdG, 6490916]
[paragraph, [711.0, 1714.0, 305.0, 36.0], kQQmNS5SdG, 6490916]
[paragraph, [711.0, 1750.0, 305.0, 36.0], kQQmNS5SdG, 6490916]
[paragraph, [711.0, 1786.0, 305.0, 36.0], kQQmNS5SdG, 6490916]
