[1987, 1270]
[folio, [593.0, 125.0, 99.0, 36.0], shoonya_1sI6C0BN566OMV, 5682199]
[paragraph, [136.0, 196.0, 593.0, 36.0], SFJ_R7L-8-, 5682199]
[paragraph, [134.0, 250.0, 1015.0, 36.0], PcaycDodYa, 5682199]
[paragraph, [134.0, 286.0, 1015.0, 36.0], PcaycDodYa, 5682199]
[paragraph, [134.0, 322.0, 1015.0, 36.0], PcaycDodYa, 5682199]
[paragraph, [134.0, 358.0, 1015.0, 36.0], PcaycDodYa, 5682199]
[paragraph, [134.0, 394.0, 1015.0, 36.0], PcaycDodYa, 5682199]
[paragraph, [134.0, 430.0, 1015.0, 36.0], PcaycDodYa, 5682199]
[paragraph, [134.0, 466.0, 1015.0, 36.0], PcaycDodYa, 5682199]
[paragraph, [134.0, 502.0, 1015.0, 36.0], PcaycDodYa, 5682199]
[paragraph, [134.0, 538.0, 1015.0, 36.0], PcaycDodYa, 5682199]
[paragraph, [134.0, 574.0, 1015.0, 36.0], PcaycDodYa, 5682199]
[paragraph, [134.0, 610.0, 1015.0, 36.0], PcaycDodYa, 5682199]
[paragraph, [134.0, 646.0, 1015.0, 36.0], PcaycDodYa, 5682199]
[paragraph, [130.0, 718.0, 1020.0, 36.0], YH-Z908C-r, 5682199]
[paragraph, [130.0, 754.0, 1020.0, 36.0], YH-Z908C-r, 5682199]
[paragraph, [130.0, 790.0, 1020.0, 36.0], YH-Z908C-r, 5682199]
[paragraph, [130.0, 826.0, 1020.0, 36.0], YH-Z908C-r, 5682199]
[paragraph, [130.0, 862.0, 1020.0, 36.0], YH-Z908C-r, 5682199]
[paragraph, [130.0, 898.0, 1020.0, 36.0], YH-Z908C-r, 5682199]
[paragraph, [130.0, 934.0, 1020.0, 36.0], YH-Z908C-r, 5682199]
[paragraph, [130.0, 970.0, 1020.0, 36.0], YH-Z908C-r, 5682199]
[paragraph, [130.0, 1006.0, 1020.0, 36.0], YH-Z908C-r, 5682199]
[paragraph, [130.0, 1042.0, 1020.0, 36.0], YH-Z908C-r, 5682199]
[paragraph, [130.0, 1078.0, 1020.0, 36.0], YH-Z908C-r, 5682199]
[paragraph, [128.0, 1139.0, 1020.0, 36.0], Bq90cYZm22, 5682199]
[paragraph, [128.0, 1175.0, 1020.0, 36.0], Bq90cYZm22, 5682199]
[paragraph, [128.0, 1211.0, 1020.0, 36.0], Bq90cYZm22, 5682199]
[paragraph, [128.0, 1247.0, 1020.0, 36.0], Bq90cYZm22, 5682199]
[paragraph, [128.0, 1283.0, 1020.0, 36.0], Bq90cYZm22, 5682199]
[paragraph, [128.0, 1319.0, 1020.0, 36.0], Bq90cYZm22, 5682199]
[paragraph, [128.0, 1355.0, 1020.0, 36.0], Bq90cYZm22, 5682199]
[paragraph, [128.0, 1391.0, 1020.0, 36.0], Bq90cYZm22, 5682199]
[paragraph, [128.0, 1427.0, 1020.0, 36.0], Bq90cYZm22, 5682199]
[paragraph, [128.0, 1463.0, 1020.0, 36.0], Bq90cYZm22, 5682199]
[paragraph, [128.0, 1499.0, 1020.0, 36.0], Bq90cYZm22, 5682199]
[paragraph, [128.0, 1535.0, 1020.0, 36.0], Bq90cYZm22, 5682199]
[paragraph, [125.0, 1612.0, 1022.0, 36.0], YH0YeeWjxs, 5682199]
[paragraph, [125.0, 1648.0, 1022.0, 36.0], YH0YeeWjxs, 5682199]
[paragraph, [125.0, 1684.0, 1022.0, 36.0], YH0YeeWjxs, 5682199]
[paragraph, [125.0, 1720.0, 1022.0, 36.0], YH0YeeWjxs, 5682199]
[paragraph, [125.0, 1756.0, 1022.0, 36.0], YH0YeeWjxs, 5682199]
[paragraph, [125.0, 1792.0, 1022.0, 36.0], YH0YeeWjxs, 5682199]
[paragraph, [125.0, 1828.0, 1022.0, 36.0], YH0YeeWjxs, 5682199]
