[2339, 1653]
[paragraph, [386.0, 191.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 227.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 263.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 299.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 335.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 371.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 407.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 443.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 479.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 515.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 551.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 587.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 623.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 659.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 695.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 731.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 767.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 803.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 839.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 875.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 911.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 947.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 983.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 1019.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 1055.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 1091.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 1127.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 1163.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 1199.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 1235.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 1271.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 1307.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 1343.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 1379.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 1415.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 1451.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 1487.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 1523.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 1559.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 1595.0, 1075.0, 36.0], shoonya_1sUAU6S35S8X28, 5733942]
[paragraph, [386.0, 1678.0, 1072.0, 36.0], shoonya_0sNB0VF77CYE5B, 5733942]
[paragraph, [386.0, 1714.0, 1072.0, 36.0], shoonya_0sNB0VF77CYE5B, 5733942]
[paragraph, [386.0, 1750.0, 1072.0, 36.0], shoonya_0sNB0VF77CYE5B, 5733942]
[paragraph, [386.0, 1786.0, 1072.0, 36.0], shoonya_0sNB0VF77CYE5B, 5733942]
[paragraph, [386.0, 1822.0, 1072.0, 36.0], shoonya_0sNB0VF77CYE5B, 5733942]
[paragraph, [386.0, 1858.0, 1072.0, 36.0], shoonya_0sNB0VF77CYE5B, 5733942]
[paragraph, [386.0, 1894.0, 1072.0, 36.0], shoonya_0sNB0VF77CYE5B, 5733942]
[paragraph, [386.0, 1930.0, 1072.0, 36.0], shoonya_0sNB0VF77CYE5B, 5733942]
[paragraph, [386.0, 1966.0, 1072.0, 36.0], shoonya_0sNB0VF77CYE5B, 5733942]
[paragraph, [393.0, 2021.0, 1066.0, 36.0], shoonya_2sDIDWYC38QNZ7, 5733942]
[paragraph, [393.0, 2057.0, 1066.0, 36.0], shoonya_2sDIDWYC38QNZ7, 5733942]
[paragraph, [393.0, 2093.0, 1066.0, 36.0], shoonya_2sDIDWYC38QNZ7, 5733942]
[folio, [778.0, 2182.0, 604.0, 36.0], shoonya_3s3HD1J3RBFD3Z, 5733942]
