[2339, 1655]
[folio, [652.0, 197.0, 345.0, 36.0], shoonya_6sCS7J01BUJ6GM, 5737966]
[folio, [455.0, 243.0, 741.0, 36.0], shoonya_0sTL54N3ZAQOZP, 5737966]
[paragraph, [476.0, 292.0, 871.0, 36.0], shoonya_5sJVY0GI9P8H56, 5737966]
[paragraph, [194.0, 337.0, 1180.0, 36.0], shoonya_3s8A4HYPN3RQAG, 5737966]
[paragraph, [194.0, 373.0, 1180.0, 36.0], shoonya_3s8A4HYPN3RQAG, 5737966]
[paragraph, [194.0, 409.0, 1180.0, 36.0], shoonya_3s8A4HYPN3RQAG, 5737966]
[ordered-list, [189.0, 552.0, 1272.0, 36.0], shoonya_8sQPH4MHJ9KW3I, 5737966]
[ordered-list, [189.0, 588.0, 1272.0, 36.0], shoonya_8sQPH4MHJ9KW3I, 5737966]
[ordered-list, [189.0, 624.0, 1272.0, 36.0], shoonya_8sQPH4MHJ9KW3I, 5737966]
[ordered-list, [189.0, 660.0, 1272.0, 36.0], shoonya_8sQPH4MHJ9KW3I, 5737966]
[ordered-list, [194.0, 818.0, 985.0, 36.0], mkItu2mCzE, 5737966]
[ordered-list, [194.0, 854.0, 985.0, 36.0], mkItu2mCzE, 5737966]
[ordered-list, [194.0, 890.0, 985.0, 36.0], mkItu2mCzE, 5737966]
[ordered-list, [192.0, 1041.0, 774.0, 36.0], miIx8PcOkx, 5737966]
[ordered-list, [192.0, 1077.0, 774.0, 36.0], miIx8PcOkx, 5737966]
[ordered-list, [192.0, 1113.0, 774.0, 36.0], miIx8PcOkx, 5737966]
[ordered-list, [190.0, 1260.0, 1233.0, 36.0], KqcYrIy26g, 5737966]
[ordered-list, [190.0, 1296.0, 1233.0, 36.0], KqcYrIy26g, 5737966]
[ordered-list, [190.0, 1332.0, 1233.0, 36.0], KqcYrIy26g, 5737966]
[ordered-list, [190.0, 1368.0, 1233.0, 36.0], KqcYrIy26g, 5737966]
[ordered-list, [190.0, 1404.0, 1233.0, 36.0], KqcYrIy26g, 5737966]
[ordered-list, [190.0, 1440.0, 1233.0, 36.0], KqcYrIy26g, 5737966]
[ordered-list, [190.0, 1476.0, 1233.0, 36.0], KqcYrIy26g, 5737966]
[ordered-list, [190.0, 1512.0, 1233.0, 36.0], KqcYrIy26g, 5737966]
[ordered-list, [190.0, 1548.0, 1233.0, 36.0], KqcYrIy26g, 5737966]
[ordered-list, [190.0, 1584.0, 1233.0, 36.0], KqcYrIy26g, 5737966]
[ordered-list, [190.0, 1620.0, 1233.0, 36.0], KqcYrIy26g, 5737966]
[ordered-list, [190.0, 1656.0, 1233.0, 36.0], KqcYrIy26g, 5737966]
[ordered-list, [190.0, 1692.0, 1233.0, 36.0], KqcYrIy26g, 5737966]
[ordered-list, [190.0, 1728.0, 1233.0, 36.0], KqcYrIy26g, 5737966]
[ordered-list, [190.0, 1764.0, 1233.0, 36.0], KqcYrIy26g, 5737966]
[ordered-list, [190.0, 1800.0, 1233.0, 36.0], KqcYrIy26g, 5737966]
[ordered-list, [190.0, 1836.0, 1233.0, 36.0], KqcYrIy26g, 5737966]
[ordered-list, [190.0, 1872.0, 1233.0, 36.0], KqcYrIy26g, 5737966]
[ordered-list, [190.0, 1908.0, 1233.0, 36.0], KqcYrIy26g, 5737966]
[ordered-list, [190.0, 1944.0, 1233.0, 36.0], KqcYrIy26g, 5737966]
[ordered-list, [190.0, 1980.0, 1233.0, 36.0], KqcYrIy26g, 5737966]
[ordered-list, [190.0, 2016.0, 1233.0, 36.0], KqcYrIy26g, 5737966]
[ordered-list, [190.0, 2052.0, 1233.0, 36.0], KqcYrIy26g, 5737966]
[ordered-list, [190.0, 2088.0, 1233.0, 36.0], KqcYrIy26g, 5737966]
