[1787, 1218]
[paragraph, [106.0, 110.0, 1032.0, 36.0], shoonya_2s1EFP34YXQQJE, 5650747]
[paragraph, [106.0, 146.0, 1032.0, 36.0], shoonya_2s1EFP34YXQQJE, 5650747]
[paragraph, [106.0, 182.0, 1032.0, 36.0], shoonya_2s1EFP34YXQQJE, 5650747]
[paragraph, [106.0, 218.0, 1032.0, 36.0], shoonya_2s1EFP34YXQQJE, 5650747]
[paragraph, [106.0, 254.0, 1032.0, 36.0], shoonya_2s1EFP34YXQQJE, 5650747]
[paragraph, [306.0, 312.0, 672.0, 36.0], B87-pXBomG, 5650747]
[paragraph, [306.0, 348.0, 672.0, 36.0], B87-pXBomG, 5650747]
[paragraph, [306.0, 384.0, 672.0, 36.0], B87-pXBomG, 5650747]
[paragraph, [102.0, 437.0, 1008.0, 36.0], shoonya_0sIXKI4TE0FDOR, 5650747]
[paragraph, [102.0, 473.0, 1008.0, 36.0], shoonya_0sIXKI4TE0FDOR, 5650747]
[paragraph, [102.0, 509.0, 1008.0, 36.0], shoonya_0sIXKI4TE0FDOR, 5650747]
[paragraph, [102.0, 545.0, 1008.0, 36.0], shoonya_0sIXKI4TE0FDOR, 5650747]
[paragraph, [102.0, 581.0, 1008.0, 36.0], shoonya_0sIXKI4TE0FDOR, 5650747]
[paragraph, [102.0, 617.0, 1008.0, 36.0], shoonya_0sIXKI4TE0FDOR, 5650747]
[paragraph, [102.0, 653.0, 1008.0, 36.0], shoonya_0sIXKI4TE0FDOR, 5650747]
[paragraph, [102.0, 689.0, 1008.0, 36.0], shoonya_0sIXKI4TE0FDOR, 5650747]
[paragraph, [293.0, 764.0, 645.0, 36.0], O8-WW3sOpH, 5650747]
[paragraph, [293.0, 800.0, 645.0, 36.0], O8-WW3sOpH, 5650747]
[paragraph, [306.0, 841.0, 630.0, 36.0], WMyppM_Rfo, 5650747]
[paragraph, [306.0, 877.0, 630.0, 36.0], WMyppM_Rfo, 5650747]
[paragraph, [96.0, 927.0, 1019.0, 36.0], shoonya_1sJ8ZC4PF86W6M, 5650747]
[paragraph, [96.0, 963.0, 1019.0, 36.0], shoonya_1sJ8ZC4PF86W6M, 5650747]
[paragraph, [96.0, 999.0, 1019.0, 36.0], shoonya_1sJ8ZC4PF86W6M, 5650747]
[paragraph, [96.0, 1035.0, 1019.0, 36.0], shoonya_1sJ8ZC4PF86W6M, 5650747]
[paragraph, [106.0, 1083.0, 1003.0, 36.0], 4sD7ZFNLbK, 5650747]
[paragraph, [106.0, 1119.0, 1003.0, 36.0], 4sD7ZFNLbK, 5650747]
[paragraph, [106.0, 1155.0, 1003.0, 36.0], 4sD7ZFNLbK, 5650747]
[paragraph, [106.0, 1191.0, 1003.0, 36.0], 4sD7ZFNLbK, 5650747]
[paragraph, [106.0, 1227.0, 1003.0, 36.0], 4sD7ZFNLbK, 5650747]
[paragraph, [109.0, 1283.0, 1003.0, 36.0], lKQ0mYaOlf, 5650747]
[paragraph, [109.0, 1319.0, 1003.0, 36.0], lKQ0mYaOlf, 5650747]
[paragraph, [109.0, 1355.0, 1003.0, 36.0], lKQ0mYaOlf, 5650747]
[paragraph, [109.0, 1391.0, 1003.0, 36.0], lKQ0mYaOlf, 5650747]
[paragraph, [108.0, 1442.0, 1003.0, 36.0], swSEZe7DG4, 5650747]
[paragraph, [108.0, 1478.0, 1003.0, 36.0], swSEZe7DG4, 5650747]
[paragraph, [108.0, 1514.0, 1003.0, 36.0], swSEZe7DG4, 5650747]
[paragraph, [178.0, 1558.0, 929.0, 36.0], shoonya_4sTAQRVOFYL1X7, 5650747]
[footnote, [456.0, 1640.0, 225.0, 36.0], Avxxpf5aJo, 5650747]
