[2806, 1984]
[ordered-list, [361.0, 327.0, 1265.0, 46.5], shoonya_4sVDHFKGJ0K7MP, 5700070]
[ordered-list, [361.0, 373.5, 1265.0, 46.5], shoonya_4sVDHFKGJ0K7MP, 5700070]
[ordered-list, [361.0, 420.0, 1265.0, 46.5], shoonya_4sVDHFKGJ0K7MP, 5700070]
[ordered-list, [360.0, 625.0, 1270.0, 46.5], shoonya_5s7BXC1GBI2G8V, 5700070]
[ordered-list, [360.0, 671.5, 1270.0, 46.5], shoonya_5s7BXC1GBI2G8V, 5700070]
[ordered-list, [360.0, 718.0, 1270.0, 46.5], shoonya_5s7BXC1GBI2G8V, 5700070]
[ordered-list, [360.0, 764.5, 1270.0, 46.5], shoonya_5s7BXC1GBI2G8V, 5700070]
[ordered-list, [360.0, 811.0, 1270.0, 46.5], shoonya_5s7BXC1GBI2G8V, 5700070]
[ordered-list, [360.0, 857.5, 1270.0, 46.5], shoonya_5s7BXC1GBI2G8V, 5700070]
[ordered-list, [360.0, 904.0, 1270.0, 46.5], shoonya_5s7BXC1GBI2G8V, 5700070]
[ordered-list, [360.0, 950.5, 1270.0, 46.5], shoonya_5s7BXC1GBI2G8V, 5700070]
[ordered-list, [360.0, 997.0, 1270.0, 46.5], shoonya_5s7BXC1GBI2G8V, 5700070]
[ordered-list, [360.0, 1043.5, 1270.0, 46.5], shoonya_5s7BXC1GBI2G8V, 5700070]
[ordered-list, [360.0, 1090.0, 1270.0, 46.5], shoonya_5s7BXC1GBI2G8V, 5700070]
[ordered-list, [360.0, 1136.5, 1270.0, 46.5], shoonya_5s7BXC1GBI2G8V, 5700070]
[ordered-list, [360.0, 1183.0, 1270.0, 46.5], shoonya_5s7BXC1GBI2G8V, 5700070]
[ordered-list, [360.0, 1229.5, 1270.0, 46.5], shoonya_5s7BXC1GBI2G8V, 5700070]
[ordered-list, [360.0, 1276.0, 1270.0, 46.5], shoonya_5s7BXC1GBI2G8V, 5700070]
[ordered-list, [360.0, 1322.5, 1270.0, 46.5], shoonya_5s7BXC1GBI2G8V, 5700070]
[ordered-list, [360.0, 1369.0, 1270.0, 46.5], shoonya_5s7BXC1GBI2G8V, 5700070]
[ordered-list, [360.0, 1415.5, 1270.0, 46.5], shoonya_5s7BXC1GBI2G8V, 5700070]
[ordered-list, [356.0, 1617.0, 1281.0, 46.5], shoonya_0sJXVV6HZNX34A, 5700070]
[ordered-list, [356.0, 1663.5, 1281.0, 46.5], shoonya_0sJXVV6HZNX34A, 5700070]
[ordered-list, [356.0, 1710.0, 1281.0, 46.5], shoonya_0sJXVV6HZNX34A, 5700070]
[ordered-list, [356.0, 1756.5, 1281.0, 46.5], shoonya_0sJXVV6HZNX34A, 5700070]
[ordered-list, [356.0, 1803.0, 1281.0, 46.5], shoonya_0sJXVV6HZNX34A, 5700070]
[ordered-list, [356.0, 1849.5, 1281.0, 46.5], shoonya_0sJXVV6HZNX34A, 5700070]
[ordered-list, [356.0, 1896.0, 1281.0, 46.5], shoonya_0sJXVV6HZNX34A, 5700070]
[ordered-list, [356.0, 1942.5, 1281.0, 46.5], shoonya_0sJXVV6HZNX34A, 5700070]
[ordered-list, [356.0, 1989.0, 1281.0, 46.5], shoonya_0sJXVV6HZNX34A, 5700070]
[ordered-list, [356.0, 2035.5, 1281.0, 46.5], shoonya_0sJXVV6HZNX34A, 5700070]
[ordered-list, [356.0, 2082.0, 1281.0, 46.5], shoonya_0sJXVV6HZNX34A, 5700070]
