[1650, 1050]
[paragraph, [118.0, 162.0, 826.0, 36.0], shoonya_1sXN23UYZUJ8NA, 5732821]
[paragraph, [118.0, 198.0, 826.0, 36.0], shoonya_1sXN23UYZUJ8NA, 5732821]
[paragraph, [118.0, 234.0, 826.0, 36.0], shoonya_1sXN23UYZUJ8NA, 5732821]
[paragraph, [118.0, 270.0, 826.0, 36.0], shoonya_1sXN23UYZUJ8NA, 5732821]
[paragraph, [118.0, 306.0, 826.0, 36.0], shoonya_1sXN23UYZUJ8NA, 5732821]
[paragraph, [118.0, 342.0, 826.0, 36.0], shoonya_1sXN23UYZUJ8NA, 5732821]
[paragraph, [118.0, 378.0, 826.0, 36.0], shoonya_1sXN23UYZUJ8NA, 5732821]
[paragraph, [118.0, 414.0, 826.0, 36.0], shoonya_1sXN23UYZUJ8NA, 5732821]
[paragraph, [118.0, 450.0, 826.0, 36.0], shoonya_1sXN23UYZUJ8NA, 5732821]
[paragraph, [118.0, 486.0, 826.0, 36.0], shoonya_1sXN23UYZUJ8NA, 5732821]
[paragraph, [118.0, 522.0, 826.0, 36.0], shoonya_1sXN23UYZUJ8NA, 5732821]
[paragraph, [117.0, 590.0, 829.0, 36.0], shoonya_0sIQKDM4H3U633, 5732821]
[paragraph, [117.0, 626.0, 829.0, 36.0], shoonya_0sIQKDM4H3U633, 5732821]
[paragraph, [117.0, 662.0, 829.0, 36.0], shoonya_0sIQKDM4H3U633, 5732821]
[paragraph, [117.0, 698.0, 829.0, 36.0], shoonya_0sIQKDM4H3U633, 5732821]
[paragraph, [117.0, 734.0, 829.0, 36.0], shoonya_0sIQKDM4H3U633, 5732821]
[paragraph, [117.0, 770.0, 829.0, 36.0], shoonya_0sIQKDM4H3U633, 5732821]
[paragraph, [117.0, 806.0, 829.0, 36.0], shoonya_0sIQKDM4H3U633, 5732821]
[paragraph, [117.0, 842.0, 829.0, 36.0], shoonya_0sIQKDM4H3U633, 5732821]
[paragraph, [117.0, 878.0, 829.0, 36.0], shoonya_0sIQKDM4H3U633, 5732821]
[paragraph, [117.0, 914.0, 829.0, 36.0], shoonya_0sIQKDM4H3U633, 5732821]
[paragraph, [117.0, 950.0, 829.0, 36.0], shoonya_0sIQKDM4H3U633, 5732821]
[paragraph, [117.0, 986.0, 829.0, 36.0], shoonya_0sIQKDM4H3U633, 5732821]
[paragraph, [117.0, 1022.0, 829.0, 36.0], shoonya_0sIQKDM4H3U633, 5732821]
[paragraph, [117.0, 1058.0, 829.0, 36.0], shoonya_0sIQKDM4H3U633, 5732821]
[paragraph, [117.0, 1094.0, 829.0, 36.0], shoonya_0sIQKDM4H3U633, 5732821]
[paragraph, [117.0, 1130.0, 829.0, 36.0], shoonya_0sIQKDM4H3U633, 5732821]
[paragraph, [117.0, 1166.0, 829.0, 36.0], shoonya_0sIQKDM4H3U633, 5732821]
[paragraph, [117.0, 1202.0, 829.0, 36.0], shoonya_0sIQKDM4H3U633, 5732821]
[paragraph, [116.0, 1371.0, 833.0, 36.0], shoonya_3sB4YB8D2EK5GP, 5732821]
[paragraph, [116.0, 1407.0, 833.0, 36.0], shoonya_3sB4YB8D2EK5GP, 5732821]
[folio, [490.0, 1500.0, 142.0, 36.0], _6fyIDYfcZ, 5732821]
