[1837, 1285]
[paragraph, [648.0, 867.0, 626.0, 36.0], shoonya_2sSATZTIF2U0D6, 5713166]
[paragraph, [648.0, 903.0, 626.0, 36.0], shoonya_2sSATZTIF2U0D6, 5713166]
[paragraph, [648.0, 939.0, 626.0, 36.0], shoonya_2sSATZTIF2U0D6, 5713166]
[paragraph, [648.0, 975.0, 626.0, 36.0], shoonya_2sSATZTIF2U0D6, 5713166]
[paragraph, [648.0, 1011.0, 626.0, 36.0], shoonya_2sSATZTIF2U0D6, 5713166]
[paragraph, [648.0, 1047.0, 626.0, 36.0], shoonya_2sSATZTIF2U0D6, 5713166]
[paragraph, [648.0, 1083.0, 626.0, 36.0], shoonya_2sSATZTIF2U0D6, 5713166]
[paragraph, [648.0, 1119.0, 626.0, 36.0], shoonya_2sSATZTIF2U0D6, 5713166]
[paragraph, [648.0, 1155.0, 626.0, 36.0], shoonya_2sSATZTIF2U0D6, 5713166]
[paragraph, [648.0, 1191.0, 626.0, 36.0], shoonya_2sSATZTIF2U0D6, 5713166]
[paragraph, [648.0, 1227.0, 626.0, 36.0], shoonya_2sSATZTIF2U0D6, 5713166]
[paragraph, [648.0, 1263.0, 626.0, 36.0], shoonya_2sSATZTIF2U0D6, 5713166]
[paragraph, [648.0, 1299.0, 626.0, 36.0], shoonya_2sSATZTIF2U0D6, 5713166]
[paragraph, [648.0, 1335.0, 626.0, 36.0], shoonya_2sSATZTIF2U0D6, 5713166]
[paragraph, [648.0, 1371.0, 626.0, 36.0], shoonya_2sSATZTIF2U0D6, 5713166]
[paragraph, [648.0, 1407.0, 626.0, 36.0], shoonya_2sSATZTIF2U0D6, 5713166]
[paragraph, [648.0, 1443.0, 626.0, 36.0], shoonya_2sSATZTIF2U0D6, 5713166]
[paragraph, [648.0, 1479.0, 626.0, 36.0], shoonya_2sSATZTIF2U0D6, 5713166]
[paragraph, [648.0, 1515.0, 626.0, 36.0], shoonya_2sSATZTIF2U0D6, 5713166]
[paragraph, [648.0, 1551.0, 626.0, 36.0], shoonya_2sSATZTIF2U0D6, 5713166]
[paragraph, [648.0, 1587.0, 626.0, 36.0], shoonya_2sSATZTIF2U0D6, 5713166]
[paragraph, [648.0, 1623.0, 626.0, 36.0], shoonya_2sSATZTIF2U0D6, 5713166]
[paragraph, [648.0, 1659.0, 626.0, 36.0], shoonya_2sSATZTIF2U0D6, 5713166]
[paragraph, [648.0, 1695.0, 626.0, 36.0], shoonya_2sSATZTIF2U0D6, 5713166]
[paragraph, [47.0, 886.0, 592.0, 36.0], shoonya_3sSK4AMV28089X, 5713166]
[paragraph, [47.0, 922.0, 592.0, 36.0], shoonya_3sSK4AMV28089X, 5713166]
[paragraph, [47.0, 958.0, 592.0, 36.0], shoonya_3sSK4AMV28089X, 5713166]
[paragraph, [47.0, 994.0, 592.0, 36.0], shoonya_3sSK4AMV28089X, 5713166]
[paragraph, [47.0, 1030.0, 592.0, 36.0], shoonya_3sSK4AMV28089X, 5713166]
