[576, 360]
[folio, [154.0, 30.0, 152.0, 18.0], 5s_zHVsLvM, 6515453]
[paragraph, [31.0, 64.0, 301.0, 18.0], shoonya_0s97FFW0GJUV3E, 6515453]
[paragraph, [31.0, 82.0, 301.0, 18.0], shoonya_0s97FFW0GJUV3E, 6515453]
[paragraph, [31.0, 100.0, 301.0, 18.0], shoonya_0s97FFW0GJUV3E, 6515453]
[paragraph, [31.0, 118.0, 301.0, 18.0], shoonya_0s97FFW0GJUV3E, 6515453]
[paragraph, [31.0, 136.0, 301.0, 18.0], shoonya_0s97FFW0GJUV3E, 6515453]
[paragraph, [31.0, 154.0, 301.0, 18.0], shoonya_0s97FFW0GJUV3E, 6515453]
[paragraph, [31.0, 172.0, 301.0, 18.0], shoonya_0s97FFW0GJUV3E, 6515453]
[paragraph, [31.0, 190.0, 301.0, 18.0], shoonya_0s97FFW0GJUV3E, 6515453]
[paragraph, [31.0, 208.0, 301.0, 18.0], shoonya_0s97FFW0GJUV3E, 6515453]
[paragraph, [31.0, 226.0, 301.0, 18.0], shoonya_0s97FFW0GJUV3E, 6515453]
[paragraph, [31.0, 244.0, 301.0, 18.0], shoonya_0s97FFW0GJUV3E, 6515453]
[paragraph, [31.0, 262.0, 301.0, 18.0], shoonya_0s97FFW0GJUV3E, 6515453]
[paragraph, [31.0, 280.0, 301.0, 18.0], shoonya_0s97FFW0GJUV3E, 6515453]
[paragraph, [31.0, 298.0, 301.0, 18.0], shoonya_0s97FFW0GJUV3E, 6515453]
[paragraph, [31.0, 316.0, 301.0, 18.0], shoonya_0s97FFW0GJUV3E, 6515453]
[paragraph, [31.0, 334.0, 301.0, 18.0], shoonya_0s97FFW0GJUV3E, 6515453]
[paragraph, [31.0, 352.0, 301.0, 18.0], shoonya_0s97FFW0GJUV3E, 6515453]
[paragraph, [31.0, 370.0, 301.0, 18.0], shoonya_0s97FFW0GJUV3E, 6515453]
[paragraph, [31.0, 388.0, 301.0, 18.0], shoonya_0s97FFW0GJUV3E, 6515453]
[paragraph, [31.0, 406.0, 301.0, 18.0], shoonya_0s97FFW0GJUV3E, 6515453]
[paragraph, [31.0, 424.0, 301.0, 18.0], shoonya_0s97FFW0GJUV3E, 6515453]
[paragraph, [31.0, 442.0, 301.0, 18.0], shoonya_0s97FFW0GJUV3E, 6515453]
[paragraph, [31.0, 460.0, 301.0, 18.0], shoonya_0s97FFW0GJUV3E, 6515453]
[paragraph, [31.0, 478.0, 301.0, 18.0], shoonya_0s97FFW0GJUV3E, 6515453]
[paragraph, [31.0, 496.0, 301.0, 18.0], shoonya_0s97FFW0GJUV3E, 6515453]
