[842, 595]
[folio, [254.0, 127.0, 102.0, 18.0], DgTLP8-ift, 6513558]
[paragraph, [140.0, 162.0, 326.0, 18.0], shoonya_0sX7LATP5D8KHW, 6513558]
[paragraph, [140.0, 180.0, 326.0, 18.0], shoonya_0sX7LATP5D8KHW, 6513558]
[paragraph, [140.0, 198.0, 326.0, 18.0], shoonya_0sX7LATP5D8KHW, 6513558]
[paragraph, [140.0, 216.0, 326.0, 18.0], shoonya_0sX7LATP5D8KHW, 6513558]
[paragraph, [140.0, 234.0, 326.0, 18.0], shoonya_0sX7LATP5D8KHW, 6513558]
[paragraph, [140.0, 252.0, 326.0, 18.0], shoonya_0sX7LATP5D8KHW, 6513558]
[paragraph, [140.0, 270.0, 326.0, 18.0], shoonya_0sX7LATP5D8KHW, 6513558]
[paragraph, [140.0, 288.0, 326.0, 18.0], shoonya_0sX7LATP5D8KHW, 6513558]
[paragraph, [140.0, 306.0, 326.0, 18.0], shoonya_0sX7LATP5D8KHW, 6513558]
[paragraph, [139.0, 333.0, 328.0, 18.0], YxZf_mBOjc, 6513558]
[paragraph, [139.0, 351.0, 328.0, 18.0], YxZf_mBOjc, 6513558]
[paragraph, [139.0, 369.0, 328.0, 18.0], YxZf_mBOjc, 6513558]
[paragraph, [139.0, 387.0, 328.0, 18.0], YxZf_mBOjc, 6513558]
[paragraph, [139.0, 405.0, 328.0, 18.0], YxZf_mBOjc, 6513558]
[paragraph, [139.0, 423.0, 328.0, 18.0], YxZf_mBOjc, 6513558]
[paragraph, [139.0, 441.0, 328.0, 18.0], YxZf_mBOjc, 6513558]
[paragraph, [139.0, 459.0, 328.0, 18.0], YxZf_mBOjc, 6513558]
[paragraph, [139.0, 477.0, 328.0, 18.0], YxZf_mBOjc, 6513558]
[paragraph, [139.0, 506.0, 328.0, 18.0], SAC2qG8nOZ, 6513558]
[paragraph, [139.0, 524.0, 328.0, 18.0], SAC2qG8nOZ, 6513558]
[paragraph, [139.0, 542.0, 328.0, 18.0], SAC2qG8nOZ, 6513558]
[paragraph, [139.0, 560.0, 328.0, 18.0], SAC2qG8nOZ, 6513558]
[paragraph, [139.0, 578.0, 328.0, 18.0], SAC2qG8nOZ, 6513558]
[paragraph, [139.0, 596.0, 328.0, 18.0], SAC2qG8nOZ, 6513558]
[paragraph, [139.0, 614.0, 328.0, 18.0], SAC2qG8nOZ, 6513558]
[paragraph, [139.0, 632.0, 328.0, 18.0], SAC2qG8nOZ, 6513558]
