[866, 612]
[folio, [262.0, 43.0, 90.0, 18.0], -vKZG7TeUi, 6460478]
[paragraph, [99.0, 87.0, 299.0, 18.0], 8VUe8HEVkm, 6460478]
[paragraph, [99.0, 105.0, 299.0, 18.0], 8VUe8HEVkm, 6460478]
[paragraph, [99.0, 123.0, 299.0, 18.0], 8VUe8HEVkm, 6460478]
[paragraph, [99.0, 141.0, 299.0, 18.0], 8VUe8HEVkm, 6460478]
[paragraph, [99.0, 172.0, 346.0, 18.0], eIwebxclqQ, 6460478]
[paragraph, [99.0, 190.0, 346.0, 18.0], eIwebxclqQ, 6460478]
[paragraph, [99.0, 208.0, 346.0, 18.0], eIwebxclqQ, 6460478]
[paragraph, [99.0, 226.0, 346.0, 18.0], eIwebxclqQ, 6460478]
[paragraph, [103.0, 257.0, 364.0, 18.0], ykiS-Pk8g2, 6460478]
[paragraph, [103.0, 275.0, 364.0, 18.0], ykiS-Pk8g2, 6460478]
[paragraph, [103.0, 293.0, 364.0, 18.0], ykiS-Pk8g2, 6460478]
[paragraph, [103.0, 311.0, 364.0, 18.0], ykiS-Pk8g2, 6460478]
[paragraph, [103.0, 346.0, 362.0, 18.0], shoonya_0sE47KTTLUE3EC, 6460478]
[paragraph, [103.0, 364.0, 362.0, 18.0], shoonya_0sE47KTTLUE3EC, 6460478]
[paragraph, [103.0, 382.0, 362.0, 18.0], shoonya_0sE47KTTLUE3EC, 6460478]
[paragraph, [103.0, 400.0, 362.0, 18.0], shoonya_0sE47KTTLUE3EC, 6460478]
[paragraph, [99.0, 424.0, 390.0, 18.0], qh6vguSw5A, 6460478]
[paragraph, [99.0, 442.0, 390.0, 18.0], qh6vguSw5A, 6460478]
[paragraph, [99.0, 460.0, 390.0, 18.0], qh6vguSw5A, 6460478]
[paragraph, [99.0, 478.0, 390.0, 18.0], qh6vguSw5A, 6460478]
[paragraph, [104.0, 499.0, 354.0, 18.0], Rpj7FhBsG7, 6460478]
[paragraph, [104.0, 517.0, 354.0, 18.0], Rpj7FhBsG7, 6460478]
[paragraph, [104.0, 535.0, 354.0, 18.0], Rpj7FhBsG7, 6460478]
[paragraph, [104.0, 553.0, 354.0, 18.0], Rpj7FhBsG7, 6460478]
[paragraph, [103.0, 583.0, 358.0, 18.0], YZg2xl0FGy, 6460478]
[paragraph, [103.0, 601.0, 358.0, 18.0], YZg2xl0FGy, 6460478]
[paragraph, [103.0, 619.0, 358.0, 18.0], YZg2xl0FGy, 6460478]
[paragraph, [103.0, 637.0, 358.0, 18.0], YZg2xl0FGy, 6460478]
[paragraph, [97.0, 665.0, 383.0, 18.0], HNMx2-Ldjx, 6460478]
[paragraph, [97.0, 683.0, 383.0, 18.0], HNMx2-Ldjx, 6460478]
[paragraph, [97.0, 701.0, 383.0, 18.0], HNMx2-Ldjx, 6460478]
[paragraph, [97.0, 719.0, 383.0, 18.0], HNMx2-Ldjx, 6460478]
[paragraph, [103.0, 754.0, 375.0, 18.0], AXgZ3_kB7E, 6460478]
[paragraph, [103.0, 772.0, 375.0, 18.0], AXgZ3_kB7E, 6460478]
[paragraph, [103.0, 790.0, 375.0, 18.0], AXgZ3_kB7E, 6460478]
[paragraph, [103.0, 808.0, 375.0, 18.0], AXgZ3_kB7E, 6460478]
