[792, 612]
[paragraph, [146.0, 141.0, 322.0, 18.0], shoonya_0s2OKDU686IY4P, 6516694]
[paragraph, [146.0, 159.0, 322.0, 18.0], shoonya_0s2OKDU686IY4P, 6516694]
[paragraph, [146.0, 177.0, 322.0, 18.0], shoonya_0s2OKDU686IY4P, 6516694]
[paragraph, [146.0, 195.0, 322.0, 18.0], shoonya_0s2OKDU686IY4P, 6516694]
[paragraph, [146.0, 213.0, 322.0, 18.0], shoonya_0s2OKDU686IY4P, 6516694]
[paragraph, [146.0, 231.0, 322.0, 18.0], shoonya_0s2OKDU686IY4P, 6516694]
[paragraph, [146.0, 249.0, 322.0, 18.0], shoonya_0s2OKDU686IY4P, 6516694]
[paragraph, [145.0, 279.0, 324.0, 18.0], shoonya_1s0DL1VNTSZ5GQ, 6516694]
[paragraph, [145.0, 297.0, 324.0, 18.0], shoonya_1s0DL1VNTSZ5GQ, 6516694]
[paragraph, [145.0, 315.0, 324.0, 18.0], shoonya_1s0DL1VNTSZ5GQ, 6516694]
[paragraph, [145.0, 333.0, 324.0, 18.0], shoonya_1s0DL1VNTSZ5GQ, 6516694]
[paragraph, [145.0, 351.0, 324.0, 18.0], shoonya_1s0DL1VNTSZ5GQ, 6516694]
[paragraph, [145.0, 369.0, 324.0, 18.0], shoonya_1s0DL1VNTSZ5GQ, 6516694]
[paragraph, [145.0, 387.0, 324.0, 18.0], shoonya_1s0DL1VNTSZ5GQ, 6516694]
[paragraph, [145.0, 405.0, 324.0, 18.0], shoonya_1s0DL1VNTSZ5GQ, 6516694]
[paragraph, [145.0, 423.0, 324.0, 18.0], shoonya_1s0DL1VNTSZ5GQ, 6516694]
[paragraph, [147.0, 459.0, 322.0, 18.0], shoonya_3sMPYBJZ41AT5V, 6516694]
[paragraph, [147.0, 477.0, 322.0, 18.0], shoonya_3sMPYBJZ41AT5V, 6516694]
[paragraph, [147.0, 495.0, 322.0, 18.0], shoonya_3sMPYBJZ41AT5V, 6516694]
[paragraph, [147.0, 513.0, 322.0, 18.0], shoonya_3sMPYBJZ41AT5V, 6516694]
[paragraph, [147.0, 531.0, 322.0, 18.0], shoonya_3sMPYBJZ41AT5V, 6516694]
[paragraph, [147.0, 549.0, 322.0, 18.0], shoonya_3sMPYBJZ41AT5V, 6516694]
[paragraph, [147.0, 567.0, 322.0, 18.0], shoonya_3sMPYBJZ41AT5V, 6516694]
[paragraph, [147.0, 585.0, 322.0, 18.0], shoonya_3sMPYBJZ41AT5V, 6516694]
[paragraph, [147.0, 603.0, 322.0, 18.0], shoonya_3sMPYBJZ41AT5V, 6516694]
[paragraph, [147.0, 621.0, 322.0, 18.0], shoonya_3sMPYBJZ41AT5V, 6516694]
