[872, 605]
[section-title, [254.0, 30.0, 100.0, 30.0], vV9R_9PYbf, 6456936]
[folio, [35.0, 33.0, 78.0, 18.0], 58tvkaz_zo, 6456936]
[paragraph, [38.0, 66.0, 263.0, 18.0], shoonya_0sS8QC2C2THGLK, 6456936]
[paragraph, [38.0, 84.0, 263.0, 18.0], shoonya_0sS8QC2C2THGLK, 6456936]
[paragraph, [38.0, 102.0, 263.0, 18.0], shoonya_0sS8QC2C2THGLK, 6456936]
[paragraph, [38.0, 120.0, 263.0, 18.0], shoonya_0sS8QC2C2THGLK, 6456936]
[paragraph, [38.0, 138.0, 263.0, 18.0], shoonya_0sS8QC2C2THGLK, 6456936]
[paragraph, [38.0, 156.0, 263.0, 18.0], shoonya_0sS8QC2C2THGLK, 6456936]
[paragraph, [38.0, 174.0, 263.0, 18.0], shoonya_0sS8QC2C2THGLK, 6456936]
[paragraph, [38.0, 192.0, 263.0, 18.0], shoonya_0sS8QC2C2THGLK, 6456936]
[paragraph, [38.0, 210.0, 263.0, 18.0], shoonya_0sS8QC2C2THGLK, 6456936]
[paragraph, [38.0, 228.0, 263.0, 18.0], shoonya_0sS8QC2C2THGLK, 6456936]
[paragraph, [38.0, 246.0, 263.0, 18.0], shoonya_0sS8QC2C2THGLK, 6456936]
[paragraph, [38.0, 264.0, 263.0, 18.0], shoonya_0sS8QC2C2THGLK, 6456936]
[paragraph, [38.0, 282.0, 263.0, 18.0], shoonya_0sS8QC2C2THGLK, 6456936]
[paragraph, [38.0, 300.0, 263.0, 18.0], shoonya_0sS8QC2C2THGLK, 6456936]
[paragraph, [38.0, 318.0, 263.0, 18.0], shoonya_0sS8QC2C2THGLK, 6456936]
[paragraph, [38.0, 336.0, 263.0, 18.0], shoonya_0sS8QC2C2THGLK, 6456936]
[paragraph, [38.0, 354.0, 263.0, 18.0], shoonya_0sS8QC2C2THGLK, 6456936]
[paragraph, [38.0, 372.0, 263.0, 18.0], shoonya_0sS8QC2C2THGLK, 6456936]
[paragraph, [38.0, 390.0, 263.0, 18.0], shoonya_0sS8QC2C2THGLK, 6456936]
[paragraph, [38.0, 408.0, 263.0, 18.0], shoonya_0sS8QC2C2THGLK, 6456936]
[paragraph, [38.0, 426.0, 263.0, 18.0], shoonya_0sS8QC2C2THGLK, 6456936]
[paragraph, [38.0, 444.0, 263.0, 18.0], shoonya_0sS8QC2C2THGLK, 6456936]
[paragraph, [38.0, 462.0, 263.0, 18.0], shoonya_0sS8QC2C2THGLK, 6456936]
