[681, 511]
[section-title, [24.0, 45.0, 97.0, 30.0], shoonya_5sIE4EA5334KZV, 5761484]
[paragraph, [22.0, 76.0, 462.0, 18.0], shoonya_2s3WU5ZGT0F4N8, 5761484]
[paragraph, [22.0, 94.0, 462.0, 18.0], shoonya_2s3WU5ZGT0F4N8, 5761484]
[paragraph, [22.0, 112.0, 462.0, 18.0], shoonya_2s3WU5ZGT0F4N8, 5761484]
[paragraph, [21.0, 144.0, 461.0, 18.0], shoonya_0sRHJBRPXZZIA2, 5761484]
[paragraph, [21.0, 162.0, 461.0, 18.0], shoonya_0sRHJBRPXZZIA2, 5761484]
[paragraph, [21.0, 180.0, 461.0, 18.0], shoonya_0sRHJBRPXZZIA2, 5761484]
[paragraph, [21.0, 198.0, 461.0, 18.0], shoonya_0sRHJBRPXZZIA2, 5761484]
[paragraph, [21.0, 216.0, 461.0, 18.0], shoonya_0sRHJBRPXZZIA2, 5761484]
[paragraph, [21.0, 234.0, 461.0, 18.0], shoonya_0sRHJBRPXZZIA2, 5761484]
[paragraph, [21.0, 252.0, 461.0, 18.0], shoonya_0sRHJBRPXZZIA2, 5761484]
[paragraph, [23.0, 273.0, 458.0, 18.0], shoonya_4s1V2N8QSYNNIL, 5761484]
[paragraph, [23.0, 291.0, 458.0, 18.0], shoonya_4s1V2N8QSYNNIL, 5761484]
[paragraph, [23.0, 309.0, 458.0, 18.0], shoonya_4s1V2N8QSYNNIL, 5761484]
[paragraph, [23.0, 327.0, 458.0, 18.0], shoonya_4s1V2N8QSYNNIL, 5761484]
[paragraph, [23.0, 345.0, 458.0, 18.0], shoonya_4s1V2N8QSYNNIL, 5761484]
[paragraph, [22.0, 378.0, 457.0, 18.0], shoonya_1s6WVKQEO8M1SG, 5761484]
[paragraph, [22.0, 396.0, 457.0, 18.0], shoonya_1s6WVKQEO8M1SG, 5761484]
[paragraph, [22.0, 414.0, 457.0, 18.0], shoonya_1s6WVKQEO8M1SG, 5761484]
[paragraph, [22.0, 432.0, 457.0, 18.0], shoonya_1s6WVKQEO8M1SG, 5761484]
[paragraph, [22.0, 450.0, 457.0, 18.0], shoonya_1s6WVKQEO8M1SG, 5761484]
[paragraph, [22.0, 468.0, 457.0, 18.0], shoonya_1s6WVKQEO8M1SG, 5761484]
[paragraph, [25.0, 494.0, 455.0, 18.0], shoonya_3sK7AN2UQZYODN, 5761484]
[paragraph, [25.0, 512.0, 455.0, 18.0], shoonya_3sK7AN2UQZYODN, 5761484]
[paragraph, [25.0, 530.0, 455.0, 18.0], shoonya_3sK7AN2UQZYODN, 5761484]
[paragraph, [25.0, 548.0, 455.0, 18.0], shoonya_3sK7AN2UQZYODN, 5761484]
[paragraph, [25.0, 566.0, 455.0, 18.0], shoonya_3sK7AN2UQZYODN, 5761484]
[paragraph, [25.0, 584.0, 455.0, 18.0], shoonya_3sK7AN2UQZYODN, 5761484]
[paragraph, [25.0, 602.0, 455.0, 18.0], shoonya_3sK7AN2UQZYODN, 5761484]
