[842, 595]
[headline, [37.0, 90.0, 179.0, 25.5], Jt7SC9VcA5, 5742563]
[headline, [37.0, 115.5, 179.0, 25.5], Jt7SC9VcA5, 5742563]
[headline, [37.0, 141.0, 179.0, 25.5], Jt7SC9VcA5, 5742563]
[headline, [37.0, 166.5, 179.0, 25.5], Jt7SC9VcA5, 5742563]
[headline, [37.0, 192.0, 179.0, 25.5], Jt7SC9VcA5, 5742563]
[headline, [37.0, 217.5, 179.0, 25.5], Jt7SC9VcA5, 5742563]
[headline, [37.0, 243.0, 179.0, 25.5], Jt7SC9VcA5, 5742563]
[paragraph, [236.0, 92.0, 304.0, 18.0], shoonya_4sLMXGJ0P4583O, 5742563]
[paragraph, [236.0, 110.0, 304.0, 18.0], shoonya_4sLMXGJ0P4583O, 5742563]
[paragraph, [236.0, 128.0, 304.0, 18.0], shoonya_4sLMXGJ0P4583O, 5742563]
[paragraph, [236.0, 146.0, 304.0, 18.0], shoonya_4sLMXGJ0P4583O, 5742563]
[paragraph, [236.0, 164.0, 304.0, 18.0], shoonya_4sLMXGJ0P4583O, 5742563]
[paragraph, [236.0, 182.0, 304.0, 18.0], shoonya_4sLMXGJ0P4583O, 5742563]
[paragraph, [236.0, 200.0, 304.0, 18.0], shoonya_4sLMXGJ0P4583O, 5742563]
[paragraph, [236.0, 235.0, 305.0, 18.0], shoonya_1sY0MWDWSMHNVJ, 5742563]
[paragraph, [236.0, 253.0, 305.0, 18.0], shoonya_1sY0MWDWSMHNVJ, 5742563]
[paragraph, [236.0, 271.0, 305.0, 18.0], shoonya_1sY0MWDWSMHNVJ, 5742563]
[paragraph, [236.0, 289.0, 305.0, 18.0], shoonya_1sY0MWDWSMHNVJ, 5742563]
[author, [55.0, 318.0, 168.0, 18.0], DpDDy1iL5U, 5742563]
[paragraph, [237.0, 318.0, 304.0, 18.0], shoonya_0s7DELN24GQ035, 5742563]
[paragraph, [237.0, 336.0, 304.0, 18.0], shoonya_0s7DELN24GQ035, 5742563]
[paragraph, [237.0, 354.0, 304.0, 18.0], shoonya_0s7DELN24GQ035, 5742563]
[paragraph, [237.0, 372.0, 304.0, 18.0], shoonya_0s7DELN24GQ035, 5742563]
[paragraph, [237.0, 390.0, 304.0, 18.0], shoonya_0s7DELN24GQ035, 5742563]
[paragraph, [237.0, 408.0, 304.0, 18.0], shoonya_0s7DELN24GQ035, 5742563]
[paragraph, [237.0, 426.0, 304.0, 18.0], shoonya_0s7DELN24GQ035, 5742563]
[paragraph, [237.0, 444.0, 304.0, 18.0], shoonya_0s7DELN24GQ035, 5742563]
[paragraph, [237.0, 462.0, 304.0, 18.0], shoonya_0s7DELN24GQ035, 5742563]
[paragraph, [237.0, 480.0, 304.0, 18.0], shoonya_0s7DELN24GQ035, 5742563]
[paragraph, [237.0, 498.0, 304.0, 18.0], shoonya_0s7DELN24GQ035, 5742563]
[paragraph, [237.0, 516.0, 304.0, 18.0], shoonya_0s7DELN24GQ035, 5742563]
[contact-info, [69.0, 342.0, 143.0, 18.0], r8o19Jihh0, 5742563]
[contact-info, [69.0, 360.0, 143.0, 18.0], r8o19Jihh0, 5742563]
[contact-info, [69.0, 378.0, 143.0, 18.0], r8o19Jihh0, 5742563]
[paragraph, [237.0, 555.0, 304.0, 18.0], shoonya_3sSHGFN8TR3TO3, 5742563]
[paragraph, [237.0, 573.0, 304.0, 18.0], shoonya_3sSHGFN8TR3TO3, 5742563]
[paragraph, [237.0, 591.0, 304.0, 18.0], shoonya_3sSHGFN8TR3TO3, 5742563]
[paragraph, [237.0, 609.0, 304.0, 18.0], shoonya_3sSHGFN8TR3TO3, 5742563]
[paragraph, [237.0, 627.0, 304.0, 18.0], shoonya_3sSHGFN8TR3TO3, 5742563]
[paragraph, [237.0, 645.0, 304.0, 18.0], shoonya_3sSHGFN8TR3TO3, 5742563]
[paragraph, [237.0, 663.0, 304.0, 18.0], shoonya_3sSHGFN8TR3TO3, 5742563]
[paragraph, [237.0, 681.0, 304.0, 18.0], shoonya_3sSHGFN8TR3TO3, 5742563]
[paragraph, [238.0, 711.0, 303.0, 18.0], shoonya_5sGAYAFBEXXMK4, 5742563]
[folio, [472.0, 741.0, 66.0, 18.0], shoonya_7sONNFY6MNBRR7, 5742563]
