[2009, 1386]
[paragraph, [20.0, 61.0, 627.0, 36.0], shoonya_2sZH7HVJ8G7TEJ, 5654773]
[paragraph, [20.0, 97.0, 627.0, 36.0], shoonya_2sZH7HVJ8G7TEJ, 5654773]
[paragraph, [20.0, 133.0, 627.0, 36.0], shoonya_2sZH7HVJ8G7TEJ, 5654773]
[paragraph, [20.0, 169.0, 627.0, 36.0], shoonya_2sZH7HVJ8G7TEJ, 5654773]
[paragraph, [20.0, 205.0, 627.0, 36.0], shoonya_2sZH7HVJ8G7TEJ, 5654773]
[paragraph, [20.0, 241.0, 627.0, 36.0], shoonya_2sZH7HVJ8G7TEJ, 5654773]
[paragraph, [20.0, 277.0, 627.0, 36.0], shoonya_2sZH7HVJ8G7TEJ, 5654773]
[paragraph, [20.0, 313.0, 627.0, 36.0], shoonya_2sZH7HVJ8G7TEJ, 5654773]
[paragraph, [20.0, 349.0, 627.0, 36.0], shoonya_2sZH7HVJ8G7TEJ, 5654773]
[paragraph, [20.0, 385.0, 627.0, 36.0], shoonya_2sZH7HVJ8G7TEJ, 5654773]
[paragraph, [20.0, 421.0, 627.0, 36.0], shoonya_2sZH7HVJ8G7TEJ, 5654773]
[paragraph, [20.0, 457.0, 627.0, 36.0], shoonya_2sZH7HVJ8G7TEJ, 5654773]
[paragraph, [20.0, 493.0, 627.0, 36.0], shoonya_2sZH7HVJ8G7TEJ, 5654773]
[paragraph, [20.0, 529.0, 627.0, 36.0], shoonya_2sZH7HVJ8G7TEJ, 5654773]
[paragraph, [20.0, 565.0, 627.0, 36.0], shoonya_2sZH7HVJ8G7TEJ, 5654773]
[paragraph, [20.0, 601.0, 627.0, 36.0], shoonya_2sZH7HVJ8G7TEJ, 5654773]
[paragraph, [20.0, 637.0, 627.0, 36.0], shoonya_2sZH7HVJ8G7TEJ, 5654773]
[paragraph, [20.0, 673.0, 627.0, 36.0], shoonya_2sZH7HVJ8G7TEJ, 5654773]
[paragraph, [20.0, 709.0, 627.0, 36.0], shoonya_2sZH7HVJ8G7TEJ, 5654773]
[paragraph, [20.0, 745.0, 627.0, 36.0], shoonya_2sZH7HVJ8G7TEJ, 5654773]
[paragraph, [651.0, 100.0, 642.0, 36.0], shoonya_0s4SSEW58WFCKU, 5654773]
[paragraph, [651.0, 136.0, 642.0, 36.0], shoonya_0s4SSEW58WFCKU, 5654773]
[paragraph, [651.0, 172.0, 642.0, 36.0], shoonya_0s4SSEW58WFCKU, 5654773]
[paragraph, [651.0, 208.0, 642.0, 36.0], shoonya_0s4SSEW58WFCKU, 5654773]
[paragraph, [651.0, 244.0, 642.0, 36.0], shoonya_0s4SSEW58WFCKU, 5654773]
[paragraph, [651.0, 280.0, 642.0, 36.0], shoonya_0s4SSEW58WFCKU, 5654773]
[paragraph, [651.0, 316.0, 642.0, 36.0], shoonya_0s4SSEW58WFCKU, 5654773]
[paragraph, [651.0, 352.0, 642.0, 36.0], shoonya_0s4SSEW58WFCKU, 5654773]
[paragraph, [651.0, 388.0, 642.0, 36.0], shoonya_0s4SSEW58WFCKU, 5654773]
[paragraph, [651.0, 424.0, 642.0, 36.0], shoonya_0s4SSEW58WFCKU, 5654773]
[paragraph, [651.0, 460.0, 642.0, 36.0], shoonya_0s4SSEW58WFCKU, 5654773]
[paragraph, [651.0, 496.0, 642.0, 36.0], shoonya_0s4SSEW58WFCKU, 5654773]
[paragraph, [651.0, 532.0, 642.0, 36.0], shoonya_0s4SSEW58WFCKU, 5654773]
[paragraph, [651.0, 568.0, 642.0, 36.0], shoonya_0s4SSEW58WFCKU, 5654773]
[paragraph, [651.0, 604.0, 642.0, 36.0], shoonya_0s4SSEW58WFCKU, 5654773]
[paragraph, [651.0, 640.0, 642.0, 36.0], shoonya_0s4SSEW58WFCKU, 5654773]
[paragraph, [651.0, 676.0, 642.0, 36.0], shoonya_0s4SSEW58WFCKU, 5654773]
[paragraph, [651.0, 712.0, 642.0, 36.0], shoonya_0s4SSEW58WFCKU, 5654773]
[paragraph, [651.0, 748.0, 642.0, 36.0], shoonya_0s4SSEW58WFCKU, 5654773]
[paragraph, [951.0, 806.0, 330.0, 36.0], 1XKAopsW0u, 5654773]
[paragraph, [951.0, 842.0, 330.0, 36.0], 1XKAopsW0u, 5654773]
[paragraph, [951.0, 878.0, 330.0, 36.0], 1XKAopsW0u, 5654773]
[paragraph, [951.0, 914.0, 330.0, 36.0], 1XKAopsW0u, 5654773]
[paragraph, [20.0, 814.0, 351.0, 36.0], shoonya_3s6IA3TMCGI9DW, 5654773]
[paragraph, [20.0, 850.0, 351.0, 36.0], shoonya_3s6IA3TMCGI9DW, 5654773]
[paragraph, [20.0, 886.0, 351.0, 36.0], shoonya_3s6IA3TMCGI9DW, 5654773]
[paragraph, [20.0, 922.0, 351.0, 36.0], shoonya_3s6IA3TMCGI9DW, 5654773]
[paragraph, [20.0, 958.0, 351.0, 36.0], shoonya_3s6IA3TMCGI9DW, 5654773]
[paragraph, [20.0, 994.0, 351.0, 36.0], shoonya_3s6IA3TMCGI9DW, 5654773]
[paragraph, [20.0, 1030.0, 351.0, 36.0], shoonya_3s6IA3TMCGI9DW, 5654773]
[paragraph, [20.0, 1066.0, 351.0, 36.0], shoonya_3s6IA3TMCGI9DW, 5654773]
