[542, 329]
[folio, [142.0, 16.0, 51.0, 18.0], shoonya_2s1NQIHIBEWD8V, 5700960]
[paragraph, [9.0, 46.0, 305.0, 18.0], shoonya_0s1XX8KZ3RFXDV, 5700960]
[paragraph, [9.0, 64.0, 305.0, 18.0], shoonya_0s1XX8KZ3RFXDV, 5700960]
[paragraph, [9.0, 82.0, 305.0, 18.0], shoonya_0s1XX8KZ3RFXDV, 5700960]
[paragraph, [9.0, 100.0, 305.0, 18.0], shoonya_0s1XX8KZ3RFXDV, 5700960]
[paragraph, [9.0, 118.0, 305.0, 18.0], shoonya_0s1XX8KZ3RFXDV, 5700960]
[paragraph, [9.0, 136.0, 305.0, 18.0], shoonya_0s1XX8KZ3RFXDV, 5700960]
[paragraph, [9.0, 154.0, 305.0, 18.0], shoonya_0s1XX8KZ3RFXDV, 5700960]
[paragraph, [9.0, 172.0, 305.0, 18.0], shoonya_0s1XX8KZ3RFXDV, 5700960]
[paragraph, [9.0, 190.0, 305.0, 18.0], shoonya_0s1XX8KZ3RFXDV, 5700960]
[paragraph, [9.0, 208.0, 305.0, 18.0], shoonya_0s1XX8KZ3RFXDV, 5700960]
[paragraph, [9.0, 226.0, 305.0, 18.0], shoonya_0s1XX8KZ3RFXDV, 5700960]
[paragraph, [9.0, 244.0, 305.0, 18.0], shoonya_0s1XX8KZ3RFXDV, 5700960]
[paragraph, [9.0, 262.0, 305.0, 18.0], shoonya_0s1XX8KZ3RFXDV, 5700960]
[paragraph, [9.0, 280.0, 305.0, 18.0], shoonya_0s1XX8KZ3RFXDV, 5700960]
[paragraph, [9.0, 298.0, 305.0, 18.0], shoonya_0s1XX8KZ3RFXDV, 5700960]
[paragraph, [9.0, 316.0, 305.0, 18.0], shoonya_0s1XX8KZ3RFXDV, 5700960]
[paragraph, [9.0, 334.0, 305.0, 18.0], shoonya_0s1XX8KZ3RFXDV, 5700960]
[paragraph, [9.0, 352.0, 305.0, 18.0], shoonya_0s1XX8KZ3RFXDV, 5700960]
[paragraph, [9.0, 370.0, 305.0, 18.0], shoonya_0s1XX8KZ3RFXDV, 5700960]
[paragraph, [9.0, 388.0, 305.0, 18.0], shoonya_0s1XX8KZ3RFXDV, 5700960]
[paragraph, [9.0, 406.0, 305.0, 18.0], shoonya_0s1XX8KZ3RFXDV, 5700960]
[paragraph, [9.0, 424.0, 305.0, 18.0], shoonya_0s1XX8KZ3RFXDV, 5700960]
[paragraph, [9.0, 442.0, 305.0, 18.0], shoonya_0s1XX8KZ3RFXDV, 5700960]
[paragraph, [9.0, 460.0, 305.0, 18.0], shoonya_0s1XX8KZ3RFXDV, 5700960]
[paragraph, [9.0, 478.0, 305.0, 18.0], shoonya_0s1XX8KZ3RFXDV, 5700960]
[paragraph, [9.0, 496.0, 305.0, 18.0], shoonya_0s1XX8KZ3RFXDV, 5700960]
