[585, 406]
[paragraph, [64.0, 61.0, 330.0, 18.0], uFzk7q4VsD, 6496428]
[paragraph, [64.0, 79.0, 330.0, 18.0], uFzk7q4VsD, 6496428]
[paragraph, [64.0, 97.0, 330.0, 18.0], uFzk7q4VsD, 6496428]
[paragraph, [64.0, 115.0, 330.0, 18.0], uFzk7q4VsD, 6496428]
[paragraph, [64.0, 133.0, 330.0, 18.0], uFzk7q4VsD, 6496428]
[paragraph, [64.0, 151.0, 330.0, 18.0], uFzk7q4VsD, 6496428]
[paragraph, [64.0, 169.0, 330.0, 18.0], uFzk7q4VsD, 6496428]
[paragraph, [64.0, 187.0, 330.0, 18.0], uFzk7q4VsD, 6496428]
[paragraph, [64.0, 205.0, 330.0, 18.0], uFzk7q4VsD, 6496428]
[paragraph, [64.0, 223.0, 330.0, 18.0], uFzk7q4VsD, 6496428]
[paragraph, [64.0, 241.0, 330.0, 18.0], uFzk7q4VsD, 6496428]
[paragraph, [64.0, 259.0, 330.0, 18.0], uFzk7q4VsD, 6496428]
[paragraph, [64.0, 277.0, 330.0, 18.0], uFzk7q4VsD, 6496428]
[paragraph, [63.0, 308.0, 326.0, 18.0], PB0eNgWSMA, 6496428]
[paragraph, [63.0, 326.0, 326.0, 18.0], PB0eNgWSMA, 6496428]
[paragraph, [63.0, 344.0, 326.0, 18.0], PB0eNgWSMA, 6496428]
[paragraph, [63.0, 362.0, 326.0, 18.0], PB0eNgWSMA, 6496428]
[paragraph, [63.0, 380.0, 326.0, 18.0], PB0eNgWSMA, 6496428]
[paragraph, [63.0, 398.0, 326.0, 18.0], PB0eNgWSMA, 6496428]
[paragraph, [63.0, 416.0, 326.0, 18.0], PB0eNgWSMA, 6496428]
[paragraph, [63.0, 434.0, 326.0, 18.0], PB0eNgWSMA, 6496428]
[paragraph, [63.0, 452.0, 326.0, 18.0], PB0eNgWSMA, 6496428]
[paragraph, [63.0, 470.0, 326.0, 18.0], PB0eNgWSMA, 6496428]
[paragraph, [63.0, 488.0, 326.0, 18.0], PB0eNgWSMA, 6496428]
[paragraph, [63.0, 506.0, 326.0, 18.0], PB0eNgWSMA, 6496428]
[paragraph, [7863.0, 6332.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6350.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6368.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6386.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6404.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6422.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6440.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6458.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6476.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6494.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6512.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6530.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6548.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6566.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6584.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6602.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6620.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6638.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6656.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6674.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6692.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6710.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6728.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6746.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6764.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6782.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6800.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6818.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6836.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6854.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6872.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6890.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6908.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6926.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6944.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6962.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6980.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 6998.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 7016.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 7034.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 7052.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 7070.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 7088.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 7106.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 7124.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 7142.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 7160.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 7178.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 7196.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 7214.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 7232.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 7250.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 7268.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 7286.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 7304.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 7322.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 7340.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
[paragraph, [7863.0, 7358.0, 37788.0, 18.0], shoonya_0sA0DYD3CIELOW, 6496428]
