[2200, 1680]
[paragraph, [86.0, 185.0, 752.0, 36.0], shoonya_0s41XQ42FRVFX0, 5654756]
[paragraph, [86.0, 221.0, 752.0, 36.0], shoonya_0s41XQ42FRVFX0, 5654756]
[paragraph, [86.0, 257.0, 752.0, 36.0], shoonya_0s41XQ42FRVFX0, 5654756]
[paragraph, [86.0, 293.0, 752.0, 36.0], shoonya_0s41XQ42FRVFX0, 5654756]
[paragraph, [86.0, 329.0, 752.0, 36.0], shoonya_0s41XQ42FRVFX0, 5654756]
[paragraph, [86.0, 365.0, 752.0, 36.0], shoonya_0s41XQ42FRVFX0, 5654756]
[paragraph, [86.0, 401.0, 752.0, 36.0], shoonya_0s41XQ42FRVFX0, 5654756]
[paragraph, [86.0, 437.0, 752.0, 36.0], shoonya_0s41XQ42FRVFX0, 5654756]
[paragraph, [86.0, 473.0, 752.0, 36.0], shoonya_0s41XQ42FRVFX0, 5654756]
[paragraph, [86.0, 509.0, 752.0, 36.0], shoonya_0s41XQ42FRVFX0, 5654756]
[paragraph, [86.0, 545.0, 752.0, 36.0], shoonya_0s41XQ42FRVFX0, 5654756]
[paragraph, [86.0, 581.0, 752.0, 36.0], shoonya_0s41XQ42FRVFX0, 5654756]
[paragraph, [86.0, 617.0, 752.0, 36.0], shoonya_0s41XQ42FRVFX0, 5654756]
[paragraph, [86.0, 653.0, 752.0, 36.0], shoonya_0s41XQ42FRVFX0, 5654756]
[paragraph, [86.0, 689.0, 752.0, 36.0], shoonya_0s41XQ42FRVFX0, 5654756]
[paragraph, [86.0, 725.0, 752.0, 36.0], shoonya_0s41XQ42FRVFX0, 5654756]
[paragraph, [858.0, 200.0, 764.0, 36.0], shoonya_6s7D3QJA3BT6Q5, 5654756]
[paragraph, [858.0, 236.0, 764.0, 36.0], shoonya_6s7D3QJA3BT6Q5, 5654756]
[paragraph, [858.0, 272.0, 764.0, 36.0], shoonya_6s7D3QJA3BT6Q5, 5654756]
[paragraph, [858.0, 308.0, 764.0, 36.0], shoonya_6s7D3QJA3BT6Q5, 5654756]
[paragraph, [858.0, 344.0, 764.0, 36.0], shoonya_6s7D3QJA3BT6Q5, 5654756]
[paragraph, [858.0, 380.0, 764.0, 36.0], shoonya_6s7D3QJA3BT6Q5, 5654756]
[paragraph, [858.0, 416.0, 764.0, 36.0], shoonya_6s7D3QJA3BT6Q5, 5654756]
[paragraph, [858.0, 452.0, 764.0, 36.0], shoonya_6s7D3QJA3BT6Q5, 5654756]
[paragraph, [868.0, 512.0, 739.0, 36.0], shoonya_5s1MP43CV6HBNP, 5654756]
[paragraph, [868.0, 548.0, 739.0, 36.0], shoonya_5s1MP43CV6HBNP, 5654756]
[paragraph, [868.0, 584.0, 739.0, 36.0], shoonya_5s1MP43CV6HBNP, 5654756]
[paragraph, [868.0, 620.0, 739.0, 36.0], shoonya_5s1MP43CV6HBNP, 5654756]
[paragraph, [868.0, 656.0, 739.0, 36.0], shoonya_5s1MP43CV6HBNP, 5654756]
[paragraph, [868.0, 692.0, 739.0, 36.0], shoonya_5s1MP43CV6HBNP, 5654756]
[paragraph, [868.0, 728.0, 739.0, 36.0], shoonya_5s1MP43CV6HBNP, 5654756]
[paragraph, [868.0, 764.0, 739.0, 36.0], shoonya_5s1MP43CV6HBNP, 5654756]
[paragraph, [868.0, 800.0, 739.0, 36.0], shoonya_5s1MP43CV6HBNP, 5654756]
[paragraph, [81.0, 764.0, 759.0, 36.0], shoonya_1sYABWBRBRLWXY, 5654756]
[paragraph, [81.0, 800.0, 759.0, 36.0], shoonya_1sYABWBRBRLWXY, 5654756]
[paragraph, [81.0, 836.0, 759.0, 36.0], shoonya_1sYABWBRBRLWXY, 5654756]
[paragraph, [81.0, 872.0, 759.0, 36.0], shoonya_1sYABWBRBRLWXY, 5654756]
[paragraph, [81.0, 908.0, 759.0, 36.0], shoonya_1sYABWBRBRLWXY, 5654756]
[paragraph, [81.0, 944.0, 759.0, 36.0], shoonya_1sYABWBRBRLWXY, 5654756]
[paragraph, [81.0, 980.0, 759.0, 36.0], shoonya_1sYABWBRBRLWXY, 5654756]
[paragraph, [81.0, 1016.0, 759.0, 36.0], shoonya_1sYABWBRBRLWXY, 5654756]
[paragraph, [81.0, 1052.0, 759.0, 36.0], shoonya_1sYABWBRBRLWXY, 5654756]
[paragraph, [81.0, 1088.0, 759.0, 36.0], shoonya_1sYABWBRBRLWXY, 5654756]
[paragraph, [868.0, 853.0, 734.0, 36.0], shoonya_7s1LCYKYKL52D0, 5654756]
[paragraph, [868.0, 889.0, 734.0, 36.0], shoonya_7s1LCYKYKL52D0, 5654756]
[paragraph, [868.0, 925.0, 734.0, 36.0], shoonya_7s1LCYKYKL52D0, 5654756]
[paragraph, [868.0, 961.0, 734.0, 36.0], shoonya_7s1LCYKYKL52D0, 5654756]
[paragraph, [861.0, 1026.0, 736.0, 36.0], shoonya_4s2VJYT432AQAC, 5654756]
[paragraph, [861.0, 1062.0, 736.0, 36.0], shoonya_4s2VJYT432AQAC, 5654756]
[paragraph, [861.0, 1098.0, 736.0, 36.0], shoonya_4s2VJYT432AQAC, 5654756]
[paragraph, [861.0, 1134.0, 736.0, 36.0], shoonya_4s2VJYT432AQAC, 5654756]
[paragraph, [861.0, 1170.0, 736.0, 36.0], shoonya_4s2VJYT432AQAC, 5654756]
[paragraph, [861.0, 1206.0, 736.0, 36.0], shoonya_4s2VJYT432AQAC, 5654756]
[paragraph, [861.0, 1242.0, 736.0, 36.0], shoonya_4s2VJYT432AQAC, 5654756]
[paragraph, [861.0, 1278.0, 736.0, 36.0], shoonya_4s2VJYT432AQAC, 5654756]
[paragraph, [861.0, 1314.0, 736.0, 36.0], shoonya_4s2VJYT432AQAC, 5654756]
