[792, 612]
[paragraph, [57.0, 53.0, 162.0, 18.0], t_imb1UqJZ, 6515896]
[paragraph, [57.0, 71.0, 162.0, 18.0], t_imb1UqJZ, 6515896]
[paragraph, [225.0, 53.0, 162.0, 18.0], T2koX9Y_sm, 6515896]
[paragraph, [225.0, 71.0, 162.0, 18.0], T2koX9Y_sm, 6515896]
[paragraph, [225.0, 89.0, 162.0, 18.0], T2koX9Y_sm, 6515896]
[paragraph, [389.0, 53.0, 163.0, 18.0], hsZ8wxTRHX, 6515896]
[paragraph, [389.0, 71.0, 163.0, 18.0], hsZ8wxTRHX, 6515896]
[paragraph, [389.0, 89.0, 163.0, 18.0], hsZ8wxTRHX, 6515896]
[paragraph, [60.0, 100.0, 162.0, 18.0], cJ0lO1m6SX, 6515896]
[paragraph, [60.0, 118.0, 162.0, 18.0], cJ0lO1m6SX, 6515896]
[paragraph, [390.0, 112.0, 162.0, 18.0], Od4XNcQNNx, 6515896]
[paragraph, [390.0, 130.0, 162.0, 18.0], Od4XNcQNNx, 6515896]
[paragraph, [390.0, 148.0, 162.0, 18.0], Od4XNcQNNx, 6515896]
[paragraph, [390.0, 166.0, 162.0, 18.0], Od4XNcQNNx, 6515896]
[paragraph, [226.0, 113.0, 161.0, 18.0], h04kObVwsr, 6515896]
[paragraph, [226.0, 131.0, 161.0, 18.0], h04kObVwsr, 6515896]
[paragraph, [226.0, 149.0, 161.0, 18.0], h04kObVwsr, 6515896]
[paragraph, [226.0, 167.0, 161.0, 18.0], h04kObVwsr, 6515896]
[paragraph, [226.0, 185.0, 161.0, 18.0], h04kObVwsr, 6515896]
[paragraph, [226.0, 203.0, 161.0, 18.0], h04kObVwsr, 6515896]
[paragraph, [226.0, 221.0, 161.0, 18.0], h04kObVwsr, 6515896]
[paragraph, [60.0, 138.0, 160.0, 18.0], hSRAHLY9Jt, 6515896]
[paragraph, [60.0, 156.0, 160.0, 18.0], hSRAHLY9Jt, 6515896]
[paragraph, [60.0, 174.0, 160.0, 18.0], hSRAHLY9Jt, 6515896]
[paragraph, [60.0, 192.0, 160.0, 18.0], hSRAHLY9Jt, 6515896]
[paragraph, [60.0, 210.0, 160.0, 18.0], hSRAHLY9Jt, 6515896]
[paragraph, [389.0, 197.0, 160.0, 18.0], 1oC8VyJB3Q, 6515896]
[paragraph, [389.0, 226.0, 162.0, 18.0], k77y02Oj6E, 6515896]
[paragraph, [389.0, 244.0, 162.0, 18.0], k77y02Oj6E, 6515896]
[paragraph, [60.0, 239.0, 160.0, 18.0], pqz6pyrPLX, 6515896]
[paragraph, [60.0, 257.0, 160.0, 18.0], pqz6pyrPLX, 6515896]
[paragraph, [60.0, 275.0, 160.0, 18.0], pqz6pyrPLX, 6515896]
[paragraph, [222.0, 255.0, 164.0, 18.0], bpYG1UE9JY, 6515896]
[paragraph, [222.0, 273.0, 164.0, 18.0], bpYG1UE9JY, 6515896]
[paragraph, [389.0, 282.0, 160.0, 18.0], f2G_4S1-jG, 6515896]
[paragraph, [389.0, 300.0, 160.0, 18.0], f2G_4S1-jG, 6515896]
[paragraph, [225.0, 294.0, 161.0, 18.0], YRsO_6zjIb, 6515896]
[paragraph, [225.0, 312.0, 161.0, 18.0], YRsO_6zjIb, 6515896]
[paragraph, [225.0, 330.0, 161.0, 18.0], YRsO_6zjIb, 6515896]
[paragraph, [225.0, 348.0, 161.0, 18.0], YRsO_6zjIb, 6515896]
[paragraph, [225.0, 366.0, 161.0, 18.0], YRsO_6zjIb, 6515896]
[paragraph, [225.0, 384.0, 161.0, 18.0], YRsO_6zjIb, 6515896]
[paragraph, [225.0, 402.0, 161.0, 18.0], YRsO_6zjIb, 6515896]
[paragraph, [61.0, 296.0, 160.0, 18.0], vRs-EK9vmC, 6515896]
[paragraph, [390.0, 322.0, 159.0, 18.0], ZurQnoj7yc, 6515896]
[paragraph, [390.0, 340.0, 159.0, 18.0], ZurQnoj7yc, 6515896]
[paragraph, [390.0, 358.0, 159.0, 18.0], ZurQnoj7yc, 6515896]
[paragraph, [60.0, 325.0, 159.0, 18.0], tmKHXOxlDr, 6515896]
[paragraph, [60.0, 343.0, 159.0, 18.0], tmKHXOxlDr, 6515896]
[paragraph, [60.0, 361.0, 159.0, 18.0], tmKHXOxlDr, 6515896]
[paragraph, [60.0, 379.0, 159.0, 18.0], tmKHXOxlDr, 6515896]
[paragraph, [60.0, 397.0, 159.0, 18.0], tmKHXOxlDr, 6515896]
[paragraph, [60.0, 415.0, 159.0, 18.0], tmKHXOxlDr, 6515896]
[paragraph, [60.0, 433.0, 159.0, 18.0], tmKHXOxlDr, 6515896]
[paragraph, [389.0, 381.0, 163.0, 18.0], 0oPtVIQUs0, 6515896]
[paragraph, [389.0, 399.0, 163.0, 18.0], 0oPtVIQUs0, 6515896]
[paragraph, [389.0, 417.0, 163.0, 18.0], 0oPtVIQUs0, 6515896]
[paragraph, [389.0, 435.0, 163.0, 18.0], 0oPtVIQUs0, 6515896]
[paragraph, [389.0, 453.0, 163.0, 18.0], 0oPtVIQUs0, 6515896]
[paragraph, [389.0, 471.0, 163.0, 18.0], 0oPtVIQUs0, 6515896]
[paragraph, [222.0, 423.0, 163.0, 18.0], HJEZWdsNpy, 6515896]
[paragraph, [222.0, 441.0, 163.0, 18.0], HJEZWdsNpy, 6515896]
[paragraph, [222.0, 459.0, 163.0, 18.0], HJEZWdsNpy, 6515896]
[paragraph, [222.0, 477.0, 163.0, 18.0], HJEZWdsNpy, 6515896]
[paragraph, [222.0, 495.0, 163.0, 18.0], HJEZWdsNpy, 6515896]
[paragraph, [222.0, 513.0, 163.0, 18.0], HJEZWdsNpy, 6515896]
[paragraph, [222.0, 531.0, 163.0, 18.0], HJEZWdsNpy, 6515896]
[paragraph, [222.0, 549.0, 163.0, 18.0], HJEZWdsNpy, 6515896]
[paragraph, [222.0, 567.0, 163.0, 18.0], HJEZWdsNpy, 6515896]
[paragraph, [59.0, 467.0, 162.0, 18.0], Syb-2BF0OR, 6515896]
[paragraph, [59.0, 485.0, 162.0, 18.0], Syb-2BF0OR, 6515896]
[paragraph, [390.0, 492.0, 159.0, 18.0], dQctkXBv6H, 6515896]
[paragraph, [390.0, 510.0, 159.0, 18.0], dQctkXBv6H, 6515896]
[paragraph, [390.0, 528.0, 159.0, 18.0], dQctkXBv6H, 6515896]
[paragraph, [60.0, 520.0, 161.0, 18.0], -IMw8ILHhd, 6515896]
[paragraph, [60.0, 538.0, 161.0, 18.0], -IMw8ILHhd, 6515896]
[paragraph, [390.0, 552.0, 159.0, 18.0], 5j7qqefRRv, 6515896]
[paragraph, [390.0, 570.0, 159.0, 18.0], 5j7qqefRRv, 6515896]
[paragraph, [390.0, 588.0, 159.0, 18.0], 5j7qqefRRv, 6515896]
[paragraph, [390.0, 606.0, 159.0, 18.0], 5j7qqefRRv, 6515896]
[paragraph, [390.0, 624.0, 159.0, 18.0], 5j7qqefRRv, 6515896]
[paragraph, [59.0, 564.0, 162.0, 18.0], gzLVoMZrFT, 6515896]
[paragraph, [59.0, 582.0, 162.0, 18.0], gzLVoMZrFT, 6515896]
[paragraph, [61.0, 619.0, 159.0, 18.0], 1OABgrffaC, 6515896]
[paragraph, [226.0, 621.0, 161.0, 18.0], o31SrkeOyz, 6515896]
[paragraph, [226.0, 639.0, 161.0, 18.0], o31SrkeOyz, 6515896]
[paragraph, [226.0, 657.0, 161.0, 18.0], o31SrkeOyz, 6515896]
[paragraph, [226.0, 675.0, 161.0, 18.0], o31SrkeOyz, 6515896]
[paragraph, [226.0, 693.0, 161.0, 18.0], o31SrkeOyz, 6515896]
[paragraph, [61.0, 648.0, 162.0, 18.0], YHdR953QTR, 6515896]
[paragraph, [61.0, 666.0, 162.0, 18.0], YHdR953QTR, 6515896]
[paragraph, [61.0, 684.0, 162.0, 18.0], YHdR953QTR, 6515896]
[paragraph, [391.0, 649.0, 162.0, 18.0], Kus0wxBS9R, 6515896]
[paragraph, [391.0, 667.0, 162.0, 18.0], Kus0wxBS9R, 6515896]
[paragraph, [391.0, 685.0, 162.0, 18.0], Kus0wxBS9R, 6515896]
