[2200, 1700]
[paragraph, [132.0, 191.0, 686.0, 36.0], shoonya_5sF0UH99OQ0ZJ8, 5752202]
[paragraph, [132.0, 227.0, 686.0, 36.0], shoonya_5sF0UH99OQ0ZJ8, 5752202]
[paragraph, [132.0, 263.0, 686.0, 36.0], shoonya_5sF0UH99OQ0ZJ8, 5752202]
[paragraph, [132.0, 299.0, 686.0, 36.0], shoonya_5sF0UH99OQ0ZJ8, 5752202]
[paragraph, [132.0, 335.0, 686.0, 36.0], shoonya_5sF0UH99OQ0ZJ8, 5752202]
[paragraph, [132.0, 371.0, 686.0, 36.0], shoonya_5sF0UH99OQ0ZJ8, 5752202]
[paragraph, [132.0, 407.0, 686.0, 36.0], shoonya_5sF0UH99OQ0ZJ8, 5752202]
[paragraph, [132.0, 443.0, 686.0, 36.0], shoonya_5sF0UH99OQ0ZJ8, 5752202]
[paragraph, [132.0, 479.0, 686.0, 36.0], shoonya_5sF0UH99OQ0ZJ8, 5752202]
[paragraph, [132.0, 515.0, 686.0, 36.0], shoonya_5sF0UH99OQ0ZJ8, 5752202]
[paragraph, [132.0, 551.0, 686.0, 36.0], shoonya_5sF0UH99OQ0ZJ8, 5752202]
[paragraph, [892.0, 203.0, 680.0, 36.0], shoonya_6sOTFPP5BPL48M, 5752202]
[paragraph, [892.0, 239.0, 680.0, 36.0], shoonya_6sOTFPP5BPL48M, 5752202]
[paragraph, [892.0, 275.0, 680.0, 36.0], shoonya_6sOTFPP5BPL48M, 5752202]
[paragraph, [892.0, 311.0, 680.0, 36.0], shoonya_6sOTFPP5BPL48M, 5752202]
[paragraph, [900.0, 395.0, 685.0, 36.0], shoonya_7s9RTPNLS9IGJR, 5752202]
[paragraph, [900.0, 431.0, 685.0, 36.0], shoonya_7s9RTPNLS9IGJR, 5752202]
[paragraph, [900.0, 467.0, 685.0, 36.0], shoonya_7s9RTPNLS9IGJR, 5752202]
[paragraph, [900.0, 503.0, 685.0, 36.0], shoonya_7s9RTPNLS9IGJR, 5752202]
[paragraph, [900.0, 539.0, 685.0, 36.0], shoonya_7s9RTPNLS9IGJR, 5752202]
[paragraph, [900.0, 575.0, 685.0, 36.0], shoonya_7s9RTPNLS9IGJR, 5752202]
[paragraph, [131.0, 616.0, 683.0, 36.0], shoonya_0s4MBG6S7Y06EO, 5752202]
[paragraph, [131.0, 652.0, 683.0, 36.0], shoonya_0s4MBG6S7Y06EO, 5752202]
[paragraph, [131.0, 688.0, 683.0, 36.0], shoonya_0s4MBG6S7Y06EO, 5752202]
[paragraph, [131.0, 724.0, 683.0, 36.0], shoonya_0s4MBG6S7Y06EO, 5752202]
[paragraph, [131.0, 760.0, 683.0, 36.0], shoonya_0s4MBG6S7Y06EO, 5752202]
[paragraph, [131.0, 796.0, 683.0, 36.0], shoonya_0s4MBG6S7Y06EO, 5752202]
[paragraph, [131.0, 832.0, 683.0, 36.0], shoonya_0s4MBG6S7Y06EO, 5752202]
[paragraph, [131.0, 868.0, 683.0, 36.0], shoonya_0s4MBG6S7Y06EO, 5752202]
[paragraph, [131.0, 904.0, 683.0, 36.0], shoonya_0s4MBG6S7Y06EO, 5752202]
[paragraph, [131.0, 940.0, 683.0, 36.0], shoonya_0s4MBG6S7Y06EO, 5752202]
[paragraph, [131.0, 976.0, 683.0, 36.0], shoonya_0s4MBG6S7Y06EO, 5752202]
[paragraph, [131.0, 1012.0, 683.0, 36.0], shoonya_0s4MBG6S7Y06EO, 5752202]
[paragraph, [131.0, 1048.0, 683.0, 36.0], shoonya_0s4MBG6S7Y06EO, 5752202]
[paragraph, [131.0, 1084.0, 683.0, 36.0], shoonya_0s4MBG6S7Y06EO, 5752202]
[paragraph, [131.0, 1120.0, 683.0, 36.0], shoonya_0s4MBG6S7Y06EO, 5752202]
[paragraph, [131.0, 1156.0, 683.0, 36.0], shoonya_0s4MBG6S7Y06EO, 5752202]
[paragraph, [131.0, 1192.0, 683.0, 36.0], shoonya_0s4MBG6S7Y06EO, 5752202]
[paragraph, [131.0, 1228.0, 683.0, 36.0], shoonya_0s4MBG6S7Y06EO, 5752202]
[paragraph, [131.0, 1264.0, 683.0, 36.0], shoonya_0s4MBG6S7Y06EO, 5752202]
[paragraph, [896.0, 668.0, 677.0, 36.0], shoonya_3sOA1S9DIQGYTY, 5752202]
[paragraph, [896.0, 704.0, 677.0, 36.0], shoonya_3sOA1S9DIQGYTY, 5752202]
[paragraph, [896.0, 740.0, 677.0, 36.0], shoonya_3sOA1S9DIQGYTY, 5752202]
[paragraph, [896.0, 776.0, 677.0, 36.0], shoonya_3sOA1S9DIQGYTY, 5752202]
[paragraph, [896.0, 812.0, 677.0, 36.0], shoonya_3sOA1S9DIQGYTY, 5752202]
[paragraph, [896.0, 848.0, 677.0, 36.0], shoonya_3sOA1S9DIQGYTY, 5752202]
[paragraph, [896.0, 884.0, 677.0, 36.0], shoonya_3sOA1S9DIQGYTY, 5752202]
[paragraph, [896.0, 920.0, 677.0, 36.0], shoonya_3sOA1S9DIQGYTY, 5752202]
[paragraph, [896.0, 956.0, 677.0, 36.0], shoonya_3sOA1S9DIQGYTY, 5752202]
[paragraph, [896.0, 992.0, 677.0, 36.0], shoonya_3sOA1S9DIQGYTY, 5752202]
[paragraph, [896.0, 1028.0, 677.0, 36.0], shoonya_3sOA1S9DIQGYTY, 5752202]
[paragraph, [896.0, 1064.0, 677.0, 36.0], shoonya_3sOA1S9DIQGYTY, 5752202]
[paragraph, [896.0, 1100.0, 677.0, 36.0], shoonya_3sOA1S9DIQGYTY, 5752202]
[paragraph, [896.0, 1136.0, 677.0, 36.0], shoonya_3sOA1S9DIQGYTY, 5752202]
[paragraph, [896.0, 1172.0, 677.0, 36.0], shoonya_3sOA1S9DIQGYTY, 5752202]
[paragraph, [896.0, 1208.0, 677.0, 36.0], shoonya_3sOA1S9DIQGYTY, 5752202]
[paragraph, [896.0, 1244.0, 677.0, 36.0], shoonya_3sOA1S9DIQGYTY, 5752202]
[paragraph, [893.0, 1317.0, 671.0, 36.0], shoonya_2sDCZOTNX93P2S, 5752202]
[paragraph, [893.0, 1353.0, 671.0, 36.0], shoonya_2sDCZOTNX93P2S, 5752202]
[paragraph, [893.0, 1389.0, 671.0, 36.0], shoonya_2sDCZOTNX93P2S, 5752202]
[paragraph, [893.0, 1425.0, 671.0, 36.0], shoonya_2sDCZOTNX93P2S, 5752202]
[paragraph, [893.0, 1461.0, 671.0, 36.0], shoonya_2sDCZOTNX93P2S, 5752202]
[paragraph, [893.0, 1497.0, 671.0, 36.0], shoonya_2sDCZOTNX93P2S, 5752202]
[paragraph, [893.0, 1533.0, 671.0, 36.0], shoonya_2sDCZOTNX93P2S, 5752202]
[paragraph, [893.0, 1569.0, 671.0, 36.0], shoonya_2sDCZOTNX93P2S, 5752202]
