[1787, 1218]
[paragraph, [103.0, 102.0, 1007.0, 36.0], shoonya_0sFTHFFY22GYHM, 5651736]
[paragraph, [103.0, 138.0, 1007.0, 36.0], shoonya_0sFTHFFY22GYHM, 5651736]
[paragraph, [109.0, 182.0, 1006.0, 36.0], lNadB-m411, 5651736]
[paragraph, [109.0, 218.0, 1006.0, 36.0], lNadB-m411, 5651736]
[paragraph, [112.0, 261.0, 1003.0, 36.0], 0QVArN7lKv, 5651736]
[paragraph, [112.0, 297.0, 1003.0, 36.0], 0QVArN7lKv, 5651736]
[paragraph, [112.0, 333.0, 1003.0, 36.0], 0QVArN7lKv, 5651736]
[paragraph, [112.0, 369.0, 1003.0, 36.0], 0QVArN7lKv, 5651736]
[paragraph, [109.0, 417.0, 1004.0, 36.0], wVIsPtnkVR, 5651736]
[paragraph, [109.0, 453.0, 1004.0, 36.0], wVIsPtnkVR, 5651736]
[paragraph, [105.0, 499.0, 1006.0, 36.0], NetrAL2b2Y, 5651736]
[paragraph, [105.0, 535.0, 1006.0, 36.0], NetrAL2b2Y, 5651736]
[paragraph, [105.0, 571.0, 1006.0, 36.0], NetrAL2b2Y, 5651736]
[paragraph, [105.0, 607.0, 1006.0, 36.0], NetrAL2b2Y, 5651736]
[paragraph, [102.0, 656.0, 1009.0, 36.0], 0TwlNnldNg, 5651736]
[paragraph, [102.0, 692.0, 1009.0, 36.0], 0TwlNnldNg, 5651736]
[paragraph, [102.0, 728.0, 1009.0, 36.0], 0TwlNnldNg, 5651736]
[paragraph, [102.0, 764.0, 1009.0, 36.0], 0TwlNnldNg, 5651736]
[paragraph, [102.0, 814.0, 1007.0, 36.0], kI1VK5_reG, 5651736]
[paragraph, [102.0, 850.0, 1007.0, 36.0], kI1VK5_reG, 5651736]
[paragraph, [102.0, 886.0, 1007.0, 36.0], kI1VK5_reG, 5651736]
[paragraph, [102.0, 933.0, 1009.0, 36.0], RS9hgTnk5s, 5651736]
[paragraph, [102.0, 969.0, 1009.0, 36.0], RS9hgTnk5s, 5651736]
[paragraph, [102.0, 1005.0, 1009.0, 36.0], RS9hgTnk5s, 5651736]
[paragraph, [102.0, 1041.0, 1009.0, 36.0], RS9hgTnk5s, 5651736]
[paragraph, [102.0, 1077.0, 1009.0, 36.0], RS9hgTnk5s, 5651736]
[paragraph, [102.0, 1113.0, 1009.0, 36.0], RS9hgTnk5s, 5651736]
[paragraph, [102.0, 1149.0, 1009.0, 36.0], RS9hgTnk5s, 5651736]
[paragraph, [102.0, 1185.0, 1009.0, 36.0], RS9hgTnk5s, 5651736]
[paragraph, [165.0, 1216.0, 787.0, 36.0], 9yFjnpTb42, 5651736]
[paragraph, [167.0, 1257.0, 875.0, 36.0], q97n7WJwFB, 5651736]
[paragraph, [100.0, 1295.0, 1020.0, 36.0], hXvvQ9q9VK, 5651736]
[paragraph, [100.0, 1331.0, 1020.0, 36.0], hXvvQ9q9VK, 5651736]
[paragraph, [100.0, 1367.0, 1020.0, 36.0], hXvvQ9q9VK, 5651736]
[paragraph, [100.0, 1403.0, 1020.0, 36.0], hXvvQ9q9VK, 5651736]
[paragraph, [100.0, 1439.0, 1020.0, 36.0], hXvvQ9q9VK, 5651736]
[paragraph, [100.0, 1475.0, 1020.0, 36.0], hXvvQ9q9VK, 5651736]
[paragraph, [100.0, 1511.0, 1020.0, 36.0], hXvvQ9q9VK, 5651736]
[paragraph, [100.0, 1547.0, 1020.0, 36.0], hXvvQ9q9VK, 5651736]
[paragraph, [100.0, 1583.0, 1020.0, 36.0], hXvvQ9q9VK, 5651736]
[footnote, [456.0, 1650.0, 223.0, 36.0], 7FsC2IG8xk, 5651736]
