[1754, 1241]
[section-title, [86.0, 127.0, 388.0, 49.5], shoonya_0sVO8RUW5E8NVD, 5716017]
[section-title, [86.0, 176.5, 388.0, 49.5], shoonya_0sVO8RUW5E8NVD, 5716017]
[section-title, [86.0, 226.0, 388.0, 49.5], shoonya_0sVO8RUW5E8NVD, 5716017]
[sub-section-title, [88.0, 286.0, 390.0, 36.0], QWFAWVG4tj, 5716017]
[paragraph, [100.0, 359.0, 510.0, 36.0], nDQLTgzmyH, 5716017]
[paragraph, [100.0, 395.0, 510.0, 36.0], nDQLTgzmyH, 5716017]
[paragraph, [100.0, 431.0, 510.0, 36.0], nDQLTgzmyH, 5716017]
[paragraph, [100.0, 467.0, 510.0, 36.0], nDQLTgzmyH, 5716017]
[paragraph, [100.0, 503.0, 510.0, 36.0], nDQLTgzmyH, 5716017]
[answer, [139.0, 673.0, 463.0, 36.0], XW5dHkrao2, 5716017]
[answer, [139.0, 709.0, 463.0, 36.0], XW5dHkrao2, 5716017]
[answer, [139.0, 745.0, 463.0, 36.0], XW5dHkrao2, 5716017]
[answer, [139.0, 781.0, 463.0, 36.0], XW5dHkrao2, 5716017]
[answer, [139.0, 817.0, 463.0, 36.0], XW5dHkrao2, 5716017]
[answer, [139.0, 853.0, 463.0, 36.0], XW5dHkrao2, 5716017]
[answer, [139.0, 889.0, 463.0, 36.0], XW5dHkrao2, 5716017]
[answer, [139.0, 925.0, 463.0, 36.0], XW5dHkrao2, 5716017]
[answer, [139.0, 961.0, 463.0, 36.0], XW5dHkrao2, 5716017]
[answer, [139.0, 997.0, 463.0, 36.0], XW5dHkrao2, 5716017]
[answer, [139.0, 1033.0, 463.0, 36.0], XW5dHkrao2, 5716017]
[answer, [139.0, 1069.0, 463.0, 36.0], XW5dHkrao2, 5716017]
[answer, [139.0, 1105.0, 463.0, 36.0], XW5dHkrao2, 5716017]
[answer, [139.0, 1141.0, 463.0, 36.0], XW5dHkrao2, 5716017]
[answer, [139.0, 1177.0, 463.0, 36.0], XW5dHkrao2, 5716017]
[answer, [626.0, 870.0, 522.0, 36.0], 8AbJQq9Tzp, 5716017]
[answer, [626.0, 906.0, 522.0, 36.0], 8AbJQq9Tzp, 5716017]
[answer, [626.0, 942.0, 522.0, 36.0], 8AbJQq9Tzp, 5716017]
[answer, [626.0, 978.0, 522.0, 36.0], 8AbJQq9Tzp, 5716017]
[answer, [626.0, 1014.0, 522.0, 36.0], 8AbJQq9Tzp, 5716017]
[answer, [626.0, 1050.0, 522.0, 36.0], 8AbJQq9Tzp, 5716017]
[answer, [626.0, 1086.0, 522.0, 36.0], 8AbJQq9Tzp, 5716017]
[answer, [626.0, 1122.0, 522.0, 36.0], 8AbJQq9Tzp, 5716017]
[answer, [626.0, 1158.0, 522.0, 36.0], 8AbJQq9Tzp, 5716017]
[answer, [626.0, 1194.0, 522.0, 36.0], 8AbJQq9Tzp, 5716017]
[answer, [626.0, 1230.0, 522.0, 36.0], 8AbJQq9Tzp, 5716017]
[answer, [135.0, 1284.0, 377.0, 36.0], ZqY4LbrGSu, 5716017]
[answer, [135.0, 1320.0, 377.0, 36.0], ZqY4LbrGSu, 5716017]
[answer, [135.0, 1356.0, 377.0, 36.0], ZqY4LbrGSu, 5716017]
[answer, [135.0, 1392.0, 377.0, 36.0], ZqY4LbrGSu, 5716017]
[answer, [135.0, 1428.0, 377.0, 36.0], ZqY4LbrGSu, 5716017]
[answer, [135.0, 1464.0, 377.0, 36.0], ZqY4LbrGSu, 5716017]
[answer, [135.0, 1500.0, 377.0, 36.0], ZqY4LbrGSu, 5716017]
[answer, [135.0, 1536.0, 377.0, 36.0], ZqY4LbrGSu, 5716017]
