[827, 532]
[folio, [223.0, 51.0, 94.0, 18.0], shoonya_0sRQFEFZOZI5YP, 5741104]
[paragraph, [49.0, 97.0, 430.0, 18.0], qHzk5ZWZ0k, 5741104]
[paragraph, [49.0, 115.0, 430.0, 18.0], qHzk5ZWZ0k, 5741104]
[paragraph, [49.0, 133.0, 430.0, 18.0], qHzk5ZWZ0k, 5741104]
[paragraph, [49.0, 151.0, 430.0, 18.0], qHzk5ZWZ0k, 5741104]
[paragraph, [49.0, 169.0, 430.0, 18.0], qHzk5ZWZ0k, 5741104]
[paragraph, [49.0, 187.0, 430.0, 18.0], qHzk5ZWZ0k, 5741104]
[paragraph, [49.0, 205.0, 430.0, 18.0], qHzk5ZWZ0k, 5741104]
[paragraph, [49.0, 223.0, 430.0, 18.0], qHzk5ZWZ0k, 5741104]
[paragraph, [43.0, 244.0, 438.0, 18.0], Zm-vV7CySC, 5741104]
[paragraph, [43.0, 262.0, 438.0, 18.0], Zm-vV7CySC, 5741104]
[paragraph, [43.0, 280.0, 438.0, 18.0], Zm-vV7CySC, 5741104]
[paragraph, [43.0, 298.0, 438.0, 18.0], Zm-vV7CySC, 5741104]
[paragraph, [43.0, 316.0, 438.0, 18.0], Zm-vV7CySC, 5741104]
[paragraph, [43.0, 334.0, 438.0, 18.0], Zm-vV7CySC, 5741104]
[paragraph, [43.0, 352.0, 438.0, 18.0], Zm-vV7CySC, 5741104]
[paragraph, [43.0, 370.0, 438.0, 18.0], Zm-vV7CySC, 5741104]
[paragraph, [43.0, 388.0, 438.0, 18.0], Zm-vV7CySC, 5741104]
[paragraph, [43.0, 406.0, 438.0, 18.0], Zm-vV7CySC, 5741104]
[paragraph, [43.0, 424.0, 438.0, 18.0], Zm-vV7CySC, 5741104]
[paragraph, [43.0, 442.0, 438.0, 18.0], Zm-vV7CySC, 5741104]
[paragraph, [43.0, 460.0, 438.0, 18.0], Zm-vV7CySC, 5741104]
[paragraph, [43.0, 478.0, 438.0, 18.0], Zm-vV7CySC, 5741104]
[paragraph, [43.0, 496.0, 438.0, 18.0], Zm-vV7CySC, 5741104]
[paragraph, [43.0, 514.0, 438.0, 18.0], Zm-vV7CySC, 5741104]
[paragraph, [43.0, 532.0, 438.0, 18.0], Zm-vV7CySC, 5741104]
[paragraph, [47.0, 558.0, 440.0, 18.0], DfqXMyVhGr, 5741104]
[paragraph, [47.0, 576.0, 440.0, 18.0], DfqXMyVhGr, 5741104]
[paragraph, [47.0, 594.0, 440.0, 18.0], DfqXMyVhGr, 5741104]
[paragraph, [47.0, 612.0, 440.0, 18.0], DfqXMyVhGr, 5741104]
[paragraph, [47.0, 630.0, 440.0, 18.0], DfqXMyVhGr, 5741104]
[paragraph, [49.0, 671.0, 428.0, 18.0], heepu8RDBH, 5741104]
[paragraph, [49.0, 689.0, 428.0, 18.0], heepu8RDBH, 5741104]
[paragraph, [49.0, 707.0, 428.0, 18.0], heepu8RDBH, 5741104]
[paragraph, [49.0, 725.0, 428.0, 18.0], heepu8RDBH, 5741104]
[paragraph, [49.0, 743.0, 428.0, 18.0], heepu8RDBH, 5741104]
[paragraph, [49.0, 761.0, 428.0, 18.0], heepu8RDBH, 5741104]
[footnote, [216.0, 787.0, 260.0, 18.0], atTUI5fiSG, 5741104]
