[585, 406]
[paragraph, [52.0, 51.0, 305.0, 18.0], shoonya_0sS8DGYUOF5Y8Y, 6495644]
[paragraph, [52.0, 69.0, 305.0, 18.0], shoonya_0sS8DGYUOF5Y8Y, 6495644]
[paragraph, [52.0, 87.0, 305.0, 18.0], shoonya_0sS8DGYUOF5Y8Y, 6495644]
[paragraph, [52.0, 105.0, 305.0, 18.0], shoonya_0sS8DGYUOF5Y8Y, 6495644]
[paragraph, [52.0, 123.0, 305.0, 18.0], shoonya_0sS8DGYUOF5Y8Y, 6495644]
[paragraph, [56.0, 146.0, 306.0, 18.0], mu5s5kPICX, 6495644]
[paragraph, [56.0, 164.0, 306.0, 18.0], mu5s5kPICX, 6495644]
[paragraph, [56.0, 182.0, 306.0, 18.0], mu5s5kPICX, 6495644]
[paragraph, [56.0, 200.0, 306.0, 18.0], mu5s5kPICX, 6495644]
[paragraph, [56.0, 218.0, 306.0, 18.0], mu5s5kPICX, 6495644]
[paragraph, [56.0, 236.0, 306.0, 18.0], mu5s5kPICX, 6495644]
[paragraph, [56.0, 254.0, 306.0, 18.0], mu5s5kPICX, 6495644]
[paragraph, [56.0, 272.0, 306.0, 18.0], mu5s5kPICX, 6495644]
[paragraph, [56.0, 290.0, 306.0, 18.0], mu5s5kPICX, 6495644]
[paragraph, [56.0, 308.0, 306.0, 18.0], mu5s5kPICX, 6495644]
[paragraph, [56.0, 326.0, 306.0, 18.0], mu5s5kPICX, 6495644]
[paragraph, [56.0, 344.0, 306.0, 18.0], mu5s5kPICX, 6495644]
[paragraph, [56.0, 362.0, 306.0, 18.0], mu5s5kPICX, 6495644]
[paragraph, [56.0, 389.0, 308.0, 18.0], k1vRBaL683, 6495644]
[paragraph, [56.0, 407.0, 308.0, 18.0], k1vRBaL683, 6495644]
[paragraph, [56.0, 425.0, 308.0, 18.0], k1vRBaL683, 6495644]
[paragraph, [56.0, 443.0, 308.0, 18.0], k1vRBaL683, 6495644]
[paragraph, [56.0, 461.0, 308.0, 18.0], k1vRBaL683, 6495644]
[paragraph, [56.0, 479.0, 308.0, 18.0], k1vRBaL683, 6495644]
[paragraph, [56.0, 497.0, 308.0, 18.0], k1vRBaL683, 6495644]
