[1650, 1275]
[paragraph, [225.0, 122.0, 912.0, 36.0], shoonya_0sIADOOCHZNQ0N, 5714077]
[paragraph, [225.0, 158.0, 912.0, 36.0], shoonya_0sIADOOCHZNQ0N, 5714077]
[paragraph, [225.0, 194.0, 912.0, 36.0], shoonya_0sIADOOCHZNQ0N, 5714077]
[paragraph, [225.0, 230.0, 912.0, 36.0], shoonya_0sIADOOCHZNQ0N, 5714077]
[paragraph, [225.0, 266.0, 912.0, 36.0], shoonya_0sIADOOCHZNQ0N, 5714077]
[paragraph, [225.0, 302.0, 912.0, 36.0], shoonya_0sIADOOCHZNQ0N, 5714077]
[paragraph, [225.0, 338.0, 912.0, 36.0], shoonya_0sIADOOCHZNQ0N, 5714077]
[paragraph, [225.0, 374.0, 912.0, 36.0], shoonya_0sIADOOCHZNQ0N, 5714077]
[paragraph, [225.0, 410.0, 912.0, 36.0], shoonya_0sIADOOCHZNQ0N, 5714077]
[paragraph, [225.0, 446.0, 912.0, 36.0], shoonya_0sIADOOCHZNQ0N, 5714077]
[paragraph, [225.0, 482.0, 912.0, 36.0], shoonya_0sIADOOCHZNQ0N, 5714077]
[paragraph, [225.0, 518.0, 912.0, 36.0], shoonya_0sIADOOCHZNQ0N, 5714077]
[paragraph, [225.0, 554.0, 912.0, 36.0], shoonya_0sIADOOCHZNQ0N, 5714077]
[paragraph, [225.0, 590.0, 912.0, 36.0], shoonya_0sIADOOCHZNQ0N, 5714077]
[paragraph, [225.0, 626.0, 912.0, 36.0], shoonya_0sIADOOCHZNQ0N, 5714077]
[paragraph, [225.0, 662.0, 912.0, 36.0], shoonya_0sIADOOCHZNQ0N, 5714077]
[paragraph, [225.0, 698.0, 912.0, 36.0], shoonya_0sIADOOCHZNQ0N, 5714077]
[paragraph, [225.0, 734.0, 912.0, 36.0], shoonya_0sIADOOCHZNQ0N, 5714077]
[paragraph, [242.0, 832.0, 889.0, 36.0], shoonya_1sIWYTO82MYH6Z, 5714077]
[paragraph, [242.0, 868.0, 889.0, 36.0], shoonya_1sIWYTO82MYH6Z, 5714077]
[paragraph, [242.0, 904.0, 889.0, 36.0], shoonya_1sIWYTO82MYH6Z, 5714077]
[paragraph, [242.0, 940.0, 889.0, 36.0], shoonya_1sIWYTO82MYH6Z, 5714077]
[paragraph, [242.0, 976.0, 889.0, 36.0], shoonya_1sIWYTO82MYH6Z, 5714077]
[paragraph, [242.0, 1012.0, 889.0, 36.0], shoonya_1sIWYTO82MYH6Z, 5714077]
[paragraph, [242.0, 1048.0, 889.0, 36.0], shoonya_1sIWYTO82MYH6Z, 5714077]
[paragraph, [242.0, 1084.0, 889.0, 36.0], shoonya_1sIWYTO82MYH6Z, 5714077]
[paragraph, [242.0, 1120.0, 889.0, 36.0], shoonya_1sIWYTO82MYH6Z, 5714077]
[paragraph, [242.0, 1156.0, 889.0, 36.0], shoonya_1sIWYTO82MYH6Z, 5714077]
[paragraph, [242.0, 1192.0, 889.0, 36.0], shoonya_1sIWYTO82MYH6Z, 5714077]
[paragraph, [242.0, 1228.0, 889.0, 36.0], shoonya_1sIWYTO82MYH6Z, 5714077]
[paragraph, [242.0, 1264.0, 889.0, 36.0], shoonya_1sIWYTO82MYH6Z, 5714077]
[paragraph, [242.0, 1300.0, 889.0, 36.0], shoonya_1sIWYTO82MYH6Z, 5714077]
[paragraph, [242.0, 1336.0, 889.0, 36.0], shoonya_1sIWYTO82MYH6Z, 5714077]
[paragraph, [242.0, 1372.0, 889.0, 36.0], shoonya_1sIWYTO82MYH6Z, 5714077]
[paragraph, [242.0, 1408.0, 889.0, 36.0], shoonya_1sIWYTO82MYH6Z, 5714077]
[paragraph, [242.0, 1444.0, 889.0, 36.0], shoonya_1sIWYTO82MYH6Z, 5714077]
