[723, 434]
[contact-info, [41.0, 57.0, 139.0, 18.0], PqMDhg-t0K, 6534106]
[contact-info, [41.0, 75.0, 139.0, 18.0], PqMDhg-t0K, 6534106]
[contact-info, [41.0, 93.0, 139.0, 18.0], PqMDhg-t0K, 6534106]
[contact-info, [41.0, 111.0, 139.0, 18.0], PqMDhg-t0K, 6534106]
[contact-info, [41.0, 129.0, 139.0, 18.0], PqMDhg-t0K, 6534106]
[paragraph, [134.0, 307.0, 172.0, 18.0], PDpGnMCNLZ, 6534106]
[paragraph, [164.0, 348.0, 97.0, 18.0], pbXnaJDzsB, 6534106]
[contact-info, [210.0, 549.0, 146.0, 18.0], shoonya_0sWDK2KBOS6E4B, 6534106]
[contact-info, [210.0, 567.0, 146.0, 18.0], shoonya_0sWDK2KBOS6E4B, 6534106]
[contact-info, [210.0, 585.0, 146.0, 18.0], shoonya_0sWDK2KBOS6E4B, 6534106]
[contact-info, [210.0, 603.0, 146.0, 18.0], shoonya_0sWDK2KBOS6E4B, 6534106]
[contact-info, [210.0, 621.0, 146.0, 18.0], shoonya_0sWDK2KBOS6E4B, 6534106]
[contact-info, [210.0, 639.0, 146.0, 18.0], shoonya_0sWDK2KBOS6E4B, 6534106]
[contact-info, [210.0, 657.0, 146.0, 18.0], shoonya_0sWDK2KBOS6E4B, 6534106]
