[595, 419]
[headline, [50.0, 35.0, 322.0, 25.5], MJrS2ylgyg, 6459938]
[headline, [50.0, 60.5, 322.0, 25.5], MJrS2ylgyg, 6459938]
[paragraph, [36.0, 113.0, 341.0, 18.0], shoonya_0sOZ2L7OGP3EER, 6459938]
[paragraph, [36.0, 131.0, 341.0, 18.0], shoonya_0sOZ2L7OGP3EER, 6459938]
[paragraph, [36.0, 149.0, 341.0, 18.0], shoonya_0sOZ2L7OGP3EER, 6459938]
[paragraph, [36.0, 167.0, 341.0, 18.0], shoonya_0sOZ2L7OGP3EER, 6459938]
[paragraph, [36.0, 185.0, 341.0, 18.0], shoonya_0sOZ2L7OGP3EER, 6459938]
[paragraph, [36.0, 203.0, 341.0, 18.0], shoonya_0sOZ2L7OGP3EER, 6459938]
[paragraph, [36.0, 221.0, 341.0, 18.0], shoonya_0sOZ2L7OGP3EER, 6459938]
[paragraph, [36.0, 239.0, 341.0, 18.0], shoonya_0sOZ2L7OGP3EER, 6459938]
[paragraph, [36.0, 257.0, 341.0, 18.0], shoonya_0sOZ2L7OGP3EER, 6459938]
[paragraph, [36.0, 275.0, 341.0, 18.0], shoonya_0sOZ2L7OGP3EER, 6459938]
[paragraph, [36.0, 293.0, 341.0, 18.0], shoonya_0sOZ2L7OGP3EER, 6459938]
[paragraph, [36.0, 311.0, 341.0, 18.0], shoonya_0sOZ2L7OGP3EER, 6459938]
[paragraph, [36.0, 329.0, 341.0, 18.0], shoonya_0sOZ2L7OGP3EER, 6459938]
[paragraph, [36.0, 347.0, 341.0, 18.0], shoonya_0sOZ2L7OGP3EER, 6459938]
[paragraph, [36.0, 365.0, 341.0, 18.0], shoonya_0sOZ2L7OGP3EER, 6459938]
[paragraph, [36.0, 383.0, 341.0, 18.0], shoonya_0sOZ2L7OGP3EER, 6459938]
[paragraph, [36.0, 401.0, 341.0, 18.0], shoonya_0sOZ2L7OGP3EER, 6459938]
[paragraph, [36.0, 419.0, 341.0, 18.0], shoonya_0sOZ2L7OGP3EER, 6459938]
[paragraph, [36.0, 437.0, 341.0, 18.0], shoonya_0sOZ2L7OGP3EER, 6459938]
[paragraph, [36.0, 455.0, 341.0, 18.0], shoonya_0sOZ2L7OGP3EER, 6459938]
[contact-info, [106.0, 491.0, 270.0, 18.0], 7_9Bwnhwij, 6459938]
[contact-info, [106.0, 509.0, 270.0, 18.0], 7_9Bwnhwij, 6459938]
[contact-info, [106.0, 527.0, 270.0, 18.0], 7_9Bwnhwij, 6459938]
