[1320, 1176]
[folio, [937.0, 55.0, 172.0, 18.0], shoonya_9s19QZVO1QHRWD, 5694174]
[folio, [937.0, 73.0, 172.0, 18.0], shoonya_9s19QZVO1QHRWD, 5694174]
[folio, [937.0, 91.0, 172.0, 18.0], shoonya_9s19QZVO1QHRWD, 5694174]
[folio, [937.0, 109.0, 172.0, 18.0], shoonya_9s19QZVO1QHRWD, 5694174]
[folio, [937.0, 127.0, 172.0, 18.0], shoonya_9s19QZVO1QHRWD, 5694174]
[folio, [937.0, 145.0, 172.0, 18.0], shoonya_9s19QZVO1QHRWD, 5694174]
[paragraph, [79.0, 175.0, 326.0, 18.0], shoonya_11sU3M7M7S67FT, 5694174]
[paragraph, [79.0, 193.0, 326.0, 18.0], shoonya_11sU3M7M7S67FT, 5694174]
[paragraph, [79.0, 211.0, 326.0, 18.0], shoonya_11sU3M7M7S67FT, 5694174]
[paragraph, [79.0, 229.0, 326.0, 18.0], shoonya_11sU3M7M7S67FT, 5694174]
[paragraph, [79.0, 247.0, 326.0, 18.0], shoonya_11sU3M7M7S67FT, 5694174]
[paragraph, [79.0, 265.0, 326.0, 18.0], shoonya_11sU3M7M7S67FT, 5694174]
[paragraph, [79.0, 283.0, 326.0, 18.0], shoonya_11sU3M7M7S67FT, 5694174]
[paragraph, [79.0, 301.0, 326.0, 18.0], shoonya_11sU3M7M7S67FT, 5694174]
[paragraph, [79.0, 319.0, 326.0, 18.0], shoonya_11sU3M7M7S67FT, 5694174]
[paragraph, [420.0, 182.0, 326.0, 18.0], shoonya_4sJBVS4DWBDWYF, 5694174]
[paragraph, [420.0, 200.0, 326.0, 18.0], shoonya_4sJBVS4DWBDWYF, 5694174]
[paragraph, [417.0, 239.0, 329.0, 18.0], shoonya_13sK0JYI0WL30L, 5694174]
[paragraph, [417.0, 257.0, 329.0, 18.0], shoonya_13sK0JYI0WL30L, 5694174]
[paragraph, [417.0, 275.0, 329.0, 18.0], shoonya_13sK0JYI0WL30L, 5694174]
[paragraph, [417.0, 293.0, 329.0, 18.0], shoonya_13sK0JYI0WL30L, 5694174]
[paragraph, [420.0, 328.0, 330.0, 18.0], shoonya_5sUTA4SD0LGD7T, 5694174]
[paragraph, [420.0, 346.0, 330.0, 18.0], shoonya_5sUTA4SD0LGD7T, 5694174]
[paragraph, [420.0, 364.0, 330.0, 18.0], shoonya_5sUTA4SD0LGD7T, 5694174]
[paragraph, [420.0, 382.0, 330.0, 18.0], shoonya_5sUTA4SD0LGD7T, 5694174]
[paragraph, [76.0, 348.0, 335.0, 18.0], shoonya_6sYYG9L56S5A97, 5694174]
[paragraph, [76.0, 366.0, 335.0, 18.0], shoonya_6sYYG9L56S5A97, 5694174]
[paragraph, [76.0, 384.0, 335.0, 18.0], shoonya_6sYYG9L56S5A97, 5694174]
[paragraph, [76.0, 402.0, 335.0, 18.0], shoonya_6sYYG9L56S5A97, 5694174]
[paragraph, [416.0, 415.0, 332.0, 18.0], shoonya_1s0JHESG8ZC2NX, 5694174]
