[1755, 1240]
[paragraph, [228.0, 234.0, 782.0, 36.0], shoonya_0sO8QXFI4PGEIY, 5744020]
[paragraph, [228.0, 270.0, 782.0, 36.0], shoonya_0sO8QXFI4PGEIY, 5744020]
[paragraph, [228.0, 306.0, 782.0, 36.0], shoonya_0sO8QXFI4PGEIY, 5744020]
[paragraph, [228.0, 342.0, 782.0, 36.0], shoonya_0sO8QXFI4PGEIY, 5744020]
[paragraph, [228.0, 378.0, 782.0, 36.0], shoonya_0sO8QXFI4PGEIY, 5744020]
[paragraph, [228.0, 414.0, 782.0, 36.0], shoonya_0sO8QXFI4PGEIY, 5744020]
[paragraph, [228.0, 450.0, 782.0, 36.0], shoonya_0sO8QXFI4PGEIY, 5744020]
[paragraph, [228.0, 486.0, 782.0, 36.0], shoonya_0sO8QXFI4PGEIY, 5744020]
[paragraph, [228.0, 522.0, 782.0, 36.0], shoonya_0sO8QXFI4PGEIY, 5744020]
[paragraph, [229.0, 590.0, 783.0, 36.0], shoonya_1sDPTUGVK5WFDZ, 5744020]
[paragraph, [229.0, 626.0, 783.0, 36.0], shoonya_1sDPTUGVK5WFDZ, 5744020]
[paragraph, [229.0, 662.0, 783.0, 36.0], shoonya_1sDPTUGVK5WFDZ, 5744020]
[paragraph, [229.0, 698.0, 783.0, 36.0], shoonya_1sDPTUGVK5WFDZ, 5744020]
[paragraph, [229.0, 734.0, 783.0, 36.0], shoonya_1sDPTUGVK5WFDZ, 5744020]
[paragraph, [229.0, 770.0, 783.0, 36.0], shoonya_1sDPTUGVK5WFDZ, 5744020]
[paragraph, [229.0, 806.0, 783.0, 36.0], shoonya_1sDPTUGVK5WFDZ, 5744020]
[paragraph, [229.0, 842.0, 783.0, 36.0], shoonya_1sDPTUGVK5WFDZ, 5744020]
[paragraph, [229.0, 878.0, 783.0, 36.0], shoonya_1sDPTUGVK5WFDZ, 5744020]
[paragraph, [229.0, 914.0, 783.0, 36.0], shoonya_1sDPTUGVK5WFDZ, 5744020]
[paragraph, [229.0, 950.0, 783.0, 36.0], shoonya_1sDPTUGVK5WFDZ, 5744020]
[paragraph, [229.0, 986.0, 783.0, 36.0], shoonya_1sDPTUGVK5WFDZ, 5744020]
[paragraph, [229.0, 1022.0, 783.0, 36.0], shoonya_1sDPTUGVK5WFDZ, 5744020]
[paragraph, [228.0, 1140.0, 786.0, 36.0], shoonya_2sJSQ27HZN2SCF, 5744020]
[paragraph, [228.0, 1176.0, 786.0, 36.0], shoonya_2sJSQ27HZN2SCF, 5744020]
[paragraph, [228.0, 1212.0, 786.0, 36.0], shoonya_2sJSQ27HZN2SCF, 5744020]
[paragraph, [228.0, 1248.0, 786.0, 36.0], shoonya_2sJSQ27HZN2SCF, 5744020]
[paragraph, [228.0, 1284.0, 786.0, 36.0], shoonya_2sJSQ27HZN2SCF, 5744020]
[paragraph, [228.0, 1320.0, 786.0, 36.0], shoonya_2sJSQ27HZN2SCF, 5744020]
[paragraph, [228.0, 1356.0, 786.0, 36.0], shoonya_2sJSQ27HZN2SCF, 5744020]
[paragraph, [228.0, 1392.0, 786.0, 36.0], shoonya_2sJSQ27HZN2SCF, 5744020]
