[1200, 825]
[paragraph, [135.0, 105.0, 550.0, 18.0], shoonya_0sS6FONJCOQNLT, 5691134]
[paragraph, [135.0, 123.0, 550.0, 18.0], shoonya_0sS6FONJCOQNLT, 5691134]
[paragraph, [135.0, 141.0, 550.0, 18.0], shoonya_0sS6FONJCOQNLT, 5691134]
[paragraph, [135.0, 159.0, 550.0, 18.0], shoonya_0sS6FONJCOQNLT, 5691134]
[paragraph, [135.0, 177.0, 550.0, 18.0], shoonya_0sS6FONJCOQNLT, 5691134]
[paragraph, [135.0, 195.0, 550.0, 18.0], shoonya_0sS6FONJCOQNLT, 5691134]
[paragraph, [135.0, 213.0, 550.0, 18.0], shoonya_0sS6FONJCOQNLT, 5691134]
[paragraph, [135.0, 231.0, 550.0, 18.0], shoonya_0sS6FONJCOQNLT, 5691134]
[paragraph, [135.0, 249.0, 550.0, 18.0], shoonya_0sS6FONJCOQNLT, 5691134]
[paragraph, [135.0, 267.0, 550.0, 18.0], shoonya_0sS6FONJCOQNLT, 5691134]
[paragraph, [135.0, 285.0, 550.0, 18.0], shoonya_0sS6FONJCOQNLT, 5691134]
[paragraph, [135.0, 303.0, 550.0, 18.0], shoonya_0sS6FONJCOQNLT, 5691134]
[paragraph, [135.0, 321.0, 550.0, 18.0], shoonya_0sS6FONJCOQNLT, 5691134]
[paragraph, [135.0, 339.0, 550.0, 18.0], shoonya_0sS6FONJCOQNLT, 5691134]
[paragraph, [135.0, 357.0, 550.0, 18.0], shoonya_0sS6FONJCOQNLT, 5691134]
[paragraph, [138.0, 385.0, 549.0, 18.0], 6s2QTkRXtZ, 5691134]
[paragraph, [138.0, 403.0, 549.0, 18.0], 6s2QTkRXtZ, 5691134]
[paragraph, [138.0, 421.0, 549.0, 18.0], 6s2QTkRXtZ, 5691134]
[paragraph, [138.0, 439.0, 549.0, 18.0], 6s2QTkRXtZ, 5691134]
[paragraph, [138.0, 457.0, 549.0, 18.0], 6s2QTkRXtZ, 5691134]
[paragraph, [138.0, 475.0, 549.0, 18.0], 6s2QTkRXtZ, 5691134]
[paragraph, [138.0, 493.0, 549.0, 18.0], 6s2QTkRXtZ, 5691134]
[paragraph, [138.0, 511.0, 549.0, 18.0], 6s2QTkRXtZ, 5691134]
[paragraph, [138.0, 529.0, 549.0, 18.0], 6s2QTkRXtZ, 5691134]
[paragraph, [138.0, 547.0, 549.0, 18.0], 6s2QTkRXtZ, 5691134]
[paragraph, [138.0, 565.0, 549.0, 18.0], 6s2QTkRXtZ, 5691134]
[paragraph, [138.0, 583.0, 549.0, 18.0], 6s2QTkRXtZ, 5691134]
[paragraph, [138.0, 601.0, 549.0, 18.0], 6s2QTkRXtZ, 5691134]
[paragraph, [138.0, 619.0, 549.0, 18.0], 6s2QTkRXtZ, 5691134]
[paragraph, [138.0, 637.0, 549.0, 18.0], 6s2QTkRXtZ, 5691134]
[paragraph, [138.0, 655.0, 549.0, 18.0], 6s2QTkRXtZ, 5691134]
[paragraph, [138.0, 673.0, 549.0, 18.0], 6s2QTkRXtZ, 5691134]
[paragraph, [138.0, 691.0, 549.0, 18.0], 6s2QTkRXtZ, 5691134]
[paragraph, [138.0, 709.0, 549.0, 18.0], 6s2QTkRXtZ, 5691134]
[paragraph, [138.0, 727.0, 549.0, 18.0], 6s2QTkRXtZ, 5691134]
[paragraph, [138.0, 745.0, 549.0, 18.0], 6s2QTkRXtZ, 5691134]
[paragraph, [138.0, 763.0, 549.0, 18.0], 6s2QTkRXtZ, 5691134]
[paragraph, [138.0, 781.0, 549.0, 18.0], 6s2QTkRXtZ, 5691134]
[paragraph, [138.0, 799.0, 549.0, 18.0], 6s2QTkRXtZ, 5691134]
[paragraph, [138.0, 817.0, 549.0, 18.0], 6s2QTkRXtZ, 5691134]
[paragraph, [138.0, 835.0, 549.0, 18.0], 6s2QTkRXtZ, 5691134]
[paragraph, [138.0, 853.0, 549.0, 18.0], 6s2QTkRXtZ, 5691134]
[paragraph, [142.0, 876.0, 542.0, 18.0], zJDPj_ACxk, 5691134]
[paragraph, [142.0, 894.0, 542.0, 18.0], zJDPj_ACxk, 5691134]
[paragraph, [142.0, 912.0, 542.0, 18.0], zJDPj_ACxk, 5691134]
[paragraph, [142.0, 930.0, 542.0, 18.0], zJDPj_ACxk, 5691134]
[paragraph, [142.0, 948.0, 542.0, 18.0], zJDPj_ACxk, 5691134]
[paragraph, [142.0, 966.0, 542.0, 18.0], zJDPj_ACxk, 5691134]
[paragraph, [142.0, 984.0, 542.0, 18.0], zJDPj_ACxk, 5691134]
[paragraph, [142.0, 1002.0, 542.0, 18.0], zJDPj_ACxk, 5691134]
[paragraph, [142.0, 1020.0, 542.0, 18.0], zJDPj_ACxk, 5691134]
[paragraph, [142.0, 1038.0, 542.0, 18.0], zJDPj_ACxk, 5691134]
