[1650, 1275]
[paragraph, [138.0, 148.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 184.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 220.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 256.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 292.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 328.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 364.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 400.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 436.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 472.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 508.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 544.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 580.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 616.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 652.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 688.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 724.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 760.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 796.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 832.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 868.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 904.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 940.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 976.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 1012.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 1048.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 1084.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 1120.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 1156.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 1192.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 1228.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 1264.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 1300.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
[paragraph, [138.0, 1336.0, 1007.0, 36.0], shoonya_0sG64UGGBOIP31, 5703416]
