[792, 612]
[folio, [260.0, 52.0, 67.0, 18.0], VmA483jll7, 6493060]
[paragraph, [91.0, 94.0, 403.0, 18.0], UyjtdezEUo, 6493060]
[paragraph, [91.0, 112.0, 403.0, 18.0], UyjtdezEUo, 6493060]
[paragraph, [91.0, 130.0, 403.0, 18.0], UyjtdezEUo, 6493060]
[paragraph, [91.0, 148.0, 403.0, 18.0], UyjtdezEUo, 6493060]
[paragraph, [91.0, 166.0, 403.0, 18.0], UyjtdezEUo, 6493060]
[paragraph, [91.0, 184.0, 403.0, 18.0], UyjtdezEUo, 6493060]
[paragraph, [91.0, 202.0, 403.0, 18.0], UyjtdezEUo, 6493060]
[paragraph, [91.0, 220.0, 403.0, 18.0], UyjtdezEUo, 6493060]
[paragraph, [91.0, 238.0, 403.0, 18.0], UyjtdezEUo, 6493060]
[paragraph, [91.0, 256.0, 403.0, 18.0], UyjtdezEUo, 6493060]
[paragraph, [91.0, 274.0, 403.0, 18.0], UyjtdezEUo, 6493060]
[paragraph, [91.0, 292.0, 403.0, 18.0], UyjtdezEUo, 6493060]
[paragraph, [91.0, 310.0, 403.0, 18.0], UyjtdezEUo, 6493060]
[paragraph, [91.0, 328.0, 403.0, 18.0], UyjtdezEUo, 6493060]
[paragraph, [91.0, 346.0, 403.0, 18.0], UyjtdezEUo, 6493060]
[paragraph, [91.0, 364.0, 403.0, 18.0], UyjtdezEUo, 6493060]
[paragraph, [91.0, 382.0, 403.0, 18.0], UyjtdezEUo, 6493060]
[paragraph, [91.0, 400.0, 403.0, 18.0], UyjtdezEUo, 6493060]
[paragraph, [91.0, 418.0, 403.0, 18.0], UyjtdezEUo, 6493060]
[paragraph, [89.0, 444.0, 400.0, 18.0], C6hvFyI9ct, 6493060]
[paragraph, [89.0, 462.0, 400.0, 18.0], C6hvFyI9ct, 6493060]
[paragraph, [89.0, 480.0, 400.0, 18.0], C6hvFyI9ct, 6493060]
[paragraph, [95.0, 501.0, 395.0, 18.0], TQeoI1sRUV, 6493060]
[paragraph, [95.0, 519.0, 395.0, 18.0], TQeoI1sRUV, 6493060]
[paragraph, [95.0, 537.0, 395.0, 18.0], TQeoI1sRUV, 6493060]
[paragraph, [95.0, 555.0, 395.0, 18.0], TQeoI1sRUV, 6493060]
[paragraph, [95.0, 573.0, 395.0, 18.0], TQeoI1sRUV, 6493060]
[paragraph, [95.0, 591.0, 395.0, 18.0], TQeoI1sRUV, 6493060]
[paragraph, [95.0, 609.0, 395.0, 18.0], TQeoI1sRUV, 6493060]
[paragraph, [95.0, 627.0, 395.0, 18.0], TQeoI1sRUV, 6493060]
[paragraph, [95.0, 645.0, 395.0, 18.0], TQeoI1sRUV, 6493060]
[paragraph, [132.0, 674.0, 352.0, 18.0], Sq9AFYE4WK, 6493060]
