[687, 500]
[folio, [183.0, 54.0, 90.0, 18.0], 3522-2UFOt, 6463941]
[paragraph, [41.0, 116.0, 376.0, 18.0], nXDA1-8nm7, 6463941]
[paragraph, [41.0, 134.0, 376.0, 18.0], nXDA1-8nm7, 6463941]
[paragraph, [40.0, 158.0, 375.0, 18.0], KzSL280fV7, 6463941]
[paragraph, [40.0, 176.0, 375.0, 18.0], KzSL280fV7, 6463941]
[paragraph, [40.0, 194.0, 375.0, 18.0], KzSL280fV7, 6463941]
[paragraph, [40.0, 212.0, 375.0, 18.0], KzSL280fV7, 6463941]
[paragraph, [40.0, 230.0, 375.0, 18.0], KzSL280fV7, 6463941]
[paragraph, [40.0, 248.0, 375.0, 18.0], KzSL280fV7, 6463941]
[paragraph, [40.0, 266.0, 375.0, 18.0], KzSL280fV7, 6463941]
[paragraph, [42.0, 299.0, 377.0, 18.0], N_MILiJVAc, 6463941]
[paragraph, [42.0, 317.0, 377.0, 18.0], N_MILiJVAc, 6463941]
[paragraph, [42.0, 335.0, 377.0, 18.0], N_MILiJVAc, 6463941]
[paragraph, [42.0, 353.0, 377.0, 18.0], N_MILiJVAc, 6463941]
[paragraph, [42.0, 371.0, 377.0, 18.0], N_MILiJVAc, 6463941]
[paragraph, [42.0, 389.0, 377.0, 18.0], N_MILiJVAc, 6463941]
[paragraph, [42.0, 407.0, 377.0, 18.0], N_MILiJVAc, 6463941]
[paragraph, [42.0, 425.0, 377.0, 18.0], N_MILiJVAc, 6463941]
[paragraph, [42.0, 443.0, 377.0, 18.0], N_MILiJVAc, 6463941]
[paragraph, [42.0, 461.0, 377.0, 18.0], N_MILiJVAc, 6463941]
[paragraph, [42.0, 479.0, 377.0, 18.0], N_MILiJVAc, 6463941]
[paragraph, [74.0, 580.0, 326.0, 18.0], iFK-mWEDQR, 6463941]
[paragraph, [76.0, 608.0, 346.0, 18.0], -vjOBlZLRD, 6463941]
