[2200, 1700]
[paragraph, [405.0, 129.0, 872.0, 36.0], Z9dy-OTKab, 5660123]
[paragraph, [405.0, 165.0, 872.0, 36.0], Z9dy-OTKab, 5660123]
[paragraph, [414.0, 234.0, 868.0, 36.0], shoonya_1sU5GBLG50HIFR, 5660123]
[paragraph, [414.0, 270.0, 868.0, 36.0], shoonya_1sU5GBLG50HIFR, 5660123]
[paragraph, [414.0, 306.0, 868.0, 36.0], shoonya_1sU5GBLG50HIFR, 5660123]
[paragraph, [414.0, 342.0, 868.0, 36.0], shoonya_1sU5GBLG50HIFR, 5660123]
[paragraph, [414.0, 378.0, 868.0, 36.0], shoonya_1sU5GBLG50HIFR, 5660123]
[paragraph, [414.0, 414.0, 868.0, 36.0], shoonya_1sU5GBLG50HIFR, 5660123]
[paragraph, [414.0, 450.0, 868.0, 36.0], shoonya_1sU5GBLG50HIFR, 5660123]
[paragraph, [414.0, 486.0, 868.0, 36.0], shoonya_1sU5GBLG50HIFR, 5660123]
[paragraph, [414.0, 522.0, 868.0, 36.0], shoonya_1sU5GBLG50HIFR, 5660123]
[paragraph, [414.0, 558.0, 868.0, 36.0], shoonya_1sU5GBLG50HIFR, 5660123]
[paragraph, [414.0, 594.0, 868.0, 36.0], shoonya_1sU5GBLG50HIFR, 5660123]
[paragraph, [414.0, 630.0, 868.0, 36.0], shoonya_1sU5GBLG50HIFR, 5660123]
[paragraph, [414.0, 666.0, 868.0, 36.0], shoonya_1sU5GBLG50HIFR, 5660123]
[paragraph, [414.0, 702.0, 868.0, 36.0], shoonya_1sU5GBLG50HIFR, 5660123]
[paragraph, [414.0, 738.0, 868.0, 36.0], shoonya_1sU5GBLG50HIFR, 5660123]
[paragraph, [414.0, 774.0, 868.0, 36.0], shoonya_1sU5GBLG50HIFR, 5660123]
[paragraph, [416.0, 850.0, 863.0, 36.0], shoonya_2sC0XEO9FPILJ9, 5660123]
[paragraph, [416.0, 886.0, 863.0, 36.0], shoonya_2sC0XEO9FPILJ9, 5660123]
[paragraph, [416.0, 922.0, 863.0, 36.0], shoonya_2sC0XEO9FPILJ9, 5660123]
[paragraph, [416.0, 958.0, 863.0, 36.0], shoonya_2sC0XEO9FPILJ9, 5660123]
[paragraph, [416.0, 994.0, 863.0, 36.0], shoonya_2sC0XEO9FPILJ9, 5660123]
[paragraph, [416.0, 1030.0, 863.0, 36.0], shoonya_2sC0XEO9FPILJ9, 5660123]
[paragraph, [416.0, 1066.0, 863.0, 36.0], shoonya_2sC0XEO9FPILJ9, 5660123]
[paragraph, [416.0, 1102.0, 863.0, 36.0], shoonya_2sC0XEO9FPILJ9, 5660123]
[paragraph, [416.0, 1160.0, 863.0, 36.0], shoonya_0s0WLNVNF6BIQT, 5660123]
[paragraph, [416.0, 1196.0, 863.0, 36.0], shoonya_0s0WLNVNF6BIQT, 5660123]
[paragraph, [416.0, 1232.0, 863.0, 36.0], shoonya_0s0WLNVNF6BIQT, 5660123]
[paragraph, [416.0, 1268.0, 863.0, 36.0], shoonya_0s0WLNVNF6BIQT, 5660123]
[paragraph, [416.0, 1304.0, 863.0, 36.0], shoonya_0s0WLNVNF6BIQT, 5660123]
[paragraph, [416.0, 1340.0, 863.0, 36.0], shoonya_0s0WLNVNF6BIQT, 5660123]
[paragraph, [416.0, 1376.0, 863.0, 36.0], shoonya_0s0WLNVNF6BIQT, 5660123]
[paragraph, [416.0, 1412.0, 863.0, 36.0], shoonya_0s0WLNVNF6BIQT, 5660123]
[paragraph, [416.0, 1448.0, 863.0, 36.0], shoonya_0s0WLNVNF6BIQT, 5660123]
[paragraph, [416.0, 1484.0, 863.0, 36.0], shoonya_0s0WLNVNF6BIQT, 5660123]
[paragraph, [416.0, 1520.0, 863.0, 36.0], shoonya_0s0WLNVNF6BIQT, 5660123]
[paragraph, [416.0, 1556.0, 863.0, 36.0], shoonya_0s0WLNVNF6BIQT, 5660123]
[paragraph, [416.0, 1592.0, 863.0, 36.0], shoonya_0s0WLNVNF6BIQT, 5660123]
[paragraph, [416.0, 1628.0, 863.0, 36.0], shoonya_0s0WLNVNF6BIQT, 5660123]
