[1447, 1063]
[folio, [442.0, 52.0, 201.0, 18.0], UnRTBcgXlp, 5763161]
[headline, [156.0, 93.0, 750.0, 25.5], shoonya_2sWF07QTQP2EXV, 5763161]
[headline, [156.0, 118.5, 750.0, 25.5], shoonya_2sWF07QTQP2EXV, 5763161]
[headline, [156.0, 144.0, 750.0, 25.5], shoonya_2sWF07QTQP2EXV, 5763161]
[paragraph, [536.0, 211.0, 429.0, 18.0], 6NpTATvRYV, 5763161]
[paragraph, [536.0, 229.0, 429.0, 18.0], 6NpTATvRYV, 5763161]
[paragraph, [536.0, 247.0, 429.0, 18.0], 6NpTATvRYV, 5763161]
[paragraph, [536.0, 265.0, 429.0, 18.0], 6NpTATvRYV, 5763161]
[paragraph, [88.0, 219.0, 436.0, 18.0], pNijJz998F, 5763161]
[paragraph, [88.0, 237.0, 436.0, 18.0], pNijJz998F, 5763161]
[paragraph, [88.0, 255.0, 436.0, 18.0], pNijJz998F, 5763161]
[paragraph, [88.0, 273.0, 436.0, 18.0], pNijJz998F, 5763161]
[paragraph, [88.0, 291.0, 436.0, 18.0], pNijJz998F, 5763161]
[paragraph, [88.0, 309.0, 436.0, 18.0], pNijJz998F, 5763161]
[paragraph, [88.0, 327.0, 436.0, 18.0], pNijJz998F, 5763161]
[paragraph, [88.0, 345.0, 436.0, 18.0], pNijJz998F, 5763161]
[paragraph, [88.0, 363.0, 436.0, 18.0], pNijJz998F, 5763161]
[paragraph, [536.0, 305.0, 431.0, 18.0], shoonya_5sLY6KWFLWUI2B, 5763161]
[paragraph, [536.0, 323.0, 431.0, 18.0], shoonya_5sLY6KWFLWUI2B, 5763161]
[paragraph, [536.0, 341.0, 431.0, 18.0], shoonya_5sLY6KWFLWUI2B, 5763161]
[paragraph, [536.0, 359.0, 431.0, 18.0], shoonya_5sLY6KWFLWUI2B, 5763161]
[paragraph, [536.0, 377.0, 431.0, 18.0], shoonya_5sLY6KWFLWUI2B, 5763161]
[paragraph, [536.0, 395.0, 431.0, 18.0], shoonya_5sLY6KWFLWUI2B, 5763161]
[paragraph, [536.0, 413.0, 431.0, 18.0], shoonya_5sLY6KWFLWUI2B, 5763161]
[paragraph, [536.0, 431.0, 431.0, 18.0], shoonya_5sLY6KWFLWUI2B, 5763161]
[paragraph, [536.0, 449.0, 431.0, 18.0], shoonya_5sLY6KWFLWUI2B, 5763161]
[paragraph, [536.0, 467.0, 431.0, 18.0], shoonya_5sLY6KWFLWUI2B, 5763161]
[paragraph, [536.0, 485.0, 431.0, 18.0], shoonya_5sLY6KWFLWUI2B, 5763161]
[paragraph, [536.0, 503.0, 431.0, 18.0], shoonya_5sLY6KWFLWUI2B, 5763161]
[paragraph, [536.0, 521.0, 431.0, 18.0], shoonya_5sLY6KWFLWUI2B, 5763161]
[paragraph, [536.0, 539.0, 431.0, 18.0], shoonya_5sLY6KWFLWUI2B, 5763161]
[paragraph, [536.0, 557.0, 431.0, 18.0], shoonya_5sLY6KWFLWUI2B, 5763161]
[paragraph, [536.0, 575.0, 431.0, 18.0], shoonya_5sLY6KWFLWUI2B, 5763161]
[paragraph, [536.0, 593.0, 431.0, 18.0], shoonya_5sLY6KWFLWUI2B, 5763161]
[paragraph, [536.0, 611.0, 431.0, 18.0], shoonya_5sLY6KWFLWUI2B, 5763161]
[paragraph, [92.0, 408.0, 435.0, 18.0], shoonya_7sEJ234O3GCFPH, 5763161]
[paragraph, [92.0, 426.0, 435.0, 18.0], shoonya_7sEJ234O3GCFPH, 5763161]
[paragraph, [92.0, 444.0, 435.0, 18.0], shoonya_7sEJ234O3GCFPH, 5763161]
[paragraph, [92.0, 462.0, 435.0, 18.0], shoonya_7sEJ234O3GCFPH, 5763161]
[paragraph, [92.0, 480.0, 435.0, 18.0], shoonya_7sEJ234O3GCFPH, 5763161]
[paragraph, [92.0, 498.0, 435.0, 18.0], shoonya_7sEJ234O3GCFPH, 5763161]
[paragraph, [92.0, 516.0, 435.0, 18.0], shoonya_7sEJ234O3GCFPH, 5763161]
[paragraph, [92.0, 534.0, 435.0, 18.0], shoonya_7sEJ234O3GCFPH, 5763161]
[paragraph, [92.0, 552.0, 435.0, 18.0], shoonya_7sEJ234O3GCFPH, 5763161]
[paragraph, [92.0, 595.0, 432.0, 18.0], shoonya_0s5Y1R5K1RSWKG, 5763161]
[paragraph, [92.0, 613.0, 432.0, 18.0], shoonya_0s5Y1R5K1RSWKG, 5763161]
[paragraph, [92.0, 631.0, 432.0, 18.0], shoonya_0s5Y1R5K1RSWKG, 5763161]
[paragraph, [92.0, 649.0, 432.0, 18.0], shoonya_0s5Y1R5K1RSWKG, 5763161]
[paragraph, [92.0, 667.0, 432.0, 18.0], shoonya_0s5Y1R5K1RSWKG, 5763161]
[paragraph, [92.0, 685.0, 432.0, 18.0], shoonya_0s5Y1R5K1RSWKG, 5763161]
[paragraph, [92.0, 703.0, 432.0, 18.0], shoonya_0s5Y1R5K1RSWKG, 5763161]
