[507, 318]
[folio, [237.0, 0.0, 67.0, 18.0], 2ymbkCTyZF, 5651814]
[paragraph, [0.0, 31.0, 298.0, 18.0], shoonya_4sQX2VQPL5WBVC, 5651814]
[paragraph, [0.0, 49.0, 298.0, 18.0], shoonya_4sQX2VQPL5WBVC, 5651814]
[paragraph, [0.0, 67.0, 298.0, 18.0], shoonya_4sQX2VQPL5WBVC, 5651814]
[paragraph, [0.0, 85.0, 298.0, 18.0], shoonya_4sQX2VQPL5WBVC, 5651814]
[paragraph, [0.0, 103.0, 298.0, 18.0], shoonya_4sQX2VQPL5WBVC, 5651814]
[paragraph, [0.0, 121.0, 298.0, 18.0], shoonya_4sQX2VQPL5WBVC, 5651814]
[paragraph, [0.0, 155.0, 317.0, 18.0], shoonya_0s900MNWNWHPGE, 5651814]
[paragraph, [0.0, 173.0, 317.0, 18.0], shoonya_0s900MNWNWHPGE, 5651814]
[paragraph, [0.0, 191.0, 317.0, 18.0], shoonya_0s900MNWNWHPGE, 5651814]
[paragraph, [0.0, 209.0, 317.0, 18.0], shoonya_0s900MNWNWHPGE, 5651814]
[paragraph, [0.0, 227.0, 317.0, 18.0], shoonya_0s900MNWNWHPGE, 5651814]
[paragraph, [0.0, 245.0, 317.0, 18.0], shoonya_0s900MNWNWHPGE, 5651814]
[paragraph, [0.0, 263.0, 317.0, 18.0], shoonya_0s900MNWNWHPGE, 5651814]
[paragraph, [0.0, 281.0, 317.0, 18.0], shoonya_0s900MNWNWHPGE, 5651814]
[paragraph, [0.0, 299.0, 317.0, 18.0], shoonya_0s900MNWNWHPGE, 5651814]
[paragraph, [0.0, 317.0, 317.0, 18.0], shoonya_0s900MNWNWHPGE, 5651814]
[paragraph, [0.0, 335.0, 317.0, 18.0], shoonya_0s900MNWNWHPGE, 5651814]
[paragraph, [0.0, 353.0, 317.0, 18.0], shoonya_0s900MNWNWHPGE, 5651814]
[paragraph, [0.0, 371.0, 317.0, 18.0], shoonya_0s900MNWNWHPGE, 5651814]
[paragraph, [0.0, 389.0, 317.0, 18.0], shoonya_0s900MNWNWHPGE, 5651814]
[paragraph, [6.0, 428.0, 312.0, 18.0], Ju0aj1GUIB, 5651814]
[paragraph, [6.0, 446.0, 312.0, 18.0], Ju0aj1GUIB, 5651814]
