[2339, 1653]
[paragraph, [325.0, 164.0, 1136.0, 36.0], shoonya_0sF0E6J20EV4RU, 5734549]
[paragraph, [325.0, 200.0, 1136.0, 36.0], shoonya_0sF0E6J20EV4RU, 5734549]
[paragraph, [325.0, 236.0, 1136.0, 36.0], shoonya_0sF0E6J20EV4RU, 5734549]
[paragraph, [325.0, 272.0, 1136.0, 36.0], shoonya_0sF0E6J20EV4RU, 5734549]
[paragraph, [325.0, 334.0, 1139.0, 36.0], shoonya_2sI4HM7OWPI6T3, 5734549]
[paragraph, [325.0, 370.0, 1139.0, 36.0], shoonya_2sI4HM7OWPI6T3, 5734549]
[paragraph, [325.0, 406.0, 1139.0, 36.0], shoonya_2sI4HM7OWPI6T3, 5734549]
[paragraph, [325.0, 442.0, 1139.0, 36.0], shoonya_2sI4HM7OWPI6T3, 5734549]
[paragraph, [325.0, 478.0, 1139.0, 36.0], shoonya_2sI4HM7OWPI6T3, 5734549]
[paragraph, [325.0, 514.0, 1139.0, 36.0], shoonya_2sI4HM7OWPI6T3, 5734549]
[paragraph, [325.0, 550.0, 1139.0, 36.0], shoonya_2sI4HM7OWPI6T3, 5734549]
[paragraph, [327.0, 607.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 643.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 679.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 715.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 751.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 787.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 823.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 859.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 895.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 931.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 967.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 1003.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 1039.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 1075.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 1111.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 1147.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 1183.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 1219.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 1255.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 1291.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 1327.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 1363.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 1399.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 1435.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 1471.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 1507.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 1543.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 1579.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 1615.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 1651.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 1687.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 1723.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 1759.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 1795.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 1831.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [327.0, 1867.0, 1132.0, 36.0], shoonya_1sWKJY4MFHW4NX, 5734549]
[paragraph, [325.0, 1946.0, 1133.0, 36.0], shoonya_3sSA4REDA20H06, 5734549]
[paragraph, [325.0, 1982.0, 1133.0, 36.0], shoonya_3sSA4REDA20H06, 5734549]
[paragraph, [325.0, 2018.0, 1133.0, 36.0], shoonya_3sSA4REDA20H06, 5734549]
[paragraph, [325.0, 2054.0, 1133.0, 36.0], shoonya_3sSA4REDA20H06, 5734549]
[folio, [1108.0, 2158.0, 285.0, 36.0], -G_ZFdaj_S, 5734549]
