[3509, 2480]
[paragraph, [359.0, 402.0, 1763.0, 52.5], 3pyCsWfNGP, 5724403]
[paragraph, [359.0, 454.5, 1763.0, 52.5], 3pyCsWfNGP, 5724403]
[paragraph, [359.0, 507.0, 1763.0, 52.5], 3pyCsWfNGP, 5724403]
[paragraph, [359.0, 559.5, 1763.0, 52.5], 3pyCsWfNGP, 5724403]
[paragraph, [359.0, 612.0, 1763.0, 52.5], 3pyCsWfNGP, 5724403]
[paragraph, [359.0, 664.5, 1763.0, 52.5], 3pyCsWfNGP, 5724403]
[paragraph, [359.0, 717.0, 1763.0, 52.5], 3pyCsWfNGP, 5724403]
[paragraph, [359.0, 769.5, 1763.0, 52.5], 3pyCsWfNGP, 5724403]
[paragraph, [359.0, 822.0, 1763.0, 52.5], 3pyCsWfNGP, 5724403]
[paragraph, [359.0, 874.5, 1763.0, 52.5], 3pyCsWfNGP, 5724403]
[paragraph, [359.0, 927.0, 1763.0, 52.5], 3pyCsWfNGP, 5724403]
[paragraph, [359.0, 979.5, 1763.0, 52.5], 3pyCsWfNGP, 5724403]
[paragraph, [359.0, 1032.0, 1763.0, 52.5], 3pyCsWfNGP, 5724403]
[paragraph, [359.0, 1084.5, 1763.0, 52.5], 3pyCsWfNGP, 5724403]
[paragraph, [353.0, 1518.0, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[paragraph, [353.0, 1570.5, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[paragraph, [353.0, 1623.0, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[paragraph, [353.0, 1675.5, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[paragraph, [353.0, 1728.0, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[paragraph, [353.0, 1780.5, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[paragraph, [353.0, 1833.0, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[paragraph, [353.0, 1885.5, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[paragraph, [353.0, 1938.0, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[paragraph, [353.0, 1990.5, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[paragraph, [353.0, 2043.0, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[paragraph, [353.0, 2095.5, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[paragraph, [353.0, 2148.0, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[paragraph, [353.0, 2200.5, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[paragraph, [353.0, 2253.0, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[paragraph, [353.0, 2305.5, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[paragraph, [353.0, 2358.0, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[paragraph, [353.0, 2410.5, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[paragraph, [353.0, 2463.0, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[paragraph, [353.0, 2515.5, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[paragraph, [353.0, 2568.0, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[paragraph, [353.0, 2620.5, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[paragraph, [353.0, 2673.0, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[paragraph, [353.0, 2725.5, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[paragraph, [353.0, 2778.0, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[paragraph, [353.0, 2830.5, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[paragraph, [353.0, 2883.0, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[paragraph, [353.0, 2935.5, 1815.0, 52.5], shoonya_0sONWH5ENL684E, 5724403]
[footnote, [350.0, 3053.0, 1667.0, 52.5], qn5YskabH4, 5724403]
