[2520, 1740]
[figure-caption, [497.0, 136.0, 149.0, 46.5], i650C2Ncxn, 5693764]
[figure-caption, [497.0, 182.5, 149.0, 46.5], i650C2Ncxn, 5693764]
[section-title, [32.0, 156.0, 428.0, 79.5], shoonya_0sUVVVRW6CVXN5, 5693764]
[paragraph, [30.0, 388.0, 458.0, 46.5], X5yVEHUKA1, 5693764]
[paragraph, [30.0, 434.5, 458.0, 46.5], X5yVEHUKA1, 5693764]
[paragraph, [28.0, 536.0, 523.0, 46.5], B2sBwtwXpW, 5693764]
[paragraph, [28.0, 582.5, 523.0, 46.5], B2sBwtwXpW, 5693764]
[paragraph, [28.0, 629.0, 523.0, 46.5], B2sBwtwXpW, 5693764]
[paragraph, [28.0, 675.5, 523.0, 46.5], B2sBwtwXpW, 5693764]
[paragraph, [28.0, 722.0, 523.0, 46.5], B2sBwtwXpW, 5693764]
[paragraph, [28.0, 768.5, 523.0, 46.5], B2sBwtwXpW, 5693764]
[paragraph, [28.0, 815.0, 523.0, 46.5], B2sBwtwXpW, 5693764]
[paragraph, [28.0, 861.5, 523.0, 46.5], B2sBwtwXpW, 5693764]
[paragraph, [28.0, 908.0, 523.0, 46.5], B2sBwtwXpW, 5693764]
[paragraph, [28.0, 954.5, 523.0, 46.5], B2sBwtwXpW, 5693764]
[paragraph, [28.0, 1001.0, 523.0, 46.5], B2sBwtwXpW, 5693764]
[paragraph, [28.0, 1047.5, 523.0, 46.5], B2sBwtwXpW, 5693764]
[paragraph, [28.0, 1094.0, 523.0, 46.5], B2sBwtwXpW, 5693764]
[paragraph, [28.0, 1140.5, 523.0, 46.5], B2sBwtwXpW, 5693764]
[paragraph, [28.0, 1187.0, 523.0, 46.5], B2sBwtwXpW, 5693764]
[paragraph, [1142.0, 872.0, 527.0, 46.5], -rx4mCOOFw, 5693764]
[paragraph, [1142.0, 918.5, 527.0, 46.5], -rx4mCOOFw, 5693764]
[paragraph, [1142.0, 965.0, 527.0, 46.5], -rx4mCOOFw, 5693764]
[paragraph, [1142.0, 1011.5, 527.0, 46.5], -rx4mCOOFw, 5693764]
[paragraph, [1142.0, 1058.0, 527.0, 46.5], -rx4mCOOFw, 5693764]
[paragraph, [1142.0, 1104.5, 527.0, 46.5], -rx4mCOOFw, 5693764]
[paragraph, [1142.0, 1151.0, 527.0, 46.5], -rx4mCOOFw, 5693764]
[paragraph, [1142.0, 1197.5, 527.0, 46.5], -rx4mCOOFw, 5693764]
[paragraph, [586.0, 879.0, 525.0, 46.5], sPtR5EAXT_, 5693764]
[paragraph, [586.0, 925.5, 525.0, 46.5], sPtR5EAXT_, 5693764]
[paragraph, [586.0, 972.0, 525.0, 46.5], sPtR5EAXT_, 5693764]
[paragraph, [586.0, 1018.5, 525.0, 46.5], sPtR5EAXT_, 5693764]
[paragraph, [586.0, 1065.0, 525.0, 46.5], sPtR5EAXT_, 5693764]
[paragraph, [586.0, 1111.5, 525.0, 46.5], sPtR5EAXT_, 5693764]
[paragraph, [586.0, 1158.0, 525.0, 46.5], sPtR5EAXT_, 5693764]
[paragraph, [586.0, 1204.5, 525.0, 46.5], sPtR5EAXT_, 5693764]
[paragraph, [575.0, 1345.0, 495.0, 46.5], UuyQUACF46, 5693764]
[paragraph, [575.0, 1391.5, 495.0, 46.5], UuyQUACF46, 5693764]
[paragraph, [575.0, 1438.0, 495.0, 46.5], UuyQUACF46, 5693764]
[paragraph, [575.0, 1484.5, 495.0, 46.5], UuyQUACF46, 5693764]
[paragraph, [575.0, 1531.0, 495.0, 46.5], UuyQUACF46, 5693764]
[section-title, [39.0, 1347.0, 408.0, 79.5], FupBDoInhu, 5693764]
[paragraph, [1101.0, 1347.0, 508.0, 46.5], Lw4FhNQ0wD, 5693764]
[paragraph, [1101.0, 1393.5, 508.0, 46.5], Lw4FhNQ0wD, 5693764]
[paragraph, [1101.0, 1440.0, 508.0, 46.5], Lw4FhNQ0wD, 5693764]
[paragraph, [1101.0, 1486.5, 508.0, 46.5], Lw4FhNQ0wD, 5693764]
[paragraph, [1101.0, 1533.0, 508.0, 46.5], Lw4FhNQ0wD, 5693764]
[figure-caption, [421.0, 1450.5, 134.0, 46.5], opc5g9Uv56, 5693764]
[paragraph, [34.0, 1610.0, 530.0, 46.5], h7NGfLVAbt, 5693764]
[paragraph, [34.0, 1656.5, 530.0, 46.5], h7NGfLVAbt, 5693764]
[paragraph, [34.0, 1703.0, 530.0, 46.5], h7NGfLVAbt, 5693764]
[paragraph, [34.0, 1749.5, 530.0, 46.5], h7NGfLVAbt, 5693764]
[paragraph, [34.0, 1796.0, 530.0, 46.5], h7NGfLVAbt, 5693764]
[paragraph, [34.0, 1842.5, 530.0, 46.5], h7NGfLVAbt, 5693764]
[paragraph, [34.0, 1889.0, 530.0, 46.5], h7NGfLVAbt, 5693764]
[paragraph, [34.0, 1935.5, 530.0, 46.5], h7NGfLVAbt, 5693764]
[paragraph, [34.0, 1982.0, 530.0, 46.5], h7NGfLVAbt, 5693764]
[paragraph, [34.0, 2028.5, 530.0, 46.5], h7NGfLVAbt, 5693764]
[paragraph, [34.0, 2075.0, 530.0, 46.5], h7NGfLVAbt, 5693764]
[paragraph, [34.0, 2121.5, 530.0, 46.5], h7NGfLVAbt, 5693764]
[paragraph, [34.0, 2168.0, 530.0, 46.5], h7NGfLVAbt, 5693764]
[paragraph, [34.0, 2214.5, 530.0, 46.5], h7NGfLVAbt, 5693764]
[paragraph, [34.0, 2261.0, 530.0, 46.5], h7NGfLVAbt, 5693764]
