[2303, 1752]
[paragraph, [383.0, 196.0, 1181.0, 36.0], shoonya_3sYWBEQOBFYJFD, 5734258]
[paragraph, [383.0, 232.0, 1181.0, 36.0], shoonya_3sYWBEQOBFYJFD, 5734258]
[paragraph, [383.0, 268.0, 1181.0, 36.0], shoonya_3sYWBEQOBFYJFD, 5734258]
[paragraph, [383.0, 304.0, 1181.0, 36.0], shoonya_3sYWBEQOBFYJFD, 5734258]
[paragraph, [383.0, 340.0, 1181.0, 36.0], shoonya_3sYWBEQOBFYJFD, 5734258]
[paragraph, [383.0, 376.0, 1181.0, 36.0], shoonya_3sYWBEQOBFYJFD, 5734258]
[paragraph, [383.0, 412.0, 1181.0, 36.0], shoonya_3sYWBEQOBFYJFD, 5734258]
[paragraph, [383.0, 448.0, 1181.0, 36.0], shoonya_3sYWBEQOBFYJFD, 5734258]
[paragraph, [381.0, 629.0, 1183.0, 36.0], shoonya_2sXJSQT1YONX20, 5734258]
[paragraph, [381.0, 665.0, 1183.0, 36.0], shoonya_2sXJSQT1YONX20, 5734258]
[paragraph, [381.0, 701.0, 1183.0, 36.0], shoonya_2sXJSQT1YONX20, 5734258]
[paragraph, [381.0, 737.0, 1183.0, 36.0], shoonya_2sXJSQT1YONX20, 5734258]
[paragraph, [381.0, 773.0, 1183.0, 36.0], shoonya_2sXJSQT1YONX20, 5734258]
[paragraph, [381.0, 809.0, 1183.0, 36.0], shoonya_2sXJSQT1YONX20, 5734258]
[paragraph, [381.0, 845.0, 1183.0, 36.0], shoonya_2sXJSQT1YONX20, 5734258]
[paragraph, [381.0, 881.0, 1183.0, 36.0], shoonya_2sXJSQT1YONX20, 5734258]
[paragraph, [354.0, 949.0, 1133.0, 36.0], UAaSkYSnyn, 5734258]
[paragraph, [354.0, 985.0, 1133.0, 36.0], UAaSkYSnyn, 5734258]
[sub-section-title, [371.0, 1058.0, 323.0, 55.5], zbPnTm3ma4, 5734258]
[paragraph, [373.0, 1157.0, 1182.0, 36.0], shoonya_0sKA9YGDUHSOOQ, 5734258]
[paragraph, [373.0, 1193.0, 1182.0, 36.0], shoonya_0sKA9YGDUHSOOQ, 5734258]
[paragraph, [373.0, 1229.0, 1182.0, 36.0], shoonya_0sKA9YGDUHSOOQ, 5734258]
[paragraph, [373.0, 1265.0, 1182.0, 36.0], shoonya_0sKA9YGDUHSOOQ, 5734258]
[paragraph, [373.0, 1301.0, 1182.0, 36.0], shoonya_0sKA9YGDUHSOOQ, 5734258]
[paragraph, [373.0, 1337.0, 1182.0, 36.0], shoonya_0sKA9YGDUHSOOQ, 5734258]
[paragraph, [373.0, 1373.0, 1182.0, 36.0], shoonya_0sKA9YGDUHSOOQ, 5734258]
[paragraph, [373.0, 1409.0, 1182.0, 36.0], shoonya_0sKA9YGDUHSOOQ, 5734258]
[paragraph, [373.0, 1445.0, 1182.0, 36.0], shoonya_0sKA9YGDUHSOOQ, 5734258]
[paragraph, [373.0, 1481.0, 1182.0, 36.0], shoonya_0sKA9YGDUHSOOQ, 5734258]
[paragraph, [373.0, 1517.0, 1182.0, 36.0], shoonya_0sKA9YGDUHSOOQ, 5734258]
[paragraph, [373.0, 1553.0, 1182.0, 36.0], shoonya_0sKA9YGDUHSOOQ, 5734258]
[paragraph, [373.0, 1589.0, 1182.0, 36.0], shoonya_0sKA9YGDUHSOOQ, 5734258]
[paragraph, [373.0, 1625.0, 1182.0, 36.0], shoonya_0sKA9YGDUHSOOQ, 5734258]
[paragraph, [373.0, 1661.0, 1182.0, 36.0], shoonya_0sKA9YGDUHSOOQ, 5734258]
[paragraph, [373.0, 1697.0, 1182.0, 36.0], shoonya_0sKA9YGDUHSOOQ, 5734258]
[paragraph, [373.0, 1733.0, 1182.0, 36.0], shoonya_0sKA9YGDUHSOOQ, 5734258]
[paragraph, [373.0, 1769.0, 1182.0, 36.0], shoonya_0sKA9YGDUHSOOQ, 5734258]
[paragraph, [373.0, 1805.0, 1182.0, 36.0], shoonya_0sKA9YGDUHSOOQ, 5734258]
[paragraph, [373.0, 1841.0, 1182.0, 36.0], shoonya_0sKA9YGDUHSOOQ, 5734258]
[paragraph, [347.0, 1924.0, 1227.0, 36.0], YMgsDlpJqJ, 5734258]
