[702, 495]
[contact-info, [336.0, 155.0, 100.0, 18.0], YBXIRTDXsP, 6533635]
[paragraph, [73.0, 290.0, 361.0, 18.0], uuoURQ7bic, 6533635]
[paragraph, [73.0, 308.0, 361.0, 18.0], uuoURQ7bic, 6533635]
[paragraph, [73.0, 326.0, 361.0, 18.0], uuoURQ7bic, 6533635]
[paragraph, [73.0, 344.0, 361.0, 18.0], uuoURQ7bic, 6533635]
[paragraph, [73.0, 362.0, 361.0, 18.0], uuoURQ7bic, 6533635]
[paragraph, [73.0, 380.0, 361.0, 18.0], uuoURQ7bic, 6533635]
[paragraph, [73.0, 398.0, 361.0, 18.0], uuoURQ7bic, 6533635]
[paragraph, [73.0, 416.0, 361.0, 18.0], uuoURQ7bic, 6533635]
[paragraph, [73.0, 434.0, 361.0, 18.0], uuoURQ7bic, 6533635]
[paragraph, [73.0, 452.0, 361.0, 18.0], uuoURQ7bic, 6533635]
[author, [324.0, 515.0, 78.0, 18.0], R65nLB16_5, 6533635]
