[1787, 1218]
[paragraph, [104.0, 111.0, 979.0, 36.0], shoonya_1sYPMKA2YPMKK7, 5651035]
[paragraph, [104.0, 147.0, 979.0, 36.0], shoonya_1sYPMKA2YPMKK7, 5651035]
[paragraph, [109.0, 190.0, 980.0, 36.0], J2fTN8sdaj, 5651035]
[paragraph, [109.0, 226.0, 980.0, 36.0], J2fTN8sdaj, 5651035]
[paragraph, [109.0, 262.0, 980.0, 36.0], J2fTN8sdaj, 5651035]
[paragraph, [109.0, 298.0, 980.0, 36.0], J2fTN8sdaj, 5651035]
[paragraph, [109.0, 334.0, 980.0, 36.0], J2fTN8sdaj, 5651035]
[paragraph, [299.0, 397.0, 478.0, 36.0], XXju_2RIOI, 5651035]
[paragraph, [299.0, 433.0, 478.0, 36.0], XXju_2RIOI, 5651035]
[paragraph, [299.0, 469.0, 478.0, 36.0], XXju_2RIOI, 5651035]
[paragraph, [299.0, 505.0, 478.0, 36.0], XXju_2RIOI, 5651035]
[paragraph, [299.0, 541.0, 478.0, 36.0], XXju_2RIOI, 5651035]
[paragraph, [299.0, 577.0, 478.0, 36.0], XXju_2RIOI, 5651035]
[paragraph, [299.0, 613.0, 478.0, 36.0], XXju_2RIOI, 5651035]
[paragraph, [299.0, 649.0, 478.0, 36.0], XXju_2RIOI, 5651035]
[paragraph, [299.0, 685.0, 478.0, 36.0], XXju_2RIOI, 5651035]
[paragraph, [113.0, 759.0, 984.0, 36.0], shoonya_0sIR8XR5157HVI, 5651035]
[paragraph, [113.0, 795.0, 984.0, 36.0], shoonya_0sIR8XR5157HVI, 5651035]
[paragraph, [113.0, 831.0, 984.0, 36.0], shoonya_0sIR8XR5157HVI, 5651035]
[paragraph, [106.0, 879.0, 1000.0, 36.0], 1bhxrMbo1D, 5651035]
[paragraph, [106.0, 915.0, 1000.0, 36.0], 1bhxrMbo1D, 5651035]
[paragraph, [106.0, 951.0, 1000.0, 36.0], 1bhxrMbo1D, 5651035]
[paragraph, [106.0, 987.0, 1000.0, 36.0], 1bhxrMbo1D, 5651035]
[paragraph, [106.0, 1023.0, 1000.0, 36.0], 1bhxrMbo1D, 5651035]
[paragraph, [304.0, 1080.0, 557.0, 36.0], fxf89TOVkb, 5651035]
[paragraph, [304.0, 1116.0, 557.0, 36.0], fxf89TOVkb, 5651035]
[paragraph, [304.0, 1152.0, 557.0, 36.0], fxf89TOVkb, 5651035]
[paragraph, [304.0, 1188.0, 557.0, 36.0], fxf89TOVkb, 5651035]
[paragraph, [304.0, 1224.0, 557.0, 36.0], fxf89TOVkb, 5651035]
[paragraph, [304.0, 1260.0, 557.0, 36.0], fxf89TOVkb, 5651035]
[paragraph, [304.0, 1296.0, 557.0, 36.0], fxf89TOVkb, 5651035]
[paragraph, [304.0, 1332.0, 557.0, 36.0], fxf89TOVkb, 5651035]
[paragraph, [121.0, 1402.0, 996.0, 36.0], shoonya_2sJSX9HHNHUIWX, 5651035]
[paragraph, [121.0, 1438.0, 996.0, 36.0], shoonya_2sJSX9HHNHUIWX, 5651035]
[paragraph, [121.0, 1474.0, 996.0, 36.0], shoonya_2sJSX9HHNHUIWX, 5651035]
[paragraph, [121.0, 1510.0, 996.0, 36.0], shoonya_2sJSX9HHNHUIWX, 5651035]
[paragraph, [121.0, 1546.0, 996.0, 36.0], shoonya_2sJSX9HHNHUIWX, 5651035]
[paragraph, [121.0, 1582.0, 996.0, 36.0], shoonya_2sJSX9HHNHUIWX, 5651035]
