[1755, 1240]
[folio, [641.0, 77.0, 478.0, 36.0], FxzcPR8NX6, 5743853]
[paragraph, [195.0, 209.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [195.0, 245.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [195.0, 281.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [195.0, 317.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [195.0, 353.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [195.0, 389.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [195.0, 425.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [195.0, 461.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [195.0, 497.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [195.0, 533.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [195.0, 569.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [195.0, 605.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [195.0, 641.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [195.0, 677.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [195.0, 713.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [195.0, 749.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [195.0, 785.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [195.0, 821.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [195.0, 857.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [195.0, 893.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [195.0, 929.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [195.0, 965.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [195.0, 1001.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [195.0, 1037.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [195.0, 1073.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [195.0, 1109.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [195.0, 1145.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [195.0, 1181.0, 933.0, 36.0], shoonya_2sLBW8BATL9DU2, 5743853]
[paragraph, [198.0, 1246.0, 933.0, 36.0], shoonya_0sSMMRR6CV4AZX, 5743853]
[paragraph, [198.0, 1282.0, 933.0, 36.0], shoonya_0sSMMRR6CV4AZX, 5743853]
[paragraph, [198.0, 1318.0, 933.0, 36.0], shoonya_0sSMMRR6CV4AZX, 5743853]
[paragraph, [198.0, 1354.0, 933.0, 36.0], shoonya_0sSMMRR6CV4AZX, 5743853]
[paragraph, [198.0, 1390.0, 933.0, 36.0], shoonya_0sSMMRR6CV4AZX, 5743853]
[paragraph, [198.0, 1426.0, 933.0, 36.0], shoonya_0sSMMRR6CV4AZX, 5743853]
[paragraph, [198.0, 1462.0, 933.0, 36.0], shoonya_0sSMMRR6CV4AZX, 5743853]
[paragraph, [198.0, 1498.0, 933.0, 36.0], shoonya_0sSMMRR6CV4AZX, 5743853]
[paragraph, [198.0, 1534.0, 933.0, 36.0], shoonya_0sSMMRR6CV4AZX, 5743853]
