[1238, 765]
[folio, [324.0, 77.0, 135.0, 18.0], h9z-O3MDqF, 5770360]
[folio, [324.0, 95.0, 135.0, 18.0], h9z-O3MDqF, 5770360]
[paragraph, [190.0, 135.0, 337.0, 18.0], CCAF6DJRfd, 5770360]
[paragraph, [190.0, 153.0, 337.0, 18.0], CCAF6DJRfd, 5770360]
[paragraph, [190.0, 171.0, 337.0, 18.0], CCAF6DJRfd, 5770360]
[paragraph, [190.0, 189.0, 337.0, 18.0], CCAF6DJRfd, 5770360]
[paragraph, [190.0, 207.0, 337.0, 18.0], CCAF6DJRfd, 5770360]
[paragraph, [190.0, 225.0, 337.0, 18.0], CCAF6DJRfd, 5770360]
[paragraph, [188.0, 266.0, 342.0, 18.0], DVgMotGfHZ, 5770360]
[paragraph, [188.0, 284.0, 342.0, 18.0], DVgMotGfHZ, 5770360]
[paragraph, [188.0, 302.0, 342.0, 18.0], DVgMotGfHZ, 5770360]
[paragraph, [188.0, 320.0, 342.0, 18.0], DVgMotGfHZ, 5770360]
[paragraph, [188.0, 338.0, 342.0, 18.0], DVgMotGfHZ, 5770360]
[paragraph, [188.0, 356.0, 342.0, 18.0], DVgMotGfHZ, 5770360]
[paragraph, [188.0, 374.0, 342.0, 18.0], DVgMotGfHZ, 5770360]
[paragraph, [188.0, 394.0, 317.0, 18.0], ZwnsmbVxq4, 5770360]
[paragraph, [188.0, 412.0, 317.0, 18.0], ZwnsmbVxq4, 5770360]
[paragraph, [188.0, 430.0, 317.0, 18.0], ZwnsmbVxq4, 5770360]
[paragraph, [188.0, 448.0, 317.0, 18.0], ZwnsmbVxq4, 5770360]
[paragraph, [188.0, 466.0, 317.0, 18.0], ZwnsmbVxq4, 5770360]
[paragraph, [188.0, 484.0, 317.0, 18.0], ZwnsmbVxq4, 5770360]
[paragraph, [188.0, 502.0, 317.0, 18.0], ZwnsmbVxq4, 5770360]
[paragraph, [188.0, 525.0, 286.0, 18.0], _OwoJmgZr2, 5770360]
[paragraph, [188.0, 543.0, 286.0, 18.0], _OwoJmgZr2, 5770360]
[paragraph, [188.0, 561.0, 286.0, 18.0], _OwoJmgZr2, 5770360]
[paragraph, [188.0, 579.0, 286.0, 18.0], _OwoJmgZr2, 5770360]
[paragraph, [188.0, 597.0, 286.0, 18.0], _OwoJmgZr2, 5770360]
[paragraph, [188.0, 615.0, 286.0, 18.0], _OwoJmgZr2, 5770360]
[paragraph, [188.0, 633.0, 286.0, 18.0], _OwoJmgZr2, 5770360]
[paragraph, [188.0, 652.0, 333.0, 18.0], plJnDJpzkq, 5770360]
[paragraph, [188.0, 670.0, 333.0, 18.0], plJnDJpzkq, 5770360]
[paragraph, [188.0, 688.0, 333.0, 18.0], plJnDJpzkq, 5770360]
[paragraph, [188.0, 706.0, 333.0, 18.0], plJnDJpzkq, 5770360]
[paragraph, [188.0, 724.0, 333.0, 18.0], plJnDJpzkq, 5770360]
[paragraph, [188.0, 742.0, 333.0, 18.0], plJnDJpzkq, 5770360]
[paragraph, [188.0, 760.0, 333.0, 18.0], plJnDJpzkq, 5770360]
[paragraph, [188.0, 784.0, 335.0, 18.0], 41Mn42rO3M, 5770360]
[paragraph, [188.0, 802.0, 335.0, 18.0], 41Mn42rO3M, 5770360]
[paragraph, [188.0, 820.0, 335.0, 18.0], 41Mn42rO3M, 5770360]
[paragraph, [188.0, 838.0, 335.0, 18.0], 41Mn42rO3M, 5770360]
[paragraph, [188.0, 856.0, 335.0, 18.0], 41Mn42rO3M, 5770360]
[paragraph, [188.0, 874.0, 335.0, 18.0], 41Mn42rO3M, 5770360]
[paragraph, [188.0, 892.0, 335.0, 18.0], 41Mn42rO3M, 5770360]
[paragraph, [185.0, 910.0, 364.0, 18.0], FXCQWK_UcY, 5770360]
[paragraph, [185.0, 928.0, 364.0, 18.0], FXCQWK_UcY, 5770360]
[paragraph, [185.0, 946.0, 364.0, 18.0], FXCQWK_UcY, 5770360]
[paragraph, [185.0, 964.0, 364.0, 18.0], FXCQWK_UcY, 5770360]
[paragraph, [185.0, 982.0, 364.0, 18.0], FXCQWK_UcY, 5770360]
[paragraph, [185.0, 1000.0, 364.0, 18.0], FXCQWK_UcY, 5770360]
[paragraph, [185.0, 1018.0, 364.0, 18.0], FXCQWK_UcY, 5770360]
[paragraph, [185.0, 1037.0, 334.0, 18.0], Db6_PsY1uO, 5770360]
[paragraph, [185.0, 1055.0, 334.0, 18.0], Db6_PsY1uO, 5770360]
[paragraph, [185.0, 1073.0, 334.0, 18.0], Db6_PsY1uO, 5770360]
[paragraph, [185.0, 1091.0, 334.0, 18.0], Db6_PsY1uO, 5770360]
[paragraph, [185.0, 1109.0, 334.0, 18.0], Db6_PsY1uO, 5770360]
[paragraph, [185.0, 1127.0, 334.0, 18.0], Db6_PsY1uO, 5770360]
[paragraph, [185.0, 1145.0, 334.0, 18.0], Db6_PsY1uO, 5770360]
