[1275, 750]
[folio, [257.0, 67.0, 222.0, 18.0], Djt8i6m7G6, 5767054]
[folio, [257.0, 85.0, 222.0, 18.0], Djt8i6m7G6, 5767054]
[folio, [257.0, 103.0, 222.0, 18.0], Djt8i6m7G6, 5767054]
[paragraph, [57.0, 136.0, 626.0, 18.0], shoonya_2sY7WW9SIHSALI, 5767054]
[paragraph, [57.0, 154.0, 626.0, 18.0], shoonya_2sY7WW9SIHSALI, 5767054]
[paragraph, [57.0, 172.0, 626.0, 18.0], shoonya_2sY7WW9SIHSALI, 5767054]
[paragraph, [57.0, 190.0, 626.0, 18.0], shoonya_2sY7WW9SIHSALI, 5767054]
[paragraph, [57.0, 208.0, 626.0, 18.0], shoonya_2sY7WW9SIHSALI, 5767054]
[paragraph, [57.0, 226.0, 626.0, 18.0], shoonya_2sY7WW9SIHSALI, 5767054]
[paragraph, [57.0, 244.0, 626.0, 18.0], shoonya_2sY7WW9SIHSALI, 5767054]
[paragraph, [57.0, 262.0, 626.0, 18.0], shoonya_2sY7WW9SIHSALI, 5767054]
[paragraph, [57.0, 280.0, 626.0, 18.0], shoonya_2sY7WW9SIHSALI, 5767054]
[paragraph, [57.0, 298.0, 626.0, 18.0], shoonya_2sY7WW9SIHSALI, 5767054]
[paragraph, [57.0, 316.0, 626.0, 18.0], shoonya_2sY7WW9SIHSALI, 5767054]
[paragraph, [57.0, 334.0, 626.0, 18.0], shoonya_2sY7WW9SIHSALI, 5767054]
[paragraph, [57.0, 352.0, 626.0, 18.0], shoonya_2sY7WW9SIHSALI, 5767054]
[paragraph, [57.0, 370.0, 626.0, 18.0], shoonya_2sY7WW9SIHSALI, 5767054]
[paragraph, [57.0, 388.0, 626.0, 18.0], shoonya_2sY7WW9SIHSALI, 5767054]
[paragraph, [57.0, 406.0, 626.0, 18.0], shoonya_2sY7WW9SIHSALI, 5767054]
[paragraph, [57.0, 424.0, 626.0, 18.0], shoonya_2sY7WW9SIHSALI, 5767054]
[ordered-list, [55.0, 445.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 463.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 481.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 499.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 517.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 535.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 553.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 571.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 589.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 607.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 625.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 643.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 661.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 679.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 697.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 715.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 733.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 751.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 769.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 787.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 805.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 823.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 841.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 859.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 877.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 895.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 913.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 931.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 949.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 967.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 985.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 1003.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 1021.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 1039.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 1057.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 1075.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 1093.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 1111.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 1129.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 1147.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 1165.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
[ordered-list, [55.0, 1183.0, 630.0, 18.0], shoonya_0sMU2ILA6LC9ZB, 5767054]
