[2717, 1772]
[folio, [664.0, 228.0, 469.0, 46.5], shoonya_0sGMEDZ0FFJXFS, 5721279]
[paragraph, [208.0, 338.0, 1368.0, 46.5], alnxWWGOs9, 5721279]
[paragraph, [208.0, 384.5, 1368.0, 46.5], alnxWWGOs9, 5721279]
[paragraph, [208.0, 431.0, 1368.0, 46.5], alnxWWGOs9, 5721279]
[paragraph, [208.0, 477.5, 1368.0, 46.5], alnxWWGOs9, 5721279]
[paragraph, [208.0, 524.0, 1368.0, 46.5], alnxWWGOs9, 5721279]
[paragraph, [208.0, 570.5, 1368.0, 46.5], alnxWWGOs9, 5721279]
[paragraph, [208.0, 617.0, 1368.0, 46.5], alnxWWGOs9, 5721279]
[paragraph, [208.0, 663.5, 1368.0, 46.5], alnxWWGOs9, 5721279]
[paragraph, [208.0, 710.0, 1368.0, 46.5], alnxWWGOs9, 5721279]
[paragraph, [208.0, 756.5, 1368.0, 46.5], alnxWWGOs9, 5721279]
[paragraph, [208.0, 803.0, 1368.0, 46.5], alnxWWGOs9, 5721279]
[paragraph, [208.0, 849.5, 1368.0, 46.5], alnxWWGOs9, 5721279]
[paragraph, [208.0, 896.0, 1368.0, 46.5], alnxWWGOs9, 5721279]
[paragraph, [208.0, 942.5, 1368.0, 46.5], alnxWWGOs9, 5721279]
[paragraph, [208.0, 989.0, 1368.0, 46.5], alnxWWGOs9, 5721279]
[paragraph, [208.0, 1035.5, 1368.0, 46.5], alnxWWGOs9, 5721279]
[paragraph, [208.0, 1082.0, 1368.0, 46.5], alnxWWGOs9, 5721279]
[paragraph, [208.0, 1128.5, 1368.0, 46.5], alnxWWGOs9, 5721279]
[paragraph, [199.0, 1217.0, 1375.0, 46.5], ESmofq0T7W, 5721279]
[paragraph, [199.0, 1263.5, 1375.0, 46.5], ESmofq0T7W, 5721279]
[paragraph, [199.0, 1310.0, 1375.0, 46.5], ESmofq0T7W, 5721279]
[paragraph, [199.0, 1356.5, 1375.0, 46.5], ESmofq0T7W, 5721279]
[paragraph, [199.0, 1403.0, 1375.0, 46.5], ESmofq0T7W, 5721279]
[paragraph, [199.0, 1449.5, 1375.0, 46.5], ESmofq0T7W, 5721279]
[paragraph, [199.0, 1496.0, 1375.0, 46.5], ESmofq0T7W, 5721279]
[paragraph, [199.0, 1542.5, 1375.0, 46.5], ESmofq0T7W, 5721279]
[paragraph, [199.0, 1589.0, 1375.0, 46.5], ESmofq0T7W, 5721279]
[paragraph, [199.0, 1635.5, 1375.0, 46.5], ESmofq0T7W, 5721279]
[paragraph, [199.0, 1682.0, 1375.0, 46.5], ESmofq0T7W, 5721279]
[paragraph, [199.0, 1728.5, 1375.0, 46.5], ESmofq0T7W, 5721279]
[paragraph, [199.0, 1775.0, 1375.0, 46.5], ESmofq0T7W, 5721279]
[paragraph, [199.0, 1821.5, 1375.0, 46.5], ESmofq0T7W, 5721279]
[paragraph, [199.0, 1868.0, 1375.0, 46.5], ESmofq0T7W, 5721279]
[paragraph, [199.0, 1914.5, 1375.0, 46.5], ESmofq0T7W, 5721279]
[paragraph, [199.0, 1961.0, 1375.0, 46.5], ESmofq0T7W, 5721279]
[paragraph, [199.0, 2007.5, 1375.0, 46.5], ESmofq0T7W, 5721279]
[paragraph, [199.0, 2054.0, 1375.0, 46.5], ESmofq0T7W, 5721279]
[paragraph, [199.0, 2100.5, 1375.0, 46.5], ESmofq0T7W, 5721279]
[paragraph, [199.0, 2147.0, 1375.0, 46.5], ESmofq0T7W, 5721279]
[paragraph, [199.0, 2193.5, 1375.0, 46.5], ESmofq0T7W, 5721279]
[paragraph, [199.0, 2240.0, 1375.0, 46.5], ESmofq0T7W, 5721279]
[paragraph, [199.0, 2286.5, 1375.0, 46.5], ESmofq0T7W, 5721279]
[paragraph, [199.0, 2333.0, 1375.0, 46.5], ESmofq0T7W, 5721279]
[paragraph, [199.0, 2379.5, 1375.0, 46.5], ESmofq0T7W, 5721279]
[paragraph, [199.0, 2426.0, 1375.0, 46.5], ESmofq0T7W, 5721279]
[paragraph, [199.0, 2472.5, 1375.0, 46.5], ESmofq0T7W, 5721279]
