[1162, 749]
[folio, [303.0, 73.0, 133.0, 18.0], shoonya_4sU2JYL8HN1RM9, 5700245]
[paragraph, [75.0, 116.0, 597.0, 18.0], shoonya_2s0WT2VLFDR8D3, 5700245]
[paragraph, [75.0, 134.0, 597.0, 18.0], shoonya_2s0WT2VLFDR8D3, 5700245]
[paragraph, [75.0, 152.0, 597.0, 18.0], shoonya_2s0WT2VLFDR8D3, 5700245]
[paragraph, [75.0, 170.0, 597.0, 18.0], shoonya_2s0WT2VLFDR8D3, 5700245]
[paragraph, [75.0, 188.0, 597.0, 18.0], shoonya_2s0WT2VLFDR8D3, 5700245]
[paragraph, [75.0, 206.0, 597.0, 18.0], shoonya_2s0WT2VLFDR8D3, 5700245]
[paragraph, [75.0, 224.0, 597.0, 18.0], shoonya_2s0WT2VLFDR8D3, 5700245]
[paragraph, [75.0, 242.0, 597.0, 18.0], shoonya_2s0WT2VLFDR8D3, 5700245]
[paragraph, [76.0, 287.0, 592.0, 18.0], shoonya_0s3RX0R9OB8MVG, 5700245]
[paragraph, [76.0, 305.0, 592.0, 18.0], shoonya_0s3RX0R9OB8MVG, 5700245]
[paragraph, [76.0, 323.0, 592.0, 18.0], shoonya_0s3RX0R9OB8MVG, 5700245]
[paragraph, [76.0, 341.0, 592.0, 18.0], shoonya_0s3RX0R9OB8MVG, 5700245]
[paragraph, [76.0, 359.0, 592.0, 18.0], shoonya_0s3RX0R9OB8MVG, 5700245]
[paragraph, [76.0, 377.0, 592.0, 18.0], shoonya_0s3RX0R9OB8MVG, 5700245]
[paragraph, [76.0, 395.0, 592.0, 18.0], shoonya_0s3RX0R9OB8MVG, 5700245]
[paragraph, [76.0, 413.0, 592.0, 18.0], shoonya_0s3RX0R9OB8MVG, 5700245]
[paragraph, [76.0, 431.0, 592.0, 18.0], shoonya_0s3RX0R9OB8MVG, 5700245]
[paragraph, [76.0, 449.0, 592.0, 18.0], shoonya_0s3RX0R9OB8MVG, 5700245]
[paragraph, [76.0, 467.0, 592.0, 18.0], shoonya_0s3RX0R9OB8MVG, 5700245]
[paragraph, [76.0, 485.0, 592.0, 18.0], shoonya_0s3RX0R9OB8MVG, 5700245]
[paragraph, [76.0, 503.0, 592.0, 18.0], shoonya_0s3RX0R9OB8MVG, 5700245]
[paragraph, [76.0, 521.0, 592.0, 18.0], shoonya_0s3RX0R9OB8MVG, 5700245]
[paragraph, [76.0, 539.0, 592.0, 18.0], shoonya_0s3RX0R9OB8MVG, 5700245]
[paragraph, [76.0, 557.0, 592.0, 18.0], shoonya_0s3RX0R9OB8MVG, 5700245]
[paragraph, [76.0, 575.0, 592.0, 18.0], shoonya_0s3RX0R9OB8MVG, 5700245]
[paragraph, [76.0, 593.0, 592.0, 18.0], shoonya_0s3RX0R9OB8MVG, 5700245]
[paragraph, [76.0, 628.0, 598.0, 18.0], shoonya_1sTDEH1U6PMA5Q, 5700245]
[paragraph, [76.0, 646.0, 598.0, 18.0], shoonya_1sTDEH1U6PMA5Q, 5700245]
[paragraph, [76.0, 664.0, 598.0, 18.0], shoonya_1sTDEH1U6PMA5Q, 5700245]
[paragraph, [76.0, 682.0, 598.0, 18.0], shoonya_1sTDEH1U6PMA5Q, 5700245]
[paragraph, [76.0, 700.0, 598.0, 18.0], shoonya_1sTDEH1U6PMA5Q, 5700245]
[paragraph, [76.0, 718.0, 598.0, 18.0], shoonya_1sTDEH1U6PMA5Q, 5700245]
[paragraph, [76.0, 736.0, 598.0, 18.0], shoonya_1sTDEH1U6PMA5Q, 5700245]
[paragraph, [76.0, 754.0, 598.0, 18.0], shoonya_1sTDEH1U6PMA5Q, 5700245]
[paragraph, [76.0, 772.0, 598.0, 18.0], shoonya_1sTDEH1U6PMA5Q, 5700245]
[paragraph, [76.0, 790.0, 598.0, 18.0], shoonya_1sTDEH1U6PMA5Q, 5700245]
[paragraph, [76.0, 808.0, 598.0, 18.0], shoonya_1sTDEH1U6PMA5Q, 5700245]
[paragraph, [76.0, 826.0, 598.0, 18.0], shoonya_1sTDEH1U6PMA5Q, 5700245]
[paragraph, [76.0, 844.0, 598.0, 18.0], shoonya_1sTDEH1U6PMA5Q, 5700245]
[paragraph, [76.0, 862.0, 598.0, 18.0], shoonya_1sTDEH1U6PMA5Q, 5700245]
[paragraph, [75.0, 896.0, 593.0, 18.0], cO50RFqgML, 5700245]
[paragraph, [75.0, 914.0, 593.0, 18.0], cO50RFqgML, 5700245]
[paragraph, [75.0, 932.0, 593.0, 18.0], cO50RFqgML, 5700245]
[paragraph, [75.0, 950.0, 593.0, 18.0], cO50RFqgML, 5700245]
[paragraph, [75.0, 968.0, 593.0, 18.0], cO50RFqgML, 5700245]
[paragraph, [75.0, 986.0, 593.0, 18.0], cO50RFqgML, 5700245]
[paragraph, [75.0, 1004.0, 593.0, 18.0], cO50RFqgML, 5700245]
[paragraph, [75.0, 1022.0, 593.0, 18.0], cO50RFqgML, 5700245]
[paragraph, [75.0, 1040.0, 593.0, 18.0], cO50RFqgML, 5700245]
[folio, [206.0, 1071.0, 27.0, 18.0], shoonya_3s0UXOOAUR02Q0, 5700245]
